t,prompt_throughput,gen_throughput,running,waiting,preempted,kv_cache_pct
1.0,0.0,0.0,3,5,0,0.13
2.0,5838.0,7.0,8,4,0,0.27
3.0,3534.0,16.0,12,16,0,0.4
4.0,3505.0,24.0,16,19,0,0.53
5.0,6828.0,46.0,19,31,0,0.74
6.0,2710.0,36.0,21,33,0,0.87
7.0,7721.0,64.0,30,39,0,1.07
8.0,2209.0,29.0,34,37,0,1.14
9.0,4076.0,69.0,39,47,0,1.28
10.0,3446.0,77.0,43,53,0,1.42
11.0,4565.0,87.0,48,64,0,1.55
12.0,4112.0,97.0,54,64,0,1.69
13.0,3803.0,108.0,58,71,0,1.82
14.0,4062.0,116.0,62,77,0,1.95
15.0,4193.0,125.0,66,84,0,2.08
16.0,6859.0,205.0,75,90,0,2.29
17.0,2060.0,74.0,78,96,0,2.36
18.0,3830.0,158.0,86,98,0,2.49
19.0,5458.0,173.0,91,104,0,2.63
20.0,3570.0,182.0,96,107,0,2.77
21.0,5386.0,193.0,101,117,0,2.9
22.0,2731.0,202.0,105,123,0,3.04
23.0,5154.0,212.0,111,124,0,3.17
24.0,3645.0,223.0,118,127,0,3.31
25.0,3892.0,237.0,124,125,0,3.44
26.0,4773.0,762.0,128,136,0,3.54
27.0,0.0,3712.0,128,144,0,3.67
28.0,0.0,3712.0,128,152,0,3.78
29.0,0.0,3840.0,128,168,0,3.9
30.0,0.0,3840.0,128,172,0,4.02
31.0,0.0,3968.0,128,172,0,4.15
32.0,0.0,3968.0,128,172,0,4.28
33.0,0.0,4096.0,128,172,0,4.4
34.0,0.0,4096.0,128,172,0,4.54
35.0,0.0,4096.0,128,172,0,4.66
36.0,0.0,4224.0,128,172,0,4.8
37.0,0.0,4352.0,128,172,0,4.94
38.0,0.0,4352.0,128,172,0,5.08
39.0,0.0,4480.0,128,172,0,5.22
40.0,0.0,4608.0,128,172,0,5.36
41.0,631.0,3198.0,128,170,0,5.44
42.0,1175.0,2556.0,128,166,0,5.42
43.0,4515.0,1404.0,128,162,0,5.38
44.0,2763.0,1661.0,127,159,0,5.35
45.0,3013.0,891.0,128,154,0,5.32
46.0,4663.0,1275.0,127,149,0,5.23
47.0,2740.0,508.0,127,145,0,5.18
48.0,3190.0,1148.0,128,141,0,5.12
49.0,1914.0,2300.0,128,137,0,5.16
50.0,5001.0,892.0,128,134,0,5.2
51.0,1802.0,1917.0,127,131,0,5.21
52.0,2858.0,1915.0,128,126,0,5.19
53.0,1742.0,1918.0,128,124,0,5.19
54.0,2323.0,1789.0,128,121,0,5.2
55.0,4116.0,1916.0,128,117,0,5.16
56.0,2975.0,2044.0,128,114,0,5.17
57.0,3129.0,1662.0,128,112,0,5.23
58.0,4885.0,891.0,127,107,0,5.1
59.0,2468.0,892.0,128,104,0,5.17
60.0,7043.0,1532.0,127,100,0,5.09
61.0,2892.0,764.0,127,96,0,4.93
62.0,3264.0,1147.0,128,91,0,4.9
63.0,2633.0,1020.0,128,87,0,4.67
64.0,3465.0,1019.0,128,83,0,4.59
65.0,4683.0,635.0,127,79,0,4.55
66.0,3658.0,764.0,128,76,0,4.51
67.0,1921.0,634.0,128,72,0,4.53
68.0,5546.0,1020.0,127,68,0,4.43
69.0,4025.0,1148.0,128,64,0,4.46
70.0,2724.0,1404.0,127,60,0,4.37
71.0,2720.0,1404.0,128,56,0,4.36
72.0,4412.0,1534.0,127,54,0,4.34
73.0,2341.0,3069.0,128,51,0,4.41
74.0,2716.0,1919.0,128,50,0,4.48
75.0,857.0,3070.0,128,48,0,4.5
76.0,369.0,4096.0,128,48,0,4.65
77.0,659.0,3455.0,128,47,0,4.73
78.0,0.0,4352.0,128,47,0,4.88
79.0,0.0,4480.0,128,47,0,5.0
80.0,0.0,4480.0,128,47,0,5.16
81.0,1787.0,2173.0,128,44,0,5.21
82.0,2059.0,2558.0,128,42,0,5.33
83.0,5383.0,635.0,128,39,0,5.39
84.0,1873.0,2558.0,128,37,0,5.46
85.0,1971.0,2301.0,128,34,0,5.4
86.0,2257.0,1788.0,128,30,0,5.37
87.0,2320.0,1276.0,128,26,0,5.29
88.0,3486.0,1660.0,128,22,0,5.28
89.0,1933.0,2044.0,128,18,0,5.28
90.0,1319.0,2813.0,128,15,0,5.24
91.0,1753.0,2044.0,128,11,0,5.22
92.0,1934.0,1790.0,127,9,0,5.18
93.0,2603.0,2429.0,128,6,0,5.25
94.0,4991.0,2428.0,128,2,0,5.28
95.0,2063.0,1534.0,128,0,0,5.29
96.0,1168.0,4376.0,113,0,0,4.8
97.0,0.0,3981.0,95,0,0,3.94
98.0,0.0,3654.0,82,0,0,3.42
99.0,0.0,3375.0,72,0,0,3.04
100.0,0.0,2768.0,63,0,0,2.69
101.0,0.0,1652.0,56,0,0,2.33
102.0,0.0,1577.0,53,0,0,2.18
103.0,0.0,1479.0,48,0,0,1.95
104.0,0.0,1577.0,47,0,0,1.94
105.0,0.0,1519.0,46,0,0,1.93
106.0,0.0,1459.0,41,0,0,1.75
107.0,0.0,1371.0,36,0,0,1.61
108.0,0.0,1379.0,31,0,0,1.5
109.0,0.0,1350.0,25,0,0,1.32
110.0,0.0,1159.0,21,0,0,1.17
111.0,0.0,1044.0,14,0,0,0.83
112.0,0.0,620.0,6,0,0,0.34
113.0,0.0,350.0,2,0,0,0.11
114.0,0.0,103.0,1,0,0,0.05
115.0,0.0,73.0,0,0,0,0.0
