t,prompt_throughput,prompt_compute_throughput,prompt_cached_throughput,gen_throughput,running,waiting,preempted,kv_cache_pct
1.0,9069.0,9069.0,0.0,176.0,9,0,0,1.62
2.0,10012.0,10012.0,0.0,502.0,19,1,0,3.93
3.0,14934.0,14934.0,0.0,1040.0,34,0,0,6.26
4.0,7673.0,7673.0,0.0,1497.0,45,0,0,8.06
5.0,5269.0,4821.0,448.0,1215.0,50,0,0,8.93
6.0,10636.0,10636.0,0.0,2787.0,63,0,0,11.39
7.0,9131.0,8155.0,976.0,2404.0,73,0,0,13.14
8.0,5482.0,4634.0,848.0,2626.0,85,0,0,14.73
9.0,9731.0,8787.0,944.0,2872.0,95,0,0,16.62
10.0,12672.0,12672.0,0.0,2047.0,112,0,0,19.19
11.0,4477.0,4093.0,384.0,3774.0,118,0,0,20.42
12.0,4784.0,4784.0,0.0,3660.0,127,0,0,21.89
13.0,697.0,697.0,0.0,4733.0,128,11,0,22.85
14.0,0.0,0.0,0.0,4992.0,128,22,0,23.71
15.0,0.0,0.0,0.0,4864.0,128,31,0,24.57
16.0,3842.0,3010.0,832.0,3964.0,128,42,0,24.64
17.0,0.0,0.0,0.0,4736.0,128,51,0,25.46
18.0,733.0,733.0,0.0,4478.0,128,58,0,25.83
19.0,2102.0,2102.0,0.0,4094.0,126,64,0,26.01
20.0,3672.0,2680.0,992.0,4091.0,128,74,0,26.74
21.0,3903.0,3519.0,384.0,3708.0,128,81,0,26.99
22.0,2790.0,2790.0,0.0,3837.0,128,87,0,27.19
23.0,3656.0,3624.0,32.0,3705.0,127,87,0,26.38
24.0,6610.0,6002.0,608.0,3064.0,128,86,0,26.93
25.0,2840.0,2840.0,0.0,3965.0,128,92,0,26.75
26.0,8110.0,6350.0,1760.0,2804.0,128,88,0,25.43
27.0,11364.0,9764.0,1600.0,2676.0,128,87,0,25.9
28.0,8227.0,6931.0,1296.0,3321.0,128,89,0,25.92
29.0,5629.0,5629.0,0.0,3191.0,128,95,0,25.85
30.0,7753.0,7497.0,256.0,3190.0,128,91,0,25.41
31.0,8395.0,7787.0,608.0,2678.0,128,82,0,25.4
32.0,11111.0,9287.0,1824.0,3061.0,127,72,0,24.72
33.0,7522.0,6690.0,832.0,3320.0,128,64,0,24.55
34.0,5048.0,3784.0,1264.0,3963.0,128,59,0,24.93
35.0,5124.0,5124.0,0.0,3321.0,128,52,0,24.87
36.0,6266.0,6266.0,0.0,3451.0,126,49,0,24.93
37.0,2340.0,2340.0,0.0,4091.0,128,44,0,25.4
38.0,2221.0,2221.0,0.0,4093.0,128,41,0,25.7
39.0,0.0,0.0,0.0,4608.0,128,41,0,26.5
40.0,1655.0,1655.0,0.0,3964.0,128,37,0,26.86
41.0,2779.0,2187.0,592.0,4093.0,128,34,0,27.19
42.0,2402.0,2402.0,0.0,3836.0,128,30,0,27.43
43.0,1704.0,1704.0,0.0,4092.0,128,26,0,27.11
44.0,3063.0,3063.0,0.0,3708.0,128,22,0,27.33
45.0,4542.0,2894.0,1648.0,3836.0,126,18,0,27.32
46.0,6733.0,5565.0,1168.0,3193.0,128,11,0,27.81
47.0,3600.0,3600.0,0.0,3579.0,128,7,0,28.25
48.0,6354.0,6098.0,256.0,3066.0,128,1,0,28.3
49.0,582.0,582.0,0.0,4280.0,119,0,0,26.72
50.0,0.0,0.0,0.0,4076.0,104,0,0,23.3
51.0,0.0,0.0,0.0,3872.0,95,0,0,21.77
52.0,0.0,0.0,0.0,3531.0,82,0,0,19.22
53.0,0.0,0.0,0.0,3184.0,67,0,0,15.22
54.0,0.0,0.0,0.0,2921.0,55,0,0,12.63
55.0,0.0,0.0,0.0,2533.0,50,0,0,11.53
56.0,0.0,0.0,0.0,2364.0,44,0,0,10.48
57.0,0.0,0.0,0.0,2190.0,35,0,0,8.45
58.0,0.0,0.0,0.0,1990.0,30,0,0,7.63
59.0,0.0,0.0,0.0,1737.0,25,0,0,6.65
60.0,0.0,0.0,0.0,1324.0,13,0,0,3.76
61.0,0.0,0.0,0.0,947.0,11,0,0,3.53
62.0,0.0,0.0,0.0,616.0,5,0,0,1.65
63.0,0.0,0.0,0.0,132.0,1,0,0,0.26
64.0,0.0,0.0,0.0,87.0,1,0,0,0.28
65.0,0.0,0.0,0.0,3.0,0,0,0,0.0
