t,prompt_throughput,prompt_compute_throughput,prompt_cached_throughput,gen_throughput,running,waiting,preempted,kv_cache_pct
2.0,21061.0,21061.0,0.0,219.0,20,0,0,2.09
3.0,10240.0,10240.0,0.0,114.0,34,0,0,2.93
4.0,12033.0,12033.0,0.0,990.0,45,0,0,3.81
5.0,6440.0,6440.0,0.0,1345.0,52,0,0,4.37
6.0,9392.0,9392.0,0.0,1377.0,63,0,0,5.33
7.0,8101.0,7461.0,640.0,1806.0,73,0,0,6.17
8.0,6676.0,6324.0,352.0,1883.0,85,0,0,6.93
9.0,9916.0,9596.0,320.0,2153.0,95,0,0,7.72
10.0,11791.0,11791.0,0.0,1732.0,110,0,0,8.96
11.0,5946.0,5946.0,0.0,2851.0,118,0,0,9.56
12.0,5701.0,5701.0,0.0,3043.0,127,0,0,10.28
13.0,8058.0,8058.0,0.0,2806.0,139,0,0,11.19
14.0,6604.0,5532.0,1072.0,2959.0,149,0,0,12.06
15.0,8179.0,8179.0,0.0,3227.0,159,0,0,12.93
16.0,11188.0,11156.0,32.0,2442.0,172,0,0,14.05
17.0,9080.0,8616.0,464.0,3025.0,183,0,0,15.11
18.0,10989.0,10173.0,816.0,3186.0,192,0,0,16.05
19.0,7905.0,7185.0,720.0,3730.0,200,0,0,17.09
20.0,11787.0,11787.0,0.0,2782.0,214,0,0,18.2
21.0,12335.0,11743.0,592.0,3173.0,226,0,0,19.41
22.0,7219.0,5811.0,1408.0,3887.0,234,0,0,20.27
23.0,7111.0,7111.0,0.0,3834.0,242,0,0,21.12
24.0,7438.0,6606.0,832.0,4421.0,248,0,0,22.04
25.0,7708.0,7708.0,0.0,3767.0,256,0,0,22.99
26.0,0.0,0.0,0.0,6144.0,256,8,0,23.51
27.0,0.0,0.0,0.0,6144.0,256,16,0,24.0
28.0,5309.0,5309.0,0.0,4091.0,256,20,0,24.46
29.0,813.0,813.0,0.0,5632.0,256,37,0,24.95
30.0,1502.0,1502.0,0.0,5373.0,255,38,0,25.19
31.0,2500.0,2500.0,0.0,4731.0,256,33,0,25.17
32.0,1955.0,1955.0,0.0,5245.0,255,30,0,25.32
33.0,1804.0,1804.0,0.0,5117.0,256,27,0,25.74
34.0,1304.0,1304.0,0.0,5374.0,256,25,0,26.08
35.0,2002.0,2002.0,0.0,5117.0,256,22,0,26.32
36.0,441.0,441.0,0.0,5759.0,255,21,0,26.61
37.0,4103.0,3479.0,624.0,4473.0,256,14,0,26.64
38.0,2096.0,2096.0,0.0,5117.0,255,11,0,26.83
39.0,9427.0,9427.0,0.0,3318.0,255,2,0,26.77
40.0,2537.0,1353.0,1184.0,5321.0,251,0,0,26.72
41.0,0.0,0.0,0.0,5579.0,233,0,0,24.46
42.0,0.0,0.0,0.0,5430.0,222,0,0,23.87
43.0,0.0,0.0,0.0,5116.0,204,0,0,22.32
44.0,0.0,0.0,0.0,4796.0,193,0,0,21.32
45.0,0.0,0.0,0.0,4455.0,177,0,0,19.67
46.0,0.0,0.0,0.0,4274.0,162,0,0,18.46
47.0,0.0,0.0,0.0,3971.0,145,0,0,16.73
48.0,0.0,0.0,0.0,3703.0,126,0,0,14.75
49.0,0.0,0.0,0.0,3625.0,114,0,0,13.44
50.0,0.0,0.0,0.0,3140.0,93,0,0,10.95
51.0,0.0,0.0,0.0,2685.0,86,0,0,10.13
52.0,0.0,0.0,0.0,2606.0,76,0,0,9.05
53.0,0.0,0.0,0.0,2274.0,67,0,0,8.25
54.0,0.0,0.0,0.0,1967.0,49,0,0,5.84
55.0,0.0,0.0,0.0,1656.0,40,0,0,4.91
56.0,0.0,0.0,0.0,1373.0,35,0,0,4.31
57.0,0.0,0.0,0.0,1222.0,29,0,0,3.75
58.0,0.0,0.0,0.0,1074.0,25,0,0,3.36
59.0,0.0,0.0,0.0,877.0,18,0,0,2.63
60.0,0.0,0.0,0.0,737.0,17,0,0,2.58
61.0,0.0,0.0,0.0,604.0,6,0,0,0.87
62.0,0.0,0.0,0.0,361.0,4,0,0,0.6
63.0,0.0,0.0,0.0,166.0,1,0,0,0.12
64.0,0.0,0.0,0.0,87.0,0,0,0,0.0
