t,prompt_throughput,prompt_compute_throughput,prompt_cached_throughput,gen_throughput,running,waiting,preempted,kv_cache_pct
1.0,4843.0,4843.0,0.0,6.0,7,0,0,1.52
2.0,2817.0,2817.0,0.0,13.0,11,0,0,2.42
3.0,5217.0,5217.0,0.0,36.0,16,12,0,3.78
4.0,8184.0,8184.0,0.0,47.0,19,19,0,5.13
5.0,4777.0,4777.0,0.0,56.0,22,28,0,6.48
6.0,5022.0,5022.0,0.0,46.0,31,23,0,7.39
7.0,6461.0,6461.0,0.0,100.0,39,30,0,8.75
8.0,6013.0,6013.0,0.0,121.0,47,31,0,10.1
9.0,6440.0,5960.0,480.0,146.0,55,37,0,11.47
10.0,3809.0,3809.0,0.0,110.0,59,44,0,12.37
11.0,5583.0,5583.0,0.0,180.0,66,48,0,13.73
12.0,7059.0,6419.0,640.0,202.0,73,49,0,15.08
13.0,4489.0,4137.0,352.0,148.0,80,54,0,16.0
14.0,6809.0,5465.0,1344.0,249.0,90,50,0,17.34
15.0,6610.0,6290.0,320.0,275.0,97,57,0,18.72
16.0,4513.0,3889.0,624.0,195.0,103,60,0,19.64
17.0,5568.0,5568.0,0.0,310.0,110,69,0,20.98
18.0,3626.0,3626.0,0.0,220.0,116,70,0,21.89
19.0,5987.0,5987.0,0.0,355.0,125,72,0,23.25
20.0,4133.0,3717.0,416.0,1276.0,128,86,0,23.85
21.0,0.0,0.0,0.0,2304.0,128,98,0,24.34
22.0,0.0,0.0,0.0,2432.0,128,107,0,24.87
23.0,0.0,0.0,0.0,2304.0,128,114,0,25.38
24.0,0.0,0.0,0.0,2304.0,128,120,0,25.87
25.0,0.0,0.0,0.0,2304.0,128,128,0,26.39
26.0,0.0,0.0,0.0,2304.0,128,136,0,26.9
27.0,0.0,0.0,0.0,2304.0,128,144,0,27.41
28.0,0.0,0.0,0.0,2304.0,128,151,0,27.9
29.0,0.0,0.0,0.0,2304.0,128,168,0,28.4
30.0,0.0,0.0,0.0,2304.0,128,172,0,28.9
31.0,0.0,0.0,0.0,2176.0,128,172,0,29.39
32.0,0.0,0.0,0.0,2304.0,128,172,0,29.9
33.0,0.0,0.0,0.0,2304.0,128,172,0,30.39
34.0,0.0,0.0,0.0,2176.0,128,172,0,30.87
35.0,0.0,0.0,0.0,2176.0,128,172,0,31.34
36.0,0.0,0.0,0.0,2304.0,128,172,0,31.87
37.0,0.0,0.0,0.0,2176.0,128,172,0,32.34
38.0,0.0,0.0,0.0,2176.0,128,172,0,32.82
39.0,0.0,0.0,0.0,2304.0,128,172,0,33.31
40.0,0.0,0.0,0.0,2176.0,128,172,0,33.78
41.0,0.0,0.0,0.0,2176.0,128,172,0,34.24
42.0,0.0,0.0,0.0,2176.0,128,172,0,34.73
43.0,0.0,0.0,0.0,2176.0,128,172,0,35.22
44.0,0.0,0.0,0.0,2176.0,128,172,0,35.69
45.0,0.0,0.0,0.0,2176.0,128,172,0,36.18
46.0,0.0,0.0,0.0,2048.0,128,172,0,36.62
47.0,631.0,631.0,0.0,1662.0,128,170,0,36.81
48.0,1175.0,1175.0,0.0,1790.0,128,168,0,36.57
49.0,2363.0,1515.0,848.0,893.0,128,165,0,36.71
50.0,2493.0,2493.0,0.0,1661.0,128,162,0,36.47
51.0,1846.0,1846.0,0.0,1149.0,128,159,0,36.38
52.0,2868.0,2868.0,0.0,891.0,128,154,0,36.02
53.0,2623.0,1551.0,1072.0,1021.0,127,151,0,35.43
54.0,4056.0,3672.0,384.0,636.0,126,147,0,35.12
