t,prompt_throughput,gen_throughput,running,waiting,kv_cache_pct
1.0,3392.0,2.0,5,2,13.22
2.0,9045.0,79.0,16,0,39.7
3.0,11749.0,83.0,22,11,64.44
4.0,10232.0,136.0,38,4,89.33
5.0,5798.0,970.0,40,12,100.0
6.0,0.0,1522.0,39,24,99.73
7.0,0.0,1484.0,37,36,97.22
8.0,0.0,1436.0,36,50,98.26
9.0,0.0,1386.0,35,59,99.77
10.0,0.0,1310.0,33,79,98.07
11.0,0.0,1273.0,32,86,99.81
12.0,0.0,1196.0,30,97,99.3
13.0,0.0,1171.0,29,110,99.69
14.0,0.0,1088.0,27,123,99.07
15.0,0.0,1030.0,26,133,99.54
16.0,0.0,981.0,25,148,99.96
17.0,0.0,999.0,23,160,98.14
18.0,0.0,482.0,27,161,99.3
19.0,0.0,796.0,29,164,98.3
20.0,0.0,1078.0,27,181,96.64
21.0,0.0,1080.0,27,193,98.99
22.0,0.0,762.0,26,200,98.72
23.0,0.0,791.0,27,204,98.49
24.0,0.0,864.0,26,209,98.3
25.0,468.0,605.0,29,211,94.78
26.0,8526.0,448.0,34,208,95.55
27.0,7559.0,391.0,40,206,90.68
28.0,9350.0,650.0,45,208,98.96
29.0,0.0,1744.0,42,227,98.11
30.0,0.0,1576.0,41,231,99.19
31.0,0.0,1601.0,39,232,97.6
32.0,0.0,1197.0,38,231,97.72
33.0,0.0,1405.0,38,230,99.5
34.0,0.0,1385.0,37,230,99.61
35.0,0.0,1369.0,35,231,97.64
36.0,0.0,1389.0,34,232,97.41
37.0,0.0,1385.0,33,233,99.07
38.0,0.0,1327.0,32,234,99.34
39.0,0.0,1085.0,32,232,99.77
40.0,0.0,1232.0,30,234,97.95
41.0,0.0,1042.0,29,232,96.13
42.0,0.0,803.0,30,229,99.73
43.0,2959.0,918.0,32,224,99.77
44.0,0.0,1255.0,30,226,99.34
45.0,0.0,1045.0,29,226,98.22
46.0,0.0,1017.0,30,224,99.15
47.0,2222.0,933.0,31,219,94.32
48.0,3984.0,927.0,35,213,99.69
49.0,2283.0,854.0,36,208,98.34
50.0,7584.0,524.0,38,201,92.62
51.0,9196.0,378.0,48,187,99.38
52.0,3104.0,1622.0,47,187,98.69
53.0,639.0,1545.0,46,187,97.06
54.0,0.0,1643.0,45,187,98.38
55.0,0.0,1678.0,43,189,99.77
56.0,0.0,1431.0,43,188,99.92
57.0,0.0,1606.0,40,191,99.81
58.0,0.0,1513.0,38,193,99.03
59.0,0.0,1267.0,37,192,98.72
60.0,0.0,1255.0,37,191,100.0
61.0,0.0,1358.0,35,192,98.76
62.0,0.0,1342.0,34,193,99.73
63.0,0.0,1292.0,33,194,99.96
64.0,0.0,1211.0,31,195,98.11
65.0,0.0,958.0,31,192,98.92
66.0,0.0,877.0,32,187,96.17
67.0,1948.0,856.0,38,178,99.65
68.0,3832.0,1014.0,40,173,99.65
69.0,3682.0,1071.0,39,171,97.37
70.0,516.0,1398.0,38,171,97.56
71.0,2808.0,1064.0,40,166,98.34
72.0,4040.0,918.0,44,158,99.27
73.0,2626.0,1519.0,43,158,99.27
74.0,4067.0,916.0,47,149,99.61
75.0,3656.0,1400.0,49,145,99.81
76.0,0.0,1865.0,45,149,99.54
77.0,0.0,1658.0,43,150,99.96
78.0,0.0,1441.0,42,149,98.76
79.0,0.0,1363.0,42,147,99.23
80.0,0.0,1626.0,39,150,98.72
81.0,0.0,1426.0,38,150,99.54
82.0,0.0,1472.0,36,152,99.03
83.0,0.0,1322.0,34,152,96.17
84.0,0.0,961.0,37,145,98.69
85.0,1099.0,1274.0,36,144,98.88
86.0,4548.0,876.0,35,140,99.42
87.0,0.0,1331.0,33,141,98.3
88.0,963.0,1153.0,32,139,96.33
89.0,2840.0,758.0,36,131,96.75
90.0,4531.0,1017.0,37,128,99.57
91.0,1207.0,1295.0,36,125,95.32
92.0,6815.0,651.0,36,122,97.1
93.0,2930.0,1086.0,36,121,97.06
94.0,0.0,1280.0,35,120,98.18
95.0,0.0,1311.0,34,119,99.46
96.0,2895.0,989.0,34,118,97.8
97.0,0.0,1346.0,33,117,95.36
98.0,2457.0,985.0,34,115,98.34
99.0,0.0,1341.0,33,116,99.42
100.0,0.0,1319.0,32,117,99.92
