t,prompt_throughput,gen_throughput,running,waiting,kv_cache_pct
1.0,7401.0,28.0,8,0,0.0
2.0,5036.0,178.0,16,0,0.0
3.0,11749.0,84.0,22,11,0.0
4.0,10232.0,138.0,38,5,0.0
5.0,9828.0,210.0,49,2,0.0
6.0,2106.0,1769.0,47,16,0.0
7.0,0.0,1747.0,45,28,0.0
8.0,0.0,1623.0,43,43,0.0
9.0,0.0,1578.0,40,55,0.0
10.0,0.0,1456.0,39,73,0.0
11.0,0.0,1464.0,38,80,0.0
12.0,0.0,1427.0,37,90,0.0
13.0,0.0,1389.0,36,103,0.0
14.0,0.0,1308.0,35,115,0.0
15.0,0.0,1282.0,33,126,0.0
16.0,0.0,1252.0,32,142,0.0
17.0,0.0,1199.0,31,152,0.0
18.0,0.0,1088.0,29,161,0.0
19.0,0.0,632.0,32,164,0.0
20.0,0.0,1007.0,32,176,0.0
21.0,0.0,875.0,31,187,0.0
22.0,0.0,1145.0,29,196,0.0
23.0,0.0,1073.0,29,203,0.0
24.0,0.0,770.0,30,206,0.0
25.0,0.0,887.0,31,211,0.0
26.0,1545.0,724.0,33,212,0.0
27.0,6258.0,426.0,38,209,0.0
28.0,6576.0,698.0,42,211,0.0
29.0,9155.0,444.0,51,213,0.0
30.0,5398.0,1118.0,53,214,0.0
31.0,0.0,1859.0,51,215,0.0
32.0,0.0,1923.0,48,218,0.0
33.0,0.0,1516.0,48,216,0.0
34.0,0.0,1814.0,45,219,0.0
35.0,0.0,1726.0,43,220,0.0
36.0,0.0,1610.0,41,221,0.0
37.0,0.0,1489.0,41,221,0.0
38.0,0.0,1441.0,40,221,0.0
39.0,0.0,1542.0,39,221,0.0
40.0,0.0,966.0,40,217,0.0
41.0,0.0,1450.0,39,217,0.0
42.0,0.0,1427.0,37,219,0.0
43.0,0.0,1344.0,36,219,0.0
44.0,0.0,1024.0,36,215,0.0
45.0,0.0,1266.0,34,216,0.0
46.0,0.0,1160.0,34,215,0.0
47.0,0.0,1140.0,33,214,0.0
48.0,1181.0,1091.0,33,213,0.0
49.0,2842.0,732.0,34,207,0.0
50.0,5289.0,981.0,37,202,0.0
51.0,5369.0,584.0,40,194,0.0
52.0,5492.0,684.0,46,185,0.0
53.0,7889.0,767.0,53,174,0.0
54.0,6813.0,766.0,56,166,0.0
55.0,717.0,1830.0,55,166,0.0
56.0,0.0,2047.0,53,168,0.0
57.0,0.0,1809.0,50,170,0.0
58.0,0.0,1650.0,50,169,0.0
59.0,0.0,1840.0,48,171,0.0
60.0,0.0,1794.0,47,172,0.0
61.0,0.0,1747.0,45,173,0.0
62.0,0.0,1663.0,42,176,0.0
63.0,0.0,1195.0,43,173,0.0
64.0,0.0,1595.0,41,175,0.0
65.0,0.0,1512.0,39,177,0.0
66.0,0.0,1379.0,38,177,0.0
67.0,0.0,1301.0,37,177,0.0
68.0,0.0,946.0,38,173,0.0
69.0,0.0,547.0,39,166,0.0
70.0,2252.0,1123.0,40,162,0.0
71.0,5141.0,935.0,41,156,0.0
72.0,550.0,1118.0,41,153,0.0
73.0,6446.0,1053.0,45,145,0.0
74.0,3566.0,1166.0,45,142,0.0
75.0,0.0,1521.0,44,142,0.0
76.0,3044.0,1231.0,44,138,0.0
77.0,2840.0,1097.0,47,132,0.0
78.0,4531.0,987.0,48,127,0.0
79.0,2259.0,1721.0,47,127,0.0
80.0,0.0,1798.0,45,129,0.0
81.0,0.0,1696.0,43,130,0.0
82.0,0.0,1538.0,42,130,0.0
83.0,0.0,1573.0,41,130,0.0
84.0,0.0,1430.0,40,130,0.0
85.0,0.0,1459.0,39,130,0.0
86.0,0.0,1361.0,37,132,0.0
87.0,0.0,1063.0,38,129,0.0
88.0,0.0,1064.0,37,126,0.0
89.0,3402.0,918.0,37,123,0.0
90.0,2361.0,1015.0,36,121,0.0
91.0,4871.0,823.0,37,118,0.0
92.0,2050.0,1116.0,36,116,0.0
93.0,1361.0,1258.0,34,115,0.0
94.0,5419.0,706.0,36,110,0.0
95.0,2573.0,989.0,36,107,0.0
96.0,1747.0,1085.0,35,106,0.0
97.0,0.0,1272.0,35,105,0.0
98.0,6379.0,508.0,40,96,0.0
99.0,1230.0,1384.0,38,96,0.0
100.0,0.0,1384.0,38,96,0.0
101.0,0.0,1231.0,37,95,0.0
102.0,1109.0,1247.0,36,95,0.0
103.0,0.0,1219.0,35,95,0.0
104.0,526.0,1244.0,35,94,0.0
105.0,0.0,1269.0,33,95,0.0
106.0,0.0,1144.0,33,95,0.0
107.0,0.0,1019.0,33,94,0.0
108.0,0.0,1175.0,32,94,0.0
109.0,4582.0,760.0,34,88,0.0
110.0,2746.0,802.0,34,86,0.0
111.0,867.0,1198.0,33,86,0.0
112.0,727.0,1181.0,32,86,0.0
113.0,0.0,1119.0,32,85,0.0
114.0,4661.0,543.0,36,76,0.0
115.0,5900.0,837.0,38,73,0.0
116.0,2719.0,966.0,41,68,0.0
117.0,4447.0,1145.0,41,65,0.0
118.0,2110.0,980.0,41,61,0.0
119.0,4582.0,1224.0,40,59,0.0
120.0,1875.0,1402.0,40,59,0.0
121.0,0.0,1446.0,38,60,0.0
122.0,675.0,1236.0,40,57,0.0
123.0,1054.0,1269.0,39,56,0.0
124.0,0.0,1509.0,38,57,0.0
125.0,0.0,1438.0,36,59,0.0
126.0,0.0,1361.0,34,61,0.0
127.0,0.0,1129.0,33,60,0.0
128.0,0.0,984.0,36,54,0.0
129.0,1520.0,1076.0,36,53,0.0
130.0,0.0,1307.0,35,53,0.0
131.0,0.0,1181.0,32,52,0.0
132.0,4808.0,707.0,34,48,0.0
133.0,3439.0,883.0,35,45,0.0
134.0,2580.0,935.0,36,41,0.0
135.0,3263.0,832.0,39,34,0.0
136.0,7025.0,638.0,47,23,0.0
137.0,4457.0,980.0,47,20,0.0
138.0,0.0,1593.0,46,20,0.0
139.0,0.0,1517.0,46,19,0.0
140.0,1400.0,1269.0,46,17,0.0
141.0,4548.0,886.0,47,12,0.0
142.0,2668.0,1305.0,47,11,0.0
143.0,0.0,1662.0,45,13,0.0
144.0,0.0,1605.0,44,14,0.0
145.0,0.0,1602.0,43,15,0.0
146.0,0.0,1439.0,42,15,0.0
147.0,0.0,1396.0,41,15,0.0
148.0,0.0,1364.0,40,14,0.0
149.0,0.0,1254.0,39,15,0.0
150.0,0.0,1420.0,37,17,0.0
151.0,0.0,1176.0,37,15,0.0
152.0,0.0,830.0,36,12,0.0
153.0,1126.0,834.0,36,7,0.0
154.0,3020.0,1052.0,35,6,0.0
155.0,1122.0,1019.0,33,5,0.0
156.0,1724.0,857.0,33,2,0.0
157.0,3061.0,1011.0,32,0,0.0
158.0,0.0,1189.0,26,0,0.0
159.0,0.0,1093.0,24,0,0.0
160.0,0.0,992.0,19,0,0.0
161.0,0.0,844.0,17,0,0.0
162.0,0.0,804.0,16,0,0.0
163.0,0.0,784.0,16,0,0.0
164.0,0.0,800.0,16,0,0.0
165.0,0.0,784.0,16,0,0.0
166.0,0.0,759.0,15,0,0.0
167.0,0.0,711.0,14,0,0.0
168.0,0.0,650.0,12,0,0.0
169.0,0.0,448.0,6,0,0.0
170.0,0.0,290.0,4,0,0.0
171.0,0.0,194.0,3,0,0.0
172.0,0.0,122.0,1,0,0.0
173.0,0.0,14.0,0,0,0.0
