time_s	throughput
0	0.0
1	128.0
2	416.0
3	868.0
4	1119.0
5	1501.0
6	1469.0
7	1659.0
8	1645.0
9	1989.0
10	1871.0
11	2526.0
12	2455.0
13	2028.0
14	1996.0
15	2473.0
16	2154.0
17	2521.0
18	2643.0
19	2562.0
20	2499.0
21	2432.0
22	2985.0
23	2888.0
24	2958.0
25	3032.0
26	3328.0
27	3584.0
28	3325.0
29	3311.0
30	3503.0
31	3438.0
32	3154.0
33	3262.0
34	3374.0
35	3107.0
36	3258.0
37	3147.0
38	3081.0
39	3049.0
40	2977.0
41	3391.0
42	3288.0
43	3270.0
44	3083.0
45	2954.0
46	2512.0
47	2507.0
48	3041.0
49	2651.0
50	2128.0
51	1655.0
52	778.0
