time_s	throughput
0	0.0
1	73.0
2	218.0
3	484.0
4	616.0
5	898.0
6	961.0
7	1107.0
8	1252.0
9	1451.0
10	1351.0
11	1950.0
12	1839.0
13	1751.0
14	1848.0
15	2006.0
16	1986.0
17	2162.0
18	2642.0
19	2564.0
20	2079.0
21	2425.0
22	2982.0
23	3125.0
24	3448.0
25	3281.0
26	4608.0
27	4352.0
28	4352.0
29	4608.0
30	4352.0
31	4608.0
32	4352.0
33	4608.0
34	4343.0
35	4513.0
36	4065.0
37	4017.0
38	3813.0
39	3668.0
40	3462.0
41	3277.0
42	3025.0
43	2606.0
44	2533.0
45	2351.0
46	2219.0
47	1917.0
48	1614.0
49	1304.0
50	1000.0
51	620.0
52	280.0
