time_s	throughput
0	0.0
1	155.0
2	455.0
3	964.0
4	1257.0
5	1436.0
6	1661.0
7	1797.0
8	1886.0
9	2054.0
10	2255.0
11	2423.0
12	2404.0
13	2487.0
14	2529.0
15	2470.0
16	2578.0
17	2686.0
18	2713.0
19	2645.0
20	2760.0
21	2626.0
22	2694.0
23	2594.0
24	2621.0
25	2508.0
26	2576.0
27	2539.0
28	2511.0
29	2444.0
30	2646.0
31	2460.0
32	2317.0
33	2085.0
34	1889.0
35	1671.0
36	1411.0
37	1081.0
38	927.0
39	801.0
40	657.0
41	616.0
42	507.0
43	411.0
44	340.0
45	220.0
46	185.0
47	108.0
48	107.0
49	72.0
50	41.0
51	30.0
