time_s	throughput
0	0.0
1	121.0
2	259.0
3	282.0
4	661.0
5	851.0
6	946.0
7	1567.0
8	1780.0
9	2059.0
10	2147.0
11	1727.0
12	716.0
13	1586.0
14	1636.0
15	878.0
16	1064.0
17	1709.0
18	1303.0
19	2418.0
20	1716.0
21	2130.0
22	1860.0
23	2406.0
24	2049.0
25	2912.0
26	2939.0
27	2284.0
28	2429.0
29	1725.0
30	2456.0
31	3108.0
32	3051.0
33	2731.0
34	2594.0
35	2957.0
36	2869.0
37	2607.0
38	2330.0
39	2083.0
40	1885.0
41	1637.0
42	1285.0
43	1142.0
44	956.0
45	787.0
46	612.0
47	518.0
48	474.0
49	369.0
50	278.0
51	204.0
52	124.0
53	72.0
54	29.0
