time_s	throughput
0	0.0
1	99.0
2	347.0
3	571.0
4	632.0
5	878.0
6	952.0
7	1092.0
8	1227.0
9	1334.0
10	1431.0
11	1137.0
12	1308.0
13	1438.0
14	1382.0
15	1211.0
16	1591.0
17	1551.0
18	1454.0
19	1843.0
20	1594.0
21	1854.0
22	1918.0
23	1567.0
24	1964.0
25	2000.0
26	1852.0
27	1885.0
28	1918.0
29	1531.0
30	2044.0
31	1984.0
32	2163.0
33	2126.0
34	1896.0
35	2063.0
36	1988.0
37	1904.0
38	2019.0
39	1909.0
40	2011.0
41	1815.0
42	1915.0
43	1851.0
44	1758.0
45	1688.0
46	1702.0
47	1679.0
48	1577.0
49	1587.0
50	1456.0
51	1437.0
52	1390.0
53	1417.0
54	1346.0
55	1203.0
56	1094.0
57	1133.0
58	998.0
59	897.0
60	819.0
61	722.0
62	695.0
63	612.0
64	552.0
65	527.0
66	437.0
67	432.0
68	412.0
69	351.0
70	318.0
71	317.0
72	250.0
73	221.0
74	175.0
75	170.0
76	145.0
77	89.0
78	42.0
79	21.0
80	21.0
81	21.0
