time_s	throughput
0	0
1	245.4
2	606.25
3	841.55
4	1052.95
5	1452.1
6	1684.35
7	2013.65
8	2163.2
9	2366.2
10	2572.35
11	2503.6
12	1967.25
13	2455.8
14	2180.75
15	2329.9
16	2153.1
17	2477.45
18	2520.6
19	3070.2
20	2588
21	2826.8
22	2689.55
23	2874.05
24	2615.5
25	2912.6
26	2585.95
27	2870.55
28	2549.35
29	2251.7
30	2603.35
31	2875.2
32	2636.5
33	2302.45
34	1856
35	1444.85
36	1070.45
37	952.3
38	819.95
39	707.75
40	652.05
41	537.85
42	395.2
43	260.65
44	201.75
45	174.75
46	123.75
47	100.9
48	49
49	41
50	0
51	0
