time_s	throughput
0	0
1	100
2	394.2
3	609.3
4	684.7
5	950.1
6	1024.5
7	1198.2
8	1331.8
9	1456.5
10	1634.6
11	1313.9
12	1380.2
13	1471
14	1444.7
15	1307.2
16	1530.7
17	1502.8
18	1548
19	1788.9
20	1507.3
21	1784.2
22	2010.5
23	1684.8
24	1910.5
25	1940.4
26	1968
27	1805.9
28	2064.5
29	1678.9
30	1993.3
31	1964.5
32	2118.6
33	2077.1
34	2024.5
35	1941.5
36	1878.1
37	1836.5
38	1914
39	1800.5
40	1610.6
41	1727
42	1698.3
43	1637.7
44	1588.1
45	1518.7
46	1463.2
47	1477.5
48	1355.1
49	1382.5
50	1331.6
51	1218.5
52	1237.5
53	1210.3
54	1169.3
55	1123.9
56	1116.9
57	964.8
58	942.9
59	891.3
60	855.8
61	804.4
62	731.2
63	709.7
64	626.1
65	617.5
66	542.5
67	527.1
68	507.7
69	470.1
70	449.1
71	470
72	453.3
73	416.7
74	339.7
75	254.8
76	224.7
77	166.9
78	88.9
79	39
80	33.9
81	13
82	0
