time_s	power_w
0	480.96
1	643.6
2	689.65
3	689.6
4	689.59
5	689.62
6	689.66
7	689.67
8	689.35
9	689.89
10	689.64
11	689.42
12	461.67
13	443.6
14	443.6
15	443.6
16	443.6
17	443.6
18	443.6
19	443.6
20	443.6
21	443.6
22	443.6
23	443.6
24	443.6
25	443.6
26	443.6
27	443.6
28	443.6
29	443.6
30	394.15
31	387.6
32	387.6
33	387.6
34	387.6
35	387.6
36	387.6
37	387.6
38	387.6
39	387.6
40	387.6
41	387.6
42	387.6
43	387.6
44	387.6
45	387.6
46	387.6
47	387.6
48	387.6
49	387.6
50	387.6
51	387.6
52	387.6
53	387.6
54	387.6
55	387.6
56	387.6
57	387.6
58	387.6
59	387.6
60	483.02
61	602.18
62	689.73
63	689.59
64	689.6
65	689.65
66	689.61
67	689.59
68	689.45
69	689.55
70	689.69
71	689.6
72	689.67
73	689.8
74	522.27
75	443.6
76	443.6
77	443.6
78	443.6
79	443.6
80	443.6
81	443.6
82	443.6
83	443.6
84	443.6
85	443.6
86	443.6
87	443.6
88	443.6
89	443.6
90	443.6
91	443.6
92	408.1
93	387.6
94	387.6
95	387.6
96	387.6
97	387.6
98	387.6
99	387.6
100	387.6
101	387.6
102	387.6
103	387.6
104	387.6
105	387.6
106	387.6
107	387.6
108	387.6
109	387.6
110	387.6
111	387.6
112	387.6
113	387.6
114	387.6
115	387.6
116	387.6
117	387.6
118	387.6
119	387.6
120	466.43
121	619.62
122	689.64
123	689.68
124	689.56
125	689.59
126	689.6
127	689.59
128	689.59
129	689.64
130	689.65
131	689.67
132	689.6
133	689.37
134	689.62
135	689.97
136	689.6
