time_s	gpu_mem_mb	prefix_hit_pct
0	15322.51	0.0
1	15694.51	0.0
2	15884.51	0.0
3	15986.51	0.0
4	16102.51	0.0
5	16184.51	0.0
6	16246.51	0.0
7	16314.51	0.0
8	16356.51	0.0
9	16392.51	0.0
10	16418.51	0.0
11	16442.51	0.0
12	16466.51	0.0
13	16478.51	0.0
14	16492.51	0.0
15	16506.51	0.0
16	16516.51	0.0
17	16526.51	0.0
18	16530.51	0.0
19	16540.51	0.0
20	16964.51	0.0
21	17090.51	0.0
22	17364.51	0.0
23	17466.51	1.47
24	17544.51	1.46
25	17620.51	1.46
26	17688.51	1.46
27	17738.51	1.46
28	17784.51	1.46
29	17824.51	1.46
30	17860.51	1.46
31	17896.51	1.46
32	17922.51	1.46
33	17946.51	1.46
34	17958.51	1.46
35	17976.51	1.46
36	17988.51	1.46
37	17998.51	1.46
38	18004.51	1.46
39	18258.51	1.24
40	18450.51	1.12
41	18554.51	1.08
42	18728.51	3.78
43	18872.51	6.95
44	18964.51	6.95
45	19026.51	6.95
46	19084.51	6.95
47	19124.51	6.95
48	19162.51	6.95
49	19196.51	6.95
50	19224.51	6.95
51	19250.51	6.95
52	19266.51	6.95
53	19280.51	6.95
54	19290.51	6.95
55	19294.51	6.95
56	19300.51	6.95
57	19304.51	6.95
58	19318.51	6.92
59	19526.51	6.35
60	19816.51	6.71
61	19954.51	7.28
62	20082.51	8.0
63	20246.51	7.78
64	20340.51	7.78
65	20414.51	7.78
66	20486.51	7.78
67	20550.51	7.78
68	20596.51	7.78
69	20632.51	7.78
70	20670.51	7.78
71	20688.51	7.78
72	20702.51	7.78
73	20710.51	7.78
74	20722.51	7.78
75	20730.51	7.78
76	20740.51	7.78
77	20750.51	7.78
78	20846.51	7.55
79	21054.51	8.19
80	21262.51	7.77
81	21582.51	8.9
82	21776.51	8.63
83	21896.51	11.36
84	21996.51	11.36
85	22092.51	11.36
86	22176.51	11.36
87	22254.51	11.36
88	22308.51	11.36
89	22342.51	11.36
90	22368.51	11.36
91	22392.51	11.36
92	22416.51	11.36
93	22434.51	11.36
94	22454.51	11.36
95	22468.51	11.36
96	22480.51	11.36
97	22490.51	11.36
98	22520.51	11.31
99	22780.51	12.01
100	22884.51	14.96
101	23208.51	14.81
102	23308.51	14.73
103	23780.51	13.66
104	23880.51	13.66
105	23976.51	13.66
106	24056.51	13.66
107	24126.51	13.66
108	24190.51	13.66
109	24238.51	13.66
110	24274.51	13.66
111	24298.51	13.66
112	24312.51	13.66
113	24322.51	13.66
114	24332.51	13.66
115	24340.51	13.66
116	24348.51	13.66
117	24360.51	13.66
118	24362.51	13.66
119	24362.51	13.66
120	24362.51	13.66
121	24362.51	13.66
122	24362.51	13.66
123	24362.51	13.66
