time_s	shared_cpu_mem_mb	shared_cpu_prefix_hit_pct
0	32.0	0.0
1	352.0	0.0
2	480.0	0.0
3	672.0	0.0
4	768.0	0.0
5	800.0	0.0
6	928.0	0.0
7	1184.0	0.0
8	1344.0	0.0
9	1408.0	0.0
10	1504.0	0.0
11	1568.0	0.0
12	1568.0	0.0
13	1568.0	0.0
14	1696.0	0.0
15	1696.0	0.0
16	1696.0	0.0
17	1696.0	0.0
18	1696.0	0.0
19	1888.0	0.0
20	2400.0	0.0
21	2528.0	0.0
22	2912.0	0.0
23	3008.0	2.54
24	3072.0	2.48
25	3072.0	2.48
26	3200.0	2.48
27	3328.0	2.48
28	3424.0	2.48
29	3712.0	2.48
30	3808.0	2.48
31	3808.0	2.48
32	3808.0	2.48
33	3840.0	2.48
34	3840.0	2.48
35	3840.0	2.48
36	3904.0	2.48
37	3904.0	2.48
38	3904.0	2.48
39	3968.0	8.84
40	4128.0	8.32
41	4256.0	7.79
42	4480.0	7.87
43	4640.0	7.25
44	4864.0	7.25
45	5024.0	7.25
46	5152.0	7.25
47	5216.0	7.25
48	5344.0	7.25
49	5440.0	7.25
50	5536.0	7.25
51	5600.0	7.25
52	5600.0	7.25
53	5600.0	7.25
54	5632.0	7.25
55	5632.0	7.25
56	5664.0	7.25
57	5664.0	7.25
58	5664.0	7.19
59	6112.0	8.25
60	6400.0	8.65
61	6816.0	8.37
62	6944.0	8.03
63	7072.0	8.47
64	7136.0	8.47
65	7232.0	8.47
66	7488.0	8.47
67	7776.0	8.47
68	7936.0	8.47
69	8032.0	8.47
70	8064.0	8.47
71	8096.0	8.47
72	8160.0	8.47
73	8224.0	8.47
74	8224.0	8.47
75	8256.0	8.47
76	8320.0	8.47
77	8352.0	8.47
78	8448.0	8.24
79	8736.0	8.11
80	8992.0	8.03
81	9280.0	8.69
82	9504.0	8.36
83	9664.0	8.19
84	9696.0	8.19
85	9888.0	8.19
86	10144.0	8.19
87	10240.0	8.19
88	10336.0	8.19
89	10496.0	8.19
90	10496.0	8.19
91	10496.0	8.19
92	10560.0	8.19
93	10656.0	8.19
94	10656.0	8.19
95	10656.0	8.19
96	10720.0	8.19
97	10720.0	8.19
98	10848.0	8.37
99	11136.0	8.74
100	11360.0	8.31
101	11744.0	8.87
102	11936.0	8.76
103	12320.0	9.31
104	12480.0	9.31
105	12608.0	9.31
106	12864.0	9.31
107	13024.0	9.31
108	13088.0	9.31
109	13184.0	9.31
110	13216.0	9.31
111	13280.0	9.31
112	13280.0	9.31
113	13344.0	9.31
114	13376.0	9.31
115	13376.0	9.31
116	13408.0	9.31
117	13408.0	9.31
118	13440.0	9.31
119	13440.0	9.31
120	13440.0	9.31
121	13440.0	9.31
122	13440.0	9.31
123	13440.0	9.31
