time_s	gpu_mem_mb	prefix_hit_pct
0	15384.51	0.0
1	15882.51	0.0
2	16112.51	1.12
3	16456.51	3.12
4	16654.51	2.5
5	16812.51	2.43
6	16972.51	2.43
7	17114.51	2.43
8	17246.51	2.43
9	17350.51	2.43
10	17418.51	2.43
11	17474.51	2.43
12	17518.51	2.43
13	17556.51	2.43
14	17594.51	2.43
15	17614.51	2.43
16	17634.51	2.43
17	17646.51	2.43
18	17654.51	2.43
19	17868.51	2.43
20	18448.51	2.01
21	18632.51	1.91
22	19160.51	1.89
23	19372.51	2.33
24	19550.51	5.24
25	19710.51	5.2
26	19858.51	5.2
27	20000.51	5.2
28	20114.51	5.2
29	20216.51	5.2
30	20300.51	5.2
31	20364.51	5.2
32	20420.51	5.2
33	20456.51	5.2
34	20492.51	5.2
35	20510.51	5.2
36	20528.51	5.2
37	20546.51	5.2
38	20554.51	5.2
39	20668.51	5.2
40	20896.51	12.29
41	21162.51	11.56
42	21492.51	11.02
43	21800.51	13.66
44	21970.51	15.26
45	22132.51	15.26
46	22268.51	15.26
47	22392.51	15.26
48	22500.51	15.26
49	22592.51	15.26
50	22658.51	15.26
51	22704.51	15.26
52	22746.51	15.26
53	22776.51	15.26
54	22800.51	15.26
55	22818.51	15.26
56	22830.51	15.26
57	22846.51	15.26
58	22880.51	15.26
59	23500.51	15.38
60	23910.51	15.92
61	24188.51	16.42
62	24480.51	16.33
63	24688.51	16.75
64	24872.51	17.25
65	25042.51	17.25
66	25202.51	17.25
67	25364.51	17.25
68	25500.51	17.25
69	25614.51	17.25
70	25712.51	17.25
71	25786.51	17.25
72	25844.51	17.25
73	25892.51	17.25
74	25924.51	17.25
75	25956.51	17.25
76	25990.51	17.25
77	26026.51	17.25
78	26176.51	17.25
79	26540.51	17.38
80	26850.51	18.41
81	27258.51	18.98
82	27520.51	21.75
83	27720.51	22.35
84	27886.51	23.48
85	28046.51	23.48
86	28192.51	23.48
87	28334.51	23.48
88	28448.51	23.48
89	28524.51	23.48
90	28578.51	23.48
91	28620.51	23.48
92	28662.51	23.48
93	28702.51	23.48
94	28732.51	23.48
95	28764.51	23.48
96	28786.51	23.48
97	28802.51	23.48
98	28988.51	23.48
99	29270.51	23.44
100	29582.51	24.93
101	29966.51	25.7
102	30200.51	26.3
103	30800.51	25.98
104	30982.51	25.69
105	31156.51	25.69
106	31320.51	25.69
107	31466.51	25.69
108	31596.51	25.69
109	31718.51	25.69
110	31806.51	25.69
111	31866.51	25.69
112	31910.51	25.69
113	31942.51	25.69
114	31962.51	25.69
115	31982.51	25.69
116	32002.51	25.69
117	32018.51	25.69
118	32038.51	25.69
119	32050.51	25.69
120	32056.51	25.69
121	32060.51	25.69
122	32064.51	25.69
123	32068.51	25.69
124	32072.51	25.69
