time_s	shared_cpu_mem_mb	shared_cpu_prefix_hit_pct
0	32	0
1	64	0
2	256	0
3	480	0
4	672	0
5	960	0
6	960	0
7	1088	0
8	1216	0
9	1440	0
10	1568	0
11	1664	0
12	1760	0
13	1760	0
14	1760	0
15	1888	0
16	1888	0
17	1888	0
18	1888	0
19	1888	0
20	2080	0
21	2400	0
22	2592	0
23	2848	2.54473161
24	3040	2.483267048
25	3072	2.483267048
26	3072	2.483267048
27	3200	2.483267048
28	3328	2.483267048
29	3360	2.483267048
30	3680	2.483267048
31	3808	2.483267048
32	3808	2.483267048
33	3808	2.483267048
34	3808	2.483267048
35	3840	2.483267048
36	3840	2.483267048
37	3904	2.483267048
38	3904	2.483267048
39	3936	8.824543261
40	3968	8.26873385
41	4160	7.717817305
42	4288	7.832738399
43	4480	7.250983478
44	4672	7.250983478
45	4864	7.250983478
46	5024	7.250983478
47	5152	7.250983478
48	5152	7.250983478
49	5344	7.250983478
50	5440	7.250983478
51	5536	7.250983478
52	5632	7.250983478
53	5632	7.250983478
54	5632	7.250983478
55	5664	7.250983478
56	5664	7.250983478
57	5696	7.250983478
58	5696	9.069705648
59	5760	9.087681931
60	6240	8.579791593
61	6560	8.148741215
62	6880	8.373384599
63	7008	8.373384599
64	7136	8.373384599
65	7200	8.373384599
66	7296	8.373384599
67	7456	8.373384599
68	7744	8.373384599
69	7936	8.373384599
70	8000	8.373384599
71	8096	8.373384599
72	8128	8.373384599
73	8224	8.373384599
74	8256	8.373384599
75	8288	8.373384599
76	8352	8.373384599
77	8352	8.240660935
78	8480	8.166777487
79	8576	8.018572429
80	8992	8.690781322
81	9088	8.354682375
82	9472	8.476286579
83	9632	8.476286579
84	9792	8.476286579
85	9792	8.476286579
86	9952	8.476286579
87	10208	8.476286579
88	10304	8.476286579
89	10464	8.476286579
90	10592	8.476286579
91	10592	8.476286579
92	10592	8.476286579
93	10592	8.476286579
94	10720	8.476286579
95	10752	8.476286579
96	10784	8.476286579
97	10816	8.495921896
98	10912	8.629515024
99	11168	8.476330555
100	11360	8.866307767
101	11680	9.422253742
102	11904	9.312118095
103	12288	9.312118095
104	12448	9.312118095
105	12576	9.312118095
106	12672	9.312118095
107	12960	9.312118095
108	13056	9.312118095
109	13088	9.312118095
110	13184	9.312118095
111	13248	9.312118095
112	13280	9.312118095
113	13312	9.312118095
114	13376	9.312118095
115	13376	9.312118095
116	13376	9.312118095
117	13408	9.312118095
118	13440	9.312118095
119	13440	9.312118095
120	13440	9.312118095
121	13440	9.312118095
122	13440	9.312118095
