instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,4,meta-llama/Llama-3.1-70B,27,55,587870262,1240647384,652777122,15784050,37390934,22792081,"[20906543, 20574916, 20574916, 20574916, 20574916, 20574916, 20574916, 20574916, 20574916, 20574916, 20574916, 20574916, 20574916, 20574916, 76409925, 20793295, 20793295, 21471344, 20837542, 20837542, 20837542, 20837542, 20837542, 20837542, 20837542, 20837542, 20837542]"
0,14,meta-llama/Llama-3.1-70B,4,28,1601985365,2131825557,529840192,13327010,34081321,21554733,"[20868578, 20868578, 21642623, 20914285, 20914285, 20914285, 20914285, 20914285, 20963200, 20371186, 20371186, 20371186, 20371186, 20371186, 22046108, 20451156, 21821744, 20510003, 20510003, 20510003, 20510003, 20510003, 38119514]"
0,44,meta-llama/Llama-3.1-70B,165,216,3910769752,5192971053,1282201301,18309499,45765054,24728724,"[21398448, 21398448, 21398448, 21398448, 21398448, 95174146, 21434037, 21434037, 21434037, 23336218, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 22096649, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21524386, 21524386, 107865830, 21529805, 21529805, 21529805]"
0,28,meta-llama/Llama-3.1-70B,20,153,2412644520,5559861038,3147216518,5670086,27469363,23634448,"[20623992, 20623992, 20623992, 20623992, 30739971, 21802322, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20647136, 30231252, 20782504, 20782504, 20782504, 20782504, 20782504, 20782504, 20782504, 20782504, 20782504, 22066094, 21013393, 21013393, 21013393, 21013393, 21013393, 39188741, 21116257, 117004952, 41352677, 21349881, 21349881, 21349881, 21349881, 21349881, 21349881, 21349881, 21349881, 21349881, 27455555, 21398448, 21398448, 21398448, 21398448, 21398448, 95174146, 21434037, 21434037, 21434037, 23336218, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 22096649, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21524386, 21524386, 107865830, 21529805, 21529805, 21529805, 21524386, 21524386, 21524386, 21524386, 21524386, 21524386, 21524386, 22451038, 21529805, 21529805, 21529805, 21529805, 21529805, 21529805, 21529805, 21529805, 21529805]"
0,18,meta-llama/Llama-3.1-70B,6,180,1789468368,5885788997,4096320629,14549522,35512722,23472878,"[20371186, 20371186, 20371186, 20371186, 20371186, 22046108, 20451156, 21821744, 20510003, 20510003, 20510003, 20510003, 20510003, 38119514, 20510003, 20510003, 20510003, 20510003, 20510003, 20510003, 81097999, 20582758, 20582758, 20582758, 20582758, 21799277, 20623992, 20623992, 20623992, 20623992, 30739971, 21802322, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20647136, 30231252, 20782504, 20782504, 20782504, 20782504, 20782504, 20782504, 20782504, 20782504, 20782504, 22066094, 21013393, 21013393, 21013393, 21013393, 21013393, 39188741, 21116257, 117004952, 41352677, 21349881, 21349881, 21349881, 21349881, 21349881, 21349881, 21349881, 21349881, 21349881, 27455555, 21398448, 21398448, 21398448, 21398448, 21398448, 95174146, 21434037, 21434037, 21434037, 23336218, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 22096649, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21524386, 21524386, 107865830, 21529805, 21529805, 21529805, 21524386, 21524386, 21524386, 21524386, 21524386, 21524386, 21524386, 22451038, 21529805, 21529805, 21529805, 21529805, 21529805, 21529805, 21529805, 21529805, 21529805, 21524386, 21524386, 22204137, 22851564, 21572410, 21572410, 21572410, 22015022, 21584462, 21584462, 21584462, 21584462, 21584462, 21584462, 21584462]"
0,60,meta-llama/Llama-3.1-70B,1,10,5704274631,5907361407,203086776,8408110,30423132,21582955,"[21584462, 21584462, 21584462, 21584462, 21584462, 21584462, 21584462, 21572410]"
0,6,meta-llama/Llama-3.1-70B,10,245,610813767,6050703931,5439890164,14447429,35353972,23096308,"[20574916, 20574916, 20574916, 20574916, 20574916, 20574916, 20574916, 20574916, 20574916, 20574916, 20574916, 20574916, 20574916, 76409925, 20793295, 20793295, 21471344, 20837542, 20837542, 20837542, 20837542, 20837542, 20837542, 20837542, 20837542, 20837542, 20793295, 20793295, 20793295, 20793295, 20793295, 20793295, 20793295, 20793295, 20793295, 20793295, 20793295, 20793295, 20793295, 20793295, 20793295, 20793295, 21134729, 20837542, 20754311, 20868578, 20868578, 21642623, 20914285, 20914285, 20914285, 20914285, 20914285, 20963200, 20371186, 20371186, 20371186, 20371186, 20371186, 22046108, 20451156, 21821744, 20510003, 20510003, 20510003, 20510003, 20510003, 38119514, 20510003, 20510003, 20510003, 20510003, 20510003, 20510003, 81097999, 20582758, 20582758, 20582758, 20582758, 21799277, 20623992, 20623992, 20623992, 20623992, 30739971, 21802322, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20647136, 30231252, 20782504, 20782504, 20782504, 20782504, 20782504, 20782504, 20782504, 20782504, 20782504, 22066094, 21013393, 21013393, 21013393, 21013393, 21013393, 39188741, 21116257, 117004952, 41352677, 21349881, 21349881, 21349881, 21349881, 21349881, 21349881, 21349881, 21349881, 21349881, 27455555, 21398448, 21398448, 21398448, 21398448, 21398448, 95174146, 21434037, 21434037, 21434037, 23336218, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 22096649, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21524386, 21524386, 107865830, 21529805, 21529805, 21529805, 21524386, 21524386, 21524386, 21524386, 21524386, 21524386, 21524386, 22451038, 21529805, 21529805, 21529805, 21529805, 21529805, 21529805, 21529805, 21529805, 21529805, 21524386, 21524386, 22204137, 22851564, 21572410, 21572410, 21572410, 22015022, 21584462, 21584462, 21584462, 21584462, 21584462, 21584462, 21584462, 21572410, 21529805, 24332958, 21572410, 21572410, 32750479, 21584462]"
0,2,meta-llama/Llama-3.1-70B,19,263,479613520,6093848751,5614235231,1098430,22493742,23011281,"[20278306, 20317186, 20317186, 20317186, 20317186, 21606884, 20906543, 20574916, 20574916, 20574916, 20574916, 20574916, 20574916, 20574916, 20574916, 20574916, 20574916, 20574916, 20574916, 20574916, 76409925, 20793295, 20793295, 21471344, 20837542, 20837542, 20837542, 20837542, 20837542, 20837542, 20837542, 20837542, 20837542, 20793295, 20793295, 20793295, 20793295, 20793295, 20793295, 20793295, 20793295, 20793295, 20793295, 20793295, 20793295, 20793295, 20793295, 20793295, 20793295, 21134729, 20837542, 20754311, 20868578, 20868578, 21642623, 20914285, 20914285, 20914285, 20914285, 20914285, 20963200, 20371186, 20371186, 20371186, 20371186, 20371186, 22046108, 20451156, 21821744, 20510003, 20510003, 20510003, 20510003, 20510003, 38119514, 20510003, 20510003, 20510003, 20510003, 20510003, 20510003, 81097999, 20582758, 20582758, 20582758, 20582758, 21799277, 20623992, 20623992, 20623992, 20623992, 30739971, 21802322, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20647136, 30231252, 20782504, 20782504, 20782504, 20782504, 20782504, 20782504, 20782504, 20782504, 20782504, 22066094, 21013393, 21013393, 21013393, 21013393, 21013393, 39188741, 21116257, 117004952, 41352677, 21349881, 21349881, 21349881, 21349881, 21349881, 21349881, 21349881, 21349881, 21349881, 27455555, 21398448, 21398448, 21398448, 21398448, 21398448, 95174146, 21434037, 21434037, 21434037, 23336218, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 22096649, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21524386, 21524386, 107865830, 21529805, 21529805, 21529805, 21524386, 21524386, 21524386, 21524386, 21524386, 21524386, 21524386, 22451038, 21529805, 21529805, 21529805, 21529805, 21529805, 21529805, 21529805, 21529805, 21529805, 21524386, 21524386, 22204137, 22851564, 21572410, 21572410, 21572410, 22015022, 21584462, 21584462, 21584462, 21584462, 21584462, 21584462, 21584462, 21572410, 21529805, 24332958, 21572410, 21572410, 32750479, 21584462, 21572410, 21572410]"
0,36,meta-llama/Llama-3.1-70B,25,160,3372350479,6650317146,3277966667,18784157,40850251,24157585,"[21013393, 21013393, 21013393, 21013393, 21013393, 39188741, 21116257, 117004952, 41352677, 21349881, 21349881, 21349881, 21349881, 21349881, 21349881, 21349881, 21349881, 21349881, 27455555, 21398448, 21398448, 21398448, 21398448, 21398448, 95174146, 21434037, 21434037, 21434037, 23336218, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 22096649, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21524386, 21524386, 107865830, 21529805, 21529805, 21529805, 21524386, 21524386, 21524386, 21524386, 21524386, 21524386, 21524386, 22451038, 21529805, 21529805, 21529805, 21529805, 21529805, 21529805, 21529805, 21529805, 21529805, 21524386, 21524386, 22204137, 22851564, 21572410, 21572410, 21572410, 22015022, 21584462, 21584462, 21584462, 21584462, 21584462, 21584462, 21584462, 21572410, 21529805, 24332958, 21572410, 21572410, 32750479, 21584462, 21572410, 21572410, 23861554, 21572410, 21572410, 21572410, 21572410, 21572410, 21572410, 21572410, 57835201, 21584462, 21584462, 21584462, 21584462, 21584462, 21584462, 21584222, 21584222, 21584222, 21584222, 21584222, 21584222, 21584222, 21584222, 21584222]"
0,8,meta-llama/Llama-3.1-70B,920,1193,903845068,7260966597,6357121529,9796579,86206504,23054834,"[20793295, 20793295, 21471344, 20837542, 20837542, 20837542, 20837542, 20837542, 20837542, 20837542, 20837542, 20837542, 20793295, 20793295, 20793295, 20793295, 20793295, 20793295, 20793295, 20793295, 20793295, 20793295, 20793295, 20793295, 20793295, 20793295, 20793295, 20793295, 21134729, 20837542, 20754311, 20868578, 20868578, 21642623, 20914285, 20914285, 20914285, 20914285, 20914285, 20963200, 20371186, 20371186, 20371186, 20371186, 20371186, 22046108, 20451156, 21821744, 20510003, 20510003, 20510003, 20510003, 20510003, 38119514, 20510003, 20510003, 20510003, 20510003, 20510003, 20510003, 81097999, 20582758, 20582758, 20582758, 20582758, 21799277, 20623992, 20623992, 20623992, 20623992, 30739971, 21802322, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20645056, 20647136, 30231252, 20782504, 20782504, 20782504, 20782504, 20782504, 20782504, 20782504, 20782504, 20782504, 22066094, 21013393, 21013393, 21013393, 21013393, 21013393, 39188741, 21116257, 117004952, 41352677, 21349881, 21349881, 21349881, 21349881, 21349881, 21349881, 21349881, 21349881, 21349881, 27455555, 21398448, 21398448, 21398448, 21398448, 21398448, 95174146, 21434037, 21434037, 21434037, 23336218, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 21445279, 22096649, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21523906, 21524386, 21524386, 107865830, 21529805, 21529805, 21529805, 21524386, 21524386, 21524386, 21524386, 21524386, 21524386, 21524386, 22451038, 21529805, 21529805, 21529805, 21529805, 21529805, 21529805, 21529805, 21529805, 21529805, 21524386, 21524386, 22204137, 22851564, 21572410, 21572410, 21572410, 22015022, 21584462, 21584462, 21584462, 21584462, 21584462, 21584462, 21584462, 21572410, 21529805, 24332958, 21572410, 21572410, 32750479, 21584462, 21572410, 21572410, 23861554, 21572410, 21572410, 21572410, 21572410, 21572410, 21572410, 21572410, 57835201, 21584462, 21584462, 21584462, 21584462, 21584462, 21584462, 21584222, 21584222, 21584222, 21584222, 21584222, 21584222, 21584222, 21584222, 21584222, 21573930, 21573930, 21573930, 21573930, 21573930, 21573930, 21573930, 21573930, 21573930, 22235195, 22182712, 21632220, 21632220, 21633900, 21633900, 21633900, 21633900, 21633900, 21633900, 21633900, 21633900, 21633900, 21633900, 69060282, 21701226, 21701226]"
