time_s	throughput
0	0
1	113.8
2	344.75
3	386.6
4	755.15
5	838.4
6	1318.85
7	1598
8	1719.4
9	1996.35
10	2004
11	2082.5
12	790.2
13	1858.35
14	1651.1
15	959.8
16	1145.55
17	1232.1
18	1522.95
19	1993.05
20	1632.1
21	1893.45
22	1464.8
23	2024.3
24	1859.7
25	2665.7
26	2533.05
27	2044.75
28	1920.35
29	1960.4
30	2153.05
31	3391.3
32	3122.15
33	3018.4
34	2763
35	2888.35
36	3010.25
37	2641.95
38	2460.2
39	2080.05
40	1935.9
41	1648.9
42	1320.5
43	1132.95
44	927.15
45	799.7
46	668.65
47	536.85
48	480.35
49	423.95
50	333.15
51	250.4
52	167.7
53	86.85
54	36.95
55	0
