time_s	power_w
0	408
1	771
2	914
3	922
4	925
5	924
6	914
7	872
8	748
9	552
10	535
11	530
12	528
13	525
14	518
15	517
16	523
17	525
18	523
19	525
20	524
21	524
22	525
23	524
24	517
25	437
26	408
27	407
28	406
29	406
30	406
31	406
32	407
33	406
34	406
35	406
36	404
37	406
38	406
39	405
40	405
41	406
42	405
43	404
44	404
45	404
46	404
47	404
48	405
49	404
50	405
51	405
52	404
53	405
54	404
55	403
56	404
57	403
58	404
59	405
60	432
61	790
62	922
63	928
64	928
65	926
66	914
67	910
68	844
69	586
70	549
71	535
72	534
73	533
74	525
75	521
76	525
77	531
78	529
79	529
80	530
81	530
82	530
83	530
84	529
85	486
86	419
87	401
88	408
89	408
90	408
91	407
92	409
93	408
94	407
95	408
96	407
97	406
98	407
99	407
100	407
101	407
102	406
103	407
104	407
105	407
106	407
107	405
108	406
109	405
110	405
111	406
112	405
113	406
114	404
115	405
116	405
117	404
118	404
119	405
120	437
121	825
122	926
123	926
124	926
125	921
126	920
127	918
128	912
