time_s	gpu_mem_mb	prefix_hit_pct
0	15432.64258	0
1	15758.67743	0
2	16220.72683	0.9
3	16600.76746	3.3
4	16958.80573	2
5	17124.82348	2
6	17276.83973	2
7	17422.85534	2
8	17528.86667	2
9	17616.87608	2
10	17678.88271	2
11	17720.8872	2
12	17772.89276	2
13	17802.89597	2
14	17840.90003	2
15	17858.90195	2
16	17876.90388	2
17	17884.90473	2
18	17898.90623	2
19	18250.94386	2
20	18658.98748	1.6
21	18985.02234	1.9
22	19361.06254	1.7
23	19589.08691	5.2
24	19757.10487	5.2
25	19905.1207	5.2
26	20043.13545	5.2
27	20143.14614	5.2
28	20241.15662	5.2
29	20331.16624	5.2
30	20389.17244	5.2
31	20447.17864	5.2
32	20493.18356	5.2
33	20521.18656	5.2
34	20543.18891	5.2
35	20563.19105	5.2
36	20581.19297	5.2
37	20589.19383	5.2
38	20725.20837	5.2
39	20981.23574	5.9
40	21275.26717	12.3
41	21615.30352	11.3
42	21933.33752	11.2
43	22091.35441	13.6
44	22251.37152	15.3
45	22379.3852	15.3
46	22495.3976	15.3
47	22605.40936	15.3
48	22681.41749	15.3
49	22747.42454	15.3
50	22797.42989	15.3
51	22843.43481	15.3
52	22869.43759	15.3
53	22891.43994	15.3
54	22913.44229	15.3
55	22923.44336	15.3
56	22937.44486	15.3
57	23151.46774	15.3
58	23721.52868	15.3
59	24143.5738	17.5
60	24479.60972	16.9
61	24781.64201	16.8
62	24955.66061	16.2
63	25121.67836	17.6
64	25283.69568	17.6
65	25437.71214	17.6
66	25577.72711	17.6
67	25701.74037	17.6
68	25781.74892	17.6
69	25859.75726	17.6
70	25925.76431	17.6
71	25983.77052	17.6
72	26011.77351	17.6
73	26047.77736	17.6
74	26081.78099	17.6
75	26111.7842	17.6
76	26245.79853	17.6
77	26601.83659	17.6
78	26967.87572	17.4
79	27333.91485	17.4
80	27659.9497	18.2
81	27901.97558	20.4
82	28071.99375	22.4
83	28222.00979	23.8
84	28364.02497	23.8
85	28486.03801	23.8
86	28586.0487	23.8
87	28664.05704	23.8
88	28710.06196	23.8
89	28752.06645	23.8
90	28794.07094	23.8
91	28832.075	23.8
92	28864.07843	23.8
93	28896.08185	23.8
94	28916.08399	23.8
95	28936.08612	23.8
96	29138.10772	23.8
97	29558.15262	23.8
98	29866.18555	23.5
99	30176.2187	24.5
100	30450.24799	24.6
101	31022.30914	25.7
102	31186.32668	26.2
103	31342.34336	26.1
104	31492.35939	25.7
105	31608.3718	25.7
106	31728.38463	25.7
107	31814.39382	25.7
108	31890.40195	25.7
109	31938.40708	25.7
110	31966.41007	25.7
111	31998.41349	25.7
112	32014.4152	25.7
113	32032.41713	25.7
114	32054.41948	25.7
115	32070.42119	25.7
116	32088.42311	25.7
117	32092.42354	25.7
118	32098.42418	25.7
119	32102.42461	25.7
120	32108.42525	25.7
121	32110.42547	25.7
122	32110.42547	25.7
123	32110.42547	25.7
124	32110.42547	25.7
