instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,9,meta-llama/Llama-3.1-8B,70,71,2026970074,2130824036,103853962,12175557,103853962,0,[]
0,26,meta-llama/Llama-3.1-8B,8,25,3250691133,3914505637,663814504,3561973,34158871,39353477,"[27218676, 27218676, 188373694, 33130068, 41695154, 28108542, 28108542, 28108542, 28108542, 28108542, 28108542, 28108542, 28108542, 28108542, 30769614, 28272873]"
0,31,meta-llama/Llama-3.1-8B,23,37,3529630331,3970722721,441092390,31160787,72855941,28325880,"[28108542, 28108542, 28108542, 28108542, 28108542, 28108542, 28108542, 28108542, 28108542, 30769614, 28272873, 28108542, 28108542]"
0,15,meta-llama/Llama-3.1-8B,12,52,2622246507,4449760731,1827514224,195645980,226865706,41042269,"[70015737, 32102815, 212546303, 90476038, 30596898, 27218676, 27218676, 188373694, 33130068, 41695154, 28108542, 28108542, 28108542, 28108542, 28108542, 28108542, 28108542, 28108542, 28108542, 30769614, 28272873, 28108542, 28108542, 27762131, 27762131, 27762131, 27762131, 27762131, 27762131, 27762131, 27762131, 30590731, 28108542, 28108542, 28108542, 28108542, 28108542, 30001863, 55805658]"
0,2,meta-llama/Llama-3.1-8B,30,128,1479613520,5265979491,3786365971,15460964,42793185,38593533,"[24653642, 24653642, 26956697, 26877601, 28463900, 25052167, 25062023, 25062023, 25062023, 25062023, 25062023, 25062023, 26779504, 25340176, 25354384, 31349895, 25221295, 25221295, 25221295, 25221295, 91678405, 25512036, 25512036, 25512036, 25512036, 25512036, 25512036, 25512036, 25512036, 25512036, 25512036, 39562781, 25739561, 25739561, 25739561, 25739561, 25739561, 25739561, 27607506, 210340438, 31219726, 70015737, 32102815, 212546303, 90476038, 30596898, 27218676, 27218676, 188373694, 33130068, 41695154, 28108542, 28108542, 28108542, 28108542, 28108542, 28108542, 28108542, 28108542, 28108542, 30769614, 28272873, 28108542, 28108542, 27762131, 27762131, 27762131, 27762131, 27762131, 27762131, 27762131, 27762131, 30590731, 28108542, 28108542, 28108542, 28108542, 28108542, 30001863, 55805658, 28194366, 28194366, 202123586, 133779005, 28864418, 28864418, 31791408, 31838455, 29747333, 29747333, 33592098, 29816922, 31715885, 29996513, 54553659, 30104672, 33294323]"
0,11,meta-llama/Llama-3.1-8B,134,205,2379405751,5417460191,3038054440,6538645,46101426,42742185,"[25739561, 25739561, 25739561, 25739561, 25739561, 25739561, 27607506, 210340438, 31219726, 70015737, 32102815, 212546303, 90476038, 30596898, 27218676, 27218676, 188373694, 33130068, 41695154, 28108542, 28108542, 28108542, 28108542, 28108542, 28108542, 28108542, 28108542, 28108542, 30769614, 28272873, 28108542, 28108542, 27762131, 27762131, 27762131, 27762131, 27762131, 27762131, 27762131, 27762131, 30590731, 28108542, 28108542, 28108542, 28108542, 28108542, 30001863, 55805658, 28194366, 28194366, 202123586, 133779005, 28864418, 28864418, 31791408, 31838455, 29747333, 29747333, 33592098, 29816922, 31715885, 29996513, 54553659, 30104672, 33294323, 30296140, 30296140, 30296140, 30296140, 30296140]"
0,43,meta-llama/Llama-3.1-8B,24,48,4880823975,5658297567,777473592,18956915,50748323,31596750,"[31838455, 29747333, 29747333, 33592098, 29816922, 31715885, 29996513, 54553659, 30104672, 33294323, 30296140, 30296140, 30296140, 30296140, 30296140, 30104672, 30104672, 30104672, 30104672, 30104672, 30104672, 30104672, 30104672]"
0,32,meta-llama/Llama-3.1-8B,224,290,3536356724,5838276645,2301919921,24434394,66129548,34396774,"[28108542, 28108542, 28108542, 28108542, 28108542, 28108542, 28108542, 28108542, 28108542, 30769614, 28272873, 28108542, 28108542, 27762131, 27762131, 27762131, 27762131, 27762131, 27762131, 27762131, 27762131, 30590731, 28108542, 28108542, 28108542, 28108542, 28108542, 30001863, 55805658, 28194366, 28194366, 202123586, 133779005, 28864418, 28864418, 31791408, 31838455, 29747333, 29747333, 33592098, 29816922, 31715885, 29996513, 54553659, 30104672, 33294323, 30296140, 30296140, 30296140, 30296140, 30296140, 30104672, 30104672, 30104672, 30104672, 30104672, 30104672, 30104672, 30104672, 29996513, 29996513, 29996513, 29996513, 29996513, 29996513]"
0,19,meta-llama/Llama-3.1-8B,352,435,2823890667,6076812021,3252921354,25221546,95237283,38508342,"[32102815, 212546303, 90476038, 30596898, 27218676, 27218676, 188373694, 33130068, 41695154, 28108542, 28108542, 28108542, 28108542, 28108542, 28108542, 28108542, 28108542, 28108542, 30769614, 28272873, 28108542, 28108542, 27762131, 27762131, 27762131, 27762131, 27762131, 27762131, 27762131, 27762131, 30590731, 28108542, 28108542, 28108542, 28108542, 28108542, 30001863, 55805658, 28194366, 28194366, 202123586, 133779005, 28864418, 28864418, 31791408, 31838455, 29747333, 29747333, 33592098, 29816922, 31715885, 29996513, 54553659, 30104672, 33294323, 30296140, 30296140, 30296140, 30296140, 30296140, 30104672, 30104672, 30104672, 30104672, 30104672, 30104672, 30104672, 30104672, 29996513, 29996513, 29996513, 29996513, 29996513, 29996513, 29816922, 29816922, 29816922, 29816922, 29816922, 29816922, 29816922, 29816922]"
0,37,meta-llama/Llama-3.1-8B,170,217,4382628210,6136306687,1753678477,11326863,67132521,36664042,"[28194366, 28194366, 202123586, 133779005, 28864418, 28864418, 31791408, 31838455, 29747333, 29747333, 33592098, 29816922, 31715885, 29996513, 54553659, 30104672, 33294323, 30296140, 30296140, 30296140, 30296140, 30296140, 30104672, 30104672, 30104672, 30104672, 30104672, 30104672, 30104672, 30104672, 29996513, 29996513, 29996513, 29996513, 29996513, 29996513, 29816922, 29816922, 29816922, 29816922, 29816922, 29816922, 29816922, 29816922, 29747333, 29747333]"
