model: gpt3-30b, num requests: 256, total length: 256, prompt/kv_cache length: ['407', '330', '303', '302', '282', '253', '243', '221', '194', '191', '178', '168', '165', '165', '163', '152', '150', '144', '143', '137', '135', '132', '131', '130', '129', '129', '129', '126', '123', '123', '121', '120', '137', '120', '117', '115', '115', '114', '112', '112', '107', '130', '110', '107', '106', '103', '103', '101', '99', '98', '104', '101', '92', '91', '91', '90', '90', '88', '86', '92', '92', '85', '85', '84', '84', '82', '81', '81', '81', '81', '80', '80', '80', '79', '79', '78', '77', '77', '83', '79', '78', '75', '75', '71', '70', '70', '69', '69', '68', '67', '66', '69', '67', '67', '66', '65', '64', '62', '62', '61', '61', '59', '59', '58', '81', '62', '58', '56', '54', '54', '53', '53', '51', '51', '50', '50', '50', '50', '49', '49', '49', '48', '48', '48', '46', '46', '56', '52', '50', '48', '47', '46', '45', '45', '45', '44', '43', '43', '43', '42', '42', '41', '41', '41', '40', '40', '40', '39', '38', '38', '38', '38', '37', '36', '36', '35', '47', '36', '35', '34', '33', '32', '30', '30', '30', '30', '29', '28', '27', '26', '54', '32', '28', '28', '27', '26', '26', '25', '24', '24', '24', '23', '23', '23', '23', '23', '23', '23', '22', '22', '22', '22', '22', '22', '21', '21', '21', '20', '20', '20', '20', '19', '19', '19', '19', '18', '18', '18', '17', '17', '17', '16', '14', '23', '21', '18', '17', '15', '15', '14', '14', '14', '14', '14', '14', '13', '13', '13', '13', '12', '12', '12', '12', '11', '11', '11', '10', '10', '10', '10', '10', '10', '10', '9', '9', '9', '9', '9', '9', '9', '8', '8', '7', '7', '7', '6']
[0.5s] Avg Throughput: propmt: 0, generation: 512
---------------------------
Exiting The Simulator
Unfreed Memory Exists
Checking Non-Exited Systems ...
---------------------------
All Request Has Been Exited
---------------------------
{'id': 0, 'model': 'gpt3-30b', 'input': 407, 'output': 408, 'arrival': 0, 'end_time': 36569832, 'latency': 36569832}
{'id': 1, 'model': 'gpt3-30b', 'input': 330, 'output': 331, 'arrival': 0, 'end_time': 36569832, 'latency': 36569832}
{'id': 2, 'model': 'gpt3-30b', 'input': 303, 'output': 304, 'arrival': 0, 'end_time': 36569832, 'latency': 36569832}
{'id': 3, 'model': 'gpt3-30b', 'input': 302, 'output': 303, 'arrival': 0, 'end_time': 36569832, 'latency': 36569832}
{'id': 4, 'model': 'gpt3-30b', 'input': 282, 'output': 283, 'arrival': 0, 'end_time': 36569832, 'latency': 36569832}
{'id': 5, 'model': 'gpt3-30b', 'input': 253, 'output': 254, 'arrival': 0, 'end_time': 36569832, 'latency': 36569832}
{'id': 6, 'model': 'gpt3-30b', 'input': 243, 'output': 244, 'arrival': 0, 'end_time': 36569832, 'latency': 36569832}
{'id': 7, 'model': 'gpt3-30b', 'input': 221, 'output': 222, 'arrival': 0, 'end_time': 36569832, 'latency': 36569832}
{'id': 8, 'model': 'gpt3-30b', 'input': 194, 'output': 195, 'arrival': 0, 'end_time': 36569832, 'latency': 36569832}
{'id': 9, 'model': 'gpt3-30b', 'input': 191, 'output': 192, 'arrival': 0, 'end_time': 36569832, 'latency': 36569832}
{'id': 10, 'model': 'gpt3-30b', 'input': 178, 'output': 179, 'arrival': 0, 'end_time': 36569832, 'latency': 36569832}
{'id': 11, 'model': 'gpt3-30b', 'input': 168, 'output': 169, 'arrival': 0, 'end_time': 36569832, 'latency': 36569832}
{'id': 12, 'model': 'gpt3-30b', 'input': 165, 'output': 166, 'arrival': 0, 'end_time': 36569832, 'latency': 36569832}
{'id': 13, 'model': 'gpt3-30b', 'input': 165, 'output': 166, 'arrival': 0, 'end_time': 36569832, 'latency': 36569832}
{'id': 14, 'model': 'gpt3-30b', 'input': 163, 'output': 164, 'arrival': 0, 'end_time': 36569832, 'latency': 36569832}
{'id': 15, 'model': 'gpt3-30b', 'input': 152, 'output': 153, 'arrival': 0, 'end_time': 36569832, 'latency': 36569832}
{'id': 16, 'model': 'gpt3-30b', 'input': 150, 'output': 151, 'arrival': 0, 'end_time': 36569832, 'latency': 36569832}
{'id': 17, 'model': 'gpt3-30b', 'input': 144, 'output': 145, 'arrival': 0, 'end_time': 36569832, 'latency': 36569832}
{'id': 18, 'model': 'gpt3-30b', 'input': 143, 'output': 144, 'arrival': 0, 'end_time': 36569832, 'latency': 36569832}
{'id': 19, 'model': 'gpt3-30b', 'input': 137, 'output': 138, 'arrival': 0, 'end_time': 36569832, 'latency': 36569832}
{'id': 20, 'model': 'gpt3-30b', 'input': 135, 'output': 136, 'arrival': 0, 'end_time': 36569832, 'latency': 36569832}
{'id': 21, 'model': 'gpt3-30b', 'input': 132, 'output': 133, 'arrival': 0, 'end_time': 36569832, 'latency': 36569832}
{'id': 22, 'model': 'gpt3-30b', 'input': 131, 'output': 132, 'arrival': 0, 'end_time': 36569832, 'latency': 36569832}
