model: gpt3-6.7b, num requests: 128, total length: 128, prompt/kv_cache length: ['259', '230', '189', '189', '176', '169', '162', '150', '140', '139', '132', '130', '128', '123', '123', '118', '114', '111', '109', '108', '101', '100', '93', '93', '91', '90', '89', '88', '85', '84', '81', '81', '79', '78', '77', '76', '74', '73', '73', '70', '68', '67', '66', '63', '62', '62', '61', '61', '59', '59', '58', '57', '55', '55', '52', '52', '51', '50', '49', '47', '46', '46', '45', '45', '44', '42', '42', '41', '41', '40', '39', '39', '39', '38', '37', '34', '33', '32', '32', '32', '31', '31', '30', '29', '29', '29', '28', '28', '27', '27', '27', '26', '26', '26', '24', '23', '23', '22', '21', '21', '20', '19', '19', '18', '18', '17', '16', '16', '15', '14', '14', '14', '14', '12', '12', '12', '11', '11', '11', '11', '10', '10', '10', '9', '9', '8', '7', '6']
model: gpt3-6.7b, num requests: 128, total length: 128, prompt/kv_cache length: ['241', '202', '189', '179', '172', '167', '160', '141', '139', '133', '131', '130', '125', '123', '122', '115', '112', '110', '109', '102', '101', '99', '93', '92', '91', '90', '89', '85', '85', '83', '81', '80', '79', '78', '77', '75', '74', '73', '72', '69', '67', '66', '66', '63', '62', '61', '61', '61', '59', '59', '57', '56', '55', '53', '52', '52', '50', '49', '49', '47', '46', '46', '45', '45', '43', '42', '42', '41', '41', '40', '39', '39', '38', '37', '35', '34', '33', '32', '32', '32', '31', '30', '30', '29', '29', '29', '28', '28', '27', '27', '26', '26', '26', '24', '23', '23', '22', '22', '21', '20', '19', '19', '18', '18', '18', '16', '16', '15', '15', '14', '14', '14', '13', '12', '12', '12', '11', '11', '11', '11', '10', '10', '9', '9', '9', '7', '7', '5']
[0.5s] Avg Throughput: propmt: 0, generation: 512
---------------------------
Exiting The Simulator
Unfreed Memory Exists
Checking Non-Exited Systems ...
---------------------------
All Request Has Been Exited
---------------------------
{'id': 0, 'model': 'gpt3-6.7b', 'input': 259, 'output': 260, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 1, 'model': 'gpt3-6.7b', 'input': 241, 'output': 242, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 2, 'model': 'gpt3-6.7b', 'input': 230, 'output': 231, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 3, 'model': 'gpt3-6.7b', 'input': 202, 'output': 203, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 4, 'model': 'gpt3-6.7b', 'input': 189, 'output': 190, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 5, 'model': 'gpt3-6.7b', 'input': 189, 'output': 190, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 6, 'model': 'gpt3-6.7b', 'input': 189, 'output': 190, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 7, 'model': 'gpt3-6.7b', 'input': 179, 'output': 180, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 8, 'model': 'gpt3-6.7b', 'input': 176, 'output': 177, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 9, 'model': 'gpt3-6.7b', 'input': 172, 'output': 173, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 10, 'model': 'gpt3-6.7b', 'input': 169, 'output': 170, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 11, 'model': 'gpt3-6.7b', 'input': 167, 'output': 168, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 12, 'model': 'gpt3-6.7b', 'input': 162, 'output': 163, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 13, 'model': 'gpt3-6.7b', 'input': 160, 'output': 161, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 14, 'model': 'gpt3-6.7b', 'input': 150, 'output': 151, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 15, 'model': 'gpt3-6.7b', 'input': 141, 'output': 142, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 16, 'model': 'gpt3-6.7b', 'input': 140, 'output': 141, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 17, 'model': 'gpt3-6.7b', 'input': 139, 'output': 140, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 18, 'model': 'gpt3-6.7b', 'input': 139, 'output': 140, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 19, 'model': 'gpt3-6.7b', 'input': 133, 'output': 134, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 20, 'model': 'gpt3-6.7b', 'input': 132, 'output': 133, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 21, 'model': 'gpt3-6.7b', 'input': 130, 'output': 131, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 22, 'model': 'gpt3-6.7b', 'input': 130, 'output': 131, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 23, 'model': 'gpt3-6.7b', 'input': 131, 'output': 132, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 24, 'model': 'gpt3-6.7b', 'input': 128, 'output': 129, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 25, 'model': 'gpt3-6.7b', 'input': 125, 'output': 126, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 26, 'model': 'gpt3-6.7b', 'input': 123, 'output': 124, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 27, 'model': 'gpt3-6.7b', 'input': 123, 'output': 124, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 28, 'model': 'gpt3-6.7b', 'input': 122, 'output': 123, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 29, 'model': 'gpt3-6.7b', 'input': 118, 'output': 119, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 30, 'model': 'gpt3-6.7b', 'input': 114, 'output': 115, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 31, 'model': 'gpt3-6.7b', 'input': 123, 'output': 124, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 32, 'model': 'gpt3-6.7b', 'input': 115, 'output': 116, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 33, 'model': 'gpt3-6.7b', 'input': 112, 'output': 113, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 34, 'model': 'gpt3-6.7b', 'input': 111, 'output': 112, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 35, 'model': 'gpt3-6.7b', 'input': 110, 'output': 111, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 36, 'model': 'gpt3-6.7b', 'input': 109, 'output': 110, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 37, 'model': 'gpt3-6.7b', 'input': 109, 'output': 110, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 38, 'model': 'gpt3-6.7b', 'input': 108, 'output': 109, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 39, 'model': 'gpt3-6.7b', 'input': 102, 'output': 103, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 40, 'model': 'gpt3-6.7b', 'input': 101, 'output': 102, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 41, 'model': 'gpt3-6.7b', 'input': 101, 'output': 102, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 42, 'model': 'gpt3-6.7b', 'input': 100, 'output': 101, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 43, 'model': 'gpt3-6.7b', 'input': 99, 'output': 100, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 44, 'model': 'gpt3-6.7b', 'input': 93, 'output': 94, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 45, 'model': 'gpt3-6.7b', 'input': 93, 'output': 94, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 46, 'model': 'gpt3-6.7b', 'input': 93, 'output': 94, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 47, 'model': 'gpt3-6.7b', 'input': 92, 'output': 93, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 48, 'model': 'gpt3-6.7b', 'input': 91, 'output': 92, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 49, 'model': 'gpt3-6.7b', 'input': 90, 'output': 91, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 50, 'model': 'gpt3-6.7b', 'input': 90, 'output': 91, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 51, 'model': 'gpt3-6.7b', 'input': 89, 'output': 90, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 52, 'model': 'gpt3-6.7b', 'input': 89, 'output': 90, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 53, 'model': 'gpt3-6.7b', 'input': 88, 'output': 89, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 54, 'model': 'gpt3-6.7b', 'input': 91, 'output': 92, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 55, 'model': 'gpt3-6.7b', 'input': 85, 'output': 86, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 56, 'model': 'gpt3-6.7b', 'input': 85, 'output': 86, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 57, 'model': 'gpt3-6.7b', 'input': 85, 'output': 86, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 58, 'model': 'gpt3-6.7b', 'input': 84, 'output': 85, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 59, 'model': 'gpt3-6.7b', 'input': 83, 'output': 84, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 60, 'model': 'gpt3-6.7b', 'input': 81, 'output': 82, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 61, 'model': 'gpt3-6.7b', 'input': 81, 'output': 82, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 62, 'model': 'gpt3-6.7b', 'input': 81, 'output': 82, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 63, 'model': 'gpt3-6.7b', 'input': 80, 'output': 81, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 64, 'model': 'gpt3-6.7b', 'input': 79, 'output': 80, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 65, 'model': 'gpt3-6.7b', 'input': 78, 'output': 79, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 66, 'model': 'gpt3-6.7b', 'input': 77, 'output': 78, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 67, 'model': 'gpt3-6.7b', 'input': 79, 'output': 80, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 68, 'model': 'gpt3-6.7b', 'input': 78, 'output': 79, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 69, 'model': 'gpt3-6.7b', 'input': 77, 'output': 78, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 70, 'model': 'gpt3-6.7b', 'input': 76, 'output': 77, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 71, 'model': 'gpt3-6.7b', 'input': 75, 'output': 76, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 72, 'model': 'gpt3-6.7b', 'input': 74, 'output': 75, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 73, 'model': 'gpt3-6.7b', 'input': 74, 'output': 75, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 74, 'model': 'gpt3-6.7b', 'input': 73, 'output': 74, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 75, 'model': 'gpt3-6.7b', 'input': 73, 'output': 74, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 76, 'model': 'gpt3-6.7b', 'input': 73, 'output': 74, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 77, 'model': 'gpt3-6.7b', 'input': 72, 'output': 73, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 78, 'model': 'gpt3-6.7b', 'input': 70, 'output': 71, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 79, 'model': 'gpt3-6.7b', 'input': 69, 'output': 70, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 80, 'model': 'gpt3-6.7b', 'input': 68, 'output': 69, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 81, 'model': 'gpt3-6.7b', 'input': 67, 'output': 68, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 82, 'model': 'gpt3-6.7b', 'input': 67, 'output': 68, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 83, 'model': 'gpt3-6.7b', 'input': 66, 'output': 67, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 84, 'model': 'gpt3-6.7b', 'input': 66, 'output': 67, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 85, 'model': 'gpt3-6.7b', 'input': 66, 'output': 67, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 86, 'model': 'gpt3-6.7b', 'input': 63, 'output': 64, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 87, 'model': 'gpt3-6.7b', 'input': 63, 'output': 64, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 88, 'model': 'gpt3-6.7b', 'input': 62, 'output': 63, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 89, 'model': 'gpt3-6.7b', 'input': 62, 'output': 63, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 90, 'model': 'gpt3-6.7b', 'input': 62, 'output': 63, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 91, 'model': 'gpt3-6.7b', 'input': 61, 'output': 62, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 92, 'model': 'gpt3-6.7b', 'input': 61, 'output': 62, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 93, 'model': 'gpt3-6.7b', 'input': 61, 'output': 62, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 94, 'model': 'gpt3-6.7b', 'input': 61, 'output': 62, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 95, 'model': 'gpt3-6.7b', 'input': 61, 'output': 62, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 96, 'model': 'gpt3-6.7b', 'input': 59, 'output': 60, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
{'id': 97, 'model': 'gpt3-6.7b', 'input': 59, 'output': 60, 'arrival': 0, 'end_time': 8662640, 'latency': 8662640}
