time duration,prompt throughput,generation throughput
0,95.8,21.9
0.5,134,80
1,191.8,175.8
1.5,284.1,95.4
2,244.7,199
2.5,358.5,260.9
3,50,387.7
3.5,405.1,239.4
4,525.8,91.3
4.5,39.9,439
5,115.7,456.9
5.5,77.8,279.3
6,839.6,141.6
6.5,97.8,558.9
7,181.5,464.7
7.5,249.5,371.2
8,251.6,279.6
8.5,124.8,413.9
9,202.3,434.3
9.5,0,566.6
10,0,655.3
10.5,0,745.4
11,0,592.6
11.5,0,683.3
12,0,657.3
12.5,0,671.4
13,0,583.1
13.5,0,541.2
14,0,504.1
14.5,0,446.9
15,0,387.3
15.5,0,337.3
16,0,261.8
16.5,0,144.8
17,0,31.6
