time duration,prompt throughput,generation throughput
0,95.8,22
0.5,133.7,79.9
1,191.7,159.7
1.5,284,83.4
2,245.3,147.6
2.5,357.6,260.2
3,49.7,389.8
3.5,393.5,236.5
4,490.5,166.6
4.5,34.5,463.8
5,191.5,375.1
5.5,642.2,202.2
6,148.9,440.8
6.5,226.8,405
7,243,353.6
7.5,147.7,381
8,193.3,404.2
8.5,212.6,288.7
9,45.3,584.7
9.5,0,624.8
10,0,668.4
10.5,0,655.6
11,0,648.3
11.5,0,551.2
12,0,626.5
12.5,0,576.6
13,0,545.1
13.5,0,556.5
14,0,416.7
14.5,0,435.2
15,0,442.3
15.5,0,341.6
16,0,283.1
16.5,0,195.5
17,0,66
17.5,0,2
