"(TP,PP)-w/o reuse",execution engine (ms),graph converter (ms),astra-sim (ms),scheduler (ms),total (ms)
"(64,1)-w/o reuse",195597.65,1927.01,17952.71,234.18,215711.54
"(64,1)-w reuse",13570.13,1883.16,17897.89,236.68,33587.86
"(16,4)-w/o reuse",194550.64,538.78,9103.7,1495.84,205688.96
"(16,4)-w reuse",13496.59,534.3,9092.68,1453.58,24577.14
"(8,8)-w/o reuse",195338.67,330.02,5628.45,1080.21,202377.34
"(8,8)-w reuse",13542.51,333.72,5566.67,1074,20516.9
"(4,16)-w/o reuse",195747.41,230.25,3552.8,765,200295.47
"(4,16)-w reuse",13492.43,236.62,3080.04,752.93,17562.02
"(1,64)-w/o reuse",195377.35,157.95,2002.53,495.43,198033.25
"(1,64)-w reuse",13603.83,156.19,1987.48,512.96,16260.46
