sec,power
0,387
1,379
2,380
3,381
4,340
5,356
6,388
7,391
8,402
9,386
10,387
11,571
12,677
13,672
14,674
15,686
16,685
17,687
18,682
19,684
20,690
21,690
22,666
23,500
24,462
25,453
26,448
27,446
28,441
29,442
30,444
31,444
32,444
33,444
34,445
35,445
36,445
37,445
38,443
39,434
40,394
41,385
42,386
43,385
44,383
45,384
46,384
47,384
48,384
49,384
50,382
51,382
52,383
53,383
54,382
55,382
56,380
57,379
58,380
59,382
60,383
61,381
62,380
63,380
64,379
65,380
66,381
67,381
68,382
69,378
70,400
71,615
72,684
73,684
74,688
75,687
76,688
77,688
78,687
79,690
80,691
81,694
82,693
83,607
84,476
85,465
86,454
87,448
88,450
89,446
90,445
91,447
92,446
93,448
94,448
95,448
96,448
97,447
98,446
99,446
100,437
101,394
102,388
103,387
104,386
105,386
106,385
107,385
108,386
109,385
110,384
111,384
112,383
113,382
114,383
115,383
116,382
117,382
118,382
119,381
120,382
121,382
122,380
123,381
124,381
125,380
126,382
127,380
128,380
129,381
130,418
131,629
132,684
133,685
134,689
135,688
136,689
137,690
138,690
139,690
140,692
141,693
142,693
143,693
144,694
145,693
146,577
147,475
148,468
149,458
150,462
151,455
152,446
153,447
154,453
155,452
156,452
157,451
158,451
159,450
160,450
161,449
162,441
163,397
164,388
165,388
166,390
167,386
168,386
169,387
170,387
171,385
172,385
173,384
174,385
175,384
176,384
177,384
178,384
179,383
180,383
181,384
182,382
186,384
187,382
188,381
189,381
190,381
191,379
192,380
193,380
194,379
195,379
196,364
197,358
198,379
199,377
200,378
201,379
202,376
203,374
204,378
205,377
