hardware,model,layer_name,input,kv_cache,latency(ns)
RTX3090,meta-llama/Llama-3.1-8B-Instruct,embedding,1,0,74101
RTX3090,meta-llama/Llama-3.1-8B-Instruct,input_layernorm,1,0,185576
RTX3090,meta-llama/Llama-3.1-8B-Instruct,q_proj,1,0,83697
RTX3090,meta-llama/Llama-3.1-8B-Instruct,k_proj,1,0,61456
RTX3090,meta-llama/Llama-3.1-8B-Instruct,v_proj,1,0,59212
RTX3090,meta-llama/Llama-3.1-8B-Instruct,rope,1,0,245640
RTX3090,meta-llama/Llama-3.1-8B-Instruct,attn,1,0,91011
RTX3090,meta-llama/Llama-3.1-8B-Instruct,o_proj,1,0,73251
RTX3090,meta-llama/Llama-3.1-8B-Instruct,post_layernorm,1,0,176890
RTX3090,meta-llama/Llama-3.1-8B-Instruct,gate_proj,1,0,94799
RTX3090,meta-llama/Llama-3.1-8B-Instruct,act_fn,1,0,41590
RTX3090,meta-llama/Llama-3.1-8B-Instruct,up_proj,1,0,67045
RTX3090,meta-llama/Llama-3.1-8B-Instruct,down_proj,1,0,66974
RTX3090,meta-llama/Llama-3.1-8B-Instruct,final_layernorm,1,0,196598
RTX3090,meta-llama/Llama-3.1-8B-Instruct,lm_head,1,0,77255
RTX3090,meta-llama/Llama-3.1-8B-Instruct,embedding,2,0,72972
RTX3090,meta-llama/Llama-3.1-8B-Instruct,input_layernorm,2,0,179371
RTX3090,meta-llama/Llama-3.1-8B-Instruct,q_proj,2,0,79412
RTX3090,meta-llama/Llama-3.1-8B-Instruct,k_proj,2,0,66466
RTX3090,meta-llama/Llama-3.1-8B-Instruct,v_proj,2,0,60131
RTX3090,meta-llama/Llama-3.1-8B-Instruct,rope,2,0,239972
RTX3090,meta-llama/Llama-3.1-8B-Instruct,attn,2,0,89340
RTX3090,meta-llama/Llama-3.1-8B-Instruct,o_proj,2,0,72812
RTX3090,meta-llama/Llama-3.1-8B-Instruct,post_layernorm,2,0,175736
RTX3090,meta-llama/Llama-3.1-8B-Instruct,gate_proj,2,0,73645
RTX3090,meta-llama/Llama-3.1-8B-Instruct,act_fn,2,0,39985
RTX3090,meta-llama/Llama-3.1-8B-Instruct,up_proj,2,0,62094
RTX3090,meta-llama/Llama-3.1-8B-Instruct,down_proj,2,0,59215
RTX3090,meta-llama/Llama-3.1-8B-Instruct,final_layernorm,2,0,175196
RTX3090,meta-llama/Llama-3.1-8B-Instruct,lm_head,2,0,78328
RTX3090,meta-llama/Llama-3.1-8B-Instruct,embedding,3,0,74707
RTX3090,meta-llama/Llama-3.1-8B-Instruct,input_layernorm,3,0,182487
RTX3090,meta-llama/Llama-3.1-8B-Instruct,q_proj,3,0,81650
RTX3090,meta-llama/Llama-3.1-8B-Instruct,k_proj,3,0,69010
RTX3090,meta-llama/Llama-3.1-8B-Instruct,v_proj,3,0,62718
RTX3090,meta-llama/Llama-3.1-8B-Instruct,rope,3,0,241962
RTX3090,meta-llama/Llama-3.1-8B-Instruct,attn,3,0,92470
RTX3090,meta-llama/Llama-3.1-8B-Instruct,o_proj,3,0,74657
RTX3090,meta-llama/Llama-3.1-8B-Instruct,post_layernorm,3,0,176348
RTX3090,meta-llama/Llama-3.1-8B-Instruct,gate_proj,3,0,75124
RTX3090,meta-llama/Llama-3.1-8B-Instruct,act_fn,3,0,41390
RTX3090,meta-llama/Llama-3.1-8B-Instruct,up_proj,3,0,63179
RTX3090,meta-llama/Llama-3.1-8B-Instruct,down_proj,3,0,60282
RTX3090,meta-llama/Llama-3.1-8B-Instruct,final_layernorm,3,0,177523
RTX3090,meta-llama/Llama-3.1-8B-Instruct,lm_head,3,0,78974
RTX3090,meta-llama/Llama-3.1-8B-Instruct,embedding,4,0,72886
RTX3090,meta-llama/Llama-3.1-8B-Instruct,input_layernorm,4,0,180075
RTX3090,meta-llama/Llama-3.1-8B-Instruct,q_proj,4,0,79321
RTX3090,meta-llama/Llama-3.1-8B-Instruct,k_proj,4,0,66933
RTX3090,meta-llama/Llama-3.1-8B-Instruct,v_proj,4,0,61480
RTX3090,meta-llama/Llama-3.1-8B-Instruct,rope,4,0,241316
RTX3090,meta-llama/Llama-3.1-8B-Instruct,attn,4,0,89163
RTX3090,meta-llama/Llama-3.1-8B-Instruct,o_proj,4,0,73776
RTX3090,meta-llama/Llama-3.1-8B-Instruct,post_layernorm,4,0,175601
RTX3090,meta-llama/Llama-3.1-8B-Instruct,gate_proj,4,0,74128
RTX3090,meta-llama/Llama-3.1-8B-Instruct,act_fn,4,0,40592
RTX3090,meta-llama/Llama-3.1-8B-Instruct,up_proj,4,0,76771
RTX3090,meta-llama/Llama-3.1-8B-Instruct,down_proj,4,0,59162
RTX3090,meta-llama/Llama-3.1-8B-Instruct,final_layernorm,4,0,176161
RTX3090,meta-llama/Llama-3.1-8B-Instruct,lm_head,4,0,77874
RTX3090,meta-llama/Llama-3.1-8B-Instruct,embedding,5,0,72923
RTX3090,meta-llama/Llama-3.1-8B-Instruct,input_layernorm,5,0,179220
RTX3090,meta-llama/Llama-3.1-8B-Instruct,q_proj,5,0,79684
RTX3090,meta-llama/Llama-3.1-8B-Instruct,k_proj,5,0,66707
RTX3090,meta-llama/Llama-3.1-8B-Instruct,v_proj,5,0,60339
RTX3090,meta-llama/Llama-3.1-8B-Instruct,rope,5,0,241272
RTX3090,meta-llama/Llama-3.1-8B-Instruct,attn,5,0,89065
RTX3090,meta-llama/Llama-3.1-8B-Instruct,o_proj,5,0,73225
RTX3090,meta-llama/Llama-3.1-8B-Instruct,post_layernorm,5,0,175461
RTX3090,meta-llama/Llama-3.1-8B-Instruct,gate_proj,5,0,73447
RTX3090,meta-llama/Llama-3.1-8B-Instruct,act_fn,5,0,40211
RTX3090,meta-llama/Llama-3.1-8B-Instruct,up_proj,5,0,61270
RTX3090,meta-llama/Llama-3.1-8B-Instruct,down_proj,5,0,58705
RTX3090,meta-llama/Llama-3.1-8B-Instruct,final_layernorm,5,0,175225
RTX3090,meta-llama/Llama-3.1-8B-Instruct,lm_head,5,0,77582
RTX3090,meta-llama/Llama-3.1-8B-Instruct,embedding,6,0,73427
RTX3090,meta-llama/Llama-3.1-8B-Instruct,input_layernorm,6,0,180587
RTX3090,meta-llama/Llama-3.1-8B-Instruct,q_proj,6,0,79567
RTX3090,meta-llama/Llama-3.1-8B-Instruct,k_proj,6,0,67217
RTX3090,meta-llama/Llama-3.1-8B-Instruct,v_proj,6,0,61684
RTX3090,meta-llama/Llama-3.1-8B-Instruct,rope,6,0,242621
RTX3090,meta-llama/Llama-3.1-8B-Instruct,attn,6,0,89493
RTX3090,meta-llama/Llama-3.1-8B-Instruct,o_proj,6,0,73349
RTX3090,meta-llama/Llama-3.1-8B-Instruct,post_layernorm,6,0,175825
RTX3090,meta-llama/Llama-3.1-8B-Instruct,gate_proj,6,0,74751
RTX3090,meta-llama/Llama-3.1-8B-Instruct,act_fn,6,0,39943
RTX3090,meta-llama/Llama-3.1-8B-Instruct,up_proj,6,0,61854
RTX3090,meta-llama/Llama-3.1-8B-Instruct,down_proj,6,0,61082
RTX3090,meta-llama/Llama-3.1-8B-Instruct,final_layernorm,6,0,176523
RTX3090,meta-llama/Llama-3.1-8B-Instruct,lm_head,6,0,78042
RTX3090,meta-llama/Llama-3.1-8B-Instruct,embedding,7,0,72820
RTX3090,meta-llama/Llama-3.1-8B-Instruct,input_layernorm,7,0,180533
RTX3090,meta-llama/Llama-3.1-8B-Instruct,q_proj,7,0,79950
RTX3090,meta-llama/Llama-3.1-8B-Instruct,k_proj,7,0,66829
RTX3090,meta-llama/Llama-3.1-8B-Instruct,v_proj,7,0,60744
RTX3090,meta-llama/Llama-3.1-8B-Instruct,rope,7,0,242182
RTX3090,meta-llama/Llama-3.1-8B-Instruct,attn,7,0,89673
RTX3090,meta-llama/Llama-3.1-8B-Instruct,o_proj,7,0,73430
RTX3090,meta-llama/Llama-3.1-8B-Instruct,post_layernorm,7,0,175804
RTX3090,meta-llama/Llama-3.1-8B-Instruct,gate_proj,7,0,74089
RTX3090,meta-llama/Llama-3.1-8B-Instruct,act_fn,7,0,40471
RTX3090,meta-llama/Llama-3.1-8B-Instruct,up_proj,7,0,61756
RTX3090,meta-llama/Llama-3.1-8B-Instruct,down_proj,7,0,59057
RTX3090,meta-llama/Llama-3.1-8B-Instruct,final_layernorm,7,0,175581
