hardware,model,layer_name,input,kv_cache,latency(ns)
RTX3090,meta-llama/Llama-3.1-8B-Instruct,embedding,1,0,46750
RTX3090,meta-llama/Llama-3.1-8B-Instruct,input_layernorm,1,0,117081
RTX3090,meta-llama/Llama-3.1-8B-Instruct,q_proj,1,0,52805
RTX3090,meta-llama/Llama-3.1-8B-Instruct,k_proj,1,0,38773
RTX3090,meta-llama/Llama-3.1-8B-Instruct,v_proj,1,0,37357
RTX3090,meta-llama/Llama-3.1-8B-Instruct,rope,1,0,154976
RTX3090,meta-llama/Llama-3.1-8B-Instruct,attn,1,0,57419
RTX3090,meta-llama/Llama-3.1-8B-Instruct,o_proj,1,0,46214
RTX3090,meta-llama/Llama-3.1-8B-Instruct,post_layernorm,1,0,111601
RTX3090,meta-llama/Llama-3.1-8B-Instruct,gate_proj,1,0,59809
RTX3090,meta-llama/Llama-3.1-8B-Instruct,act_fn,1,0,26239
RTX3090,meta-llama/Llama-3.1-8B-Instruct,up_proj,1,0,42299
RTX3090,meta-llama/Llama-3.1-8B-Instruct,down_proj,1,0,42254
RTX3090,meta-llama/Llama-3.1-8B-Instruct,final_layernorm,1,0,124035
RTX3090,meta-llama/Llama-3.1-8B-Instruct,lm_head,1,0,48740
RTX3090,meta-llama/Llama-3.1-8B-Instruct,embedding,2,0,46038
RTX3090,meta-llama/Llama-3.1-8B-Instruct,input_layernorm,2,0,113166
RTX3090,meta-llama/Llama-3.1-8B-Instruct,q_proj,2,0,50101
RTX3090,meta-llama/Llama-3.1-8B-Instruct,k_proj,2,0,41933
RTX3090,meta-llama/Llama-3.1-8B-Instruct,v_proj,2,0,37937
RTX3090,meta-llama/Llama-3.1-8B-Instruct,rope,2,0,151400
RTX3090,meta-llama/Llama-3.1-8B-Instruct,attn,2,0,56365
RTX3090,meta-llama/Llama-3.1-8B-Instruct,o_proj,2,0,45937
RTX3090,meta-llama/Llama-3.1-8B-Instruct,post_layernorm,2,0,110873
RTX3090,meta-llama/Llama-3.1-8B-Instruct,gate_proj,2,0,46463
RTX3090,meta-llama/Llama-3.1-8B-Instruct,act_fn,2,0,25226
RTX3090,meta-llama/Llama-3.1-8B-Instruct,up_proj,2,0,39175
RTX3090,meta-llama/Llama-3.1-8B-Instruct,down_proj,2,0,37359
RTX3090,meta-llama/Llama-3.1-8B-Instruct,final_layernorm,2,0,110532
RTX3090,meta-llama/Llama-3.1-8B-Instruct,lm_head,2,0,49417
RTX3090,meta-llama/Llama-3.1-8B-Instruct,embedding,3,0,47133
RTX3090,meta-llama/Llama-3.1-8B-Instruct,input_layernorm,3,0,115132
RTX3090,meta-llama/Llama-3.1-8B-Instruct,q_proj,3,0,51513
RTX3090,meta-llama/Llama-3.1-8B-Instruct,k_proj,3,0,43539
RTX3090,meta-llama/Llama-3.1-8B-Instruct,v_proj,3,0,39569
RTX3090,meta-llama/Llama-3.1-8B-Instruct,rope,3,0,152655
RTX3090,meta-llama/Llama-3.1-8B-Instruct,attn,3,0,58340
RTX3090,meta-llama/Llama-3.1-8B-Instruct,o_proj,3,0,47101
RTX3090,meta-llama/Llama-3.1-8B-Instruct,post_layernorm,3,0,111259
RTX3090,meta-llama/Llama-3.1-8B-Instruct,gate_proj,3,0,47396
RTX3090,meta-llama/Llama-3.1-8B-Instruct,act_fn,3,0,26113
RTX3090,meta-llama/Llama-3.1-8B-Instruct,up_proj,3,0,39860
RTX3090,meta-llama/Llama-3.1-8B-Instruct,down_proj,3,0,38032
RTX3090,meta-llama/Llama-3.1-8B-Instruct,final_layernorm,3,0,112000
RTX3090,meta-llama/Llama-3.1-8B-Instruct,lm_head,3,0,49825
