layer_name,input,kv_cache,tp_size,latency(ns)
embedding,1,0,1,2575
input_layernorm,1,0,1,16301
q_proj,1,0,1,49731
k_proj,1,0,1,15164
v_proj,1,0,1,14948
rope,1,0,1,24135
attn,1,0,1,5310
o_proj,1,0,1,49779
post_layernorm,1,0,1,17434
gate_proj,1,0,1,163954
up_proj,1,0,1,164391
act_fn,1,0,1,4067
down_proj,1,0,1,165931
final_layernorm,1,0,1,16586
lm_head,1,0,1,1406276
embedding,2,0,1,3154
input_layernorm,2,0,1,18660
q_proj,2,0,1,50030
k_proj,2,0,1,18727
v_proj,2,0,1,18586
rope,2,0,1,28343
attn,2,0,1,4958
o_proj,2,0,1,50096
post_layernorm,2,0,1,19851
gate_proj,2,0,1,164095
up_proj,2,0,1,164743
act_fn,2,0,1,4117
down_proj,2,0,1,165856
final_layernorm,2,0,1,19231
lm_head,2,0,1,1408644
embedding,3,0,1,3534
input_layernorm,3,0,1,17786
q_proj,3,0,1,50030
k_proj,3,0,1,18379
v_proj,3,0,1,18234
rope,3,0,1,26963
attn,3,0,1,4696
o_proj,3,0,1,50030
post_layernorm,3,0,1,18822
gate_proj,3,0,1,163808
up_proj,3,0,1,164216
act_fn,3,0,1,4000
down_proj,3,0,1,165976
final_layernorm,3,0,1,18196
lm_head,3,0,1,1410056
embedding,4,0,1,4090
input_layernorm,4,0,1,19384
q_proj,4,0,1,50441
k_proj,4,0,1,18939
v_proj,4,0,1,18622
rope,4,0,1,29038
attn,4,0,1,4950
o_proj,4,0,1,50489
post_layernorm,4,0,1,20436
gate_proj,4,0,1,164505
up_proj,4,0,1,164181
act_fn,4,0,1,4279
down_proj,4,0,1,166006
final_layernorm,4,0,1,19878
lm_head,4,0,1,1411919
embedding,5,0,1,4533
input_layernorm,5,0,1,18499
q_proj,5,0,1,50411
k_proj,5,0,1,18406
v_proj,5,0,1,18259
rope,5,0,1,26892
attn,5,0,1,4722
o_proj,5,0,1,50197
post_layernorm,5,0,1,19525
gate_proj,5,0,1,163952
up_proj,5,0,1,164678
act_fn,5,0,1,4209
down_proj,5,0,1,166185
final_layernorm,5,0,1,18970
lm_head,5,0,1,1414256
embedding,6,0,1,5293
input_layernorm,6,0,1,19548
q_proj,6,0,1,50487
k_proj,6,0,1,18816
v_proj,6,0,1,18652
rope,6,0,1,28467
attn,6,0,1,4971
o_proj,6,0,1,50623
post_layernorm,6,0,1,20622
gate_proj,6,0,1,164734
up_proj,6,0,1,165341
act_fn,6,0,1,4487
down_proj,6,0,1,166340
final_layernorm,6,0,1,20022
lm_head,6,0,1,1415872
embedding,7,0,1,5712
input_layernorm,7,0,1,19460
q_proj,7,0,1,50593
k_proj,7,0,1,18918
v_proj,7,0,1,18707
rope,7,0,1,28474
attn,7,0,1,4977
o_proj,7,0,1,50748
post_layernorm,7,0,1,20566
gate_proj,7,0,1,164864
up_proj,7,0,1,165383
act_fn,7,0,1,4574
down_proj,7,0,1,166038
final_layernorm,7,0,1,19986
lm_head,7,0,1,1418149
embedding,8,0,1,6269
input_layernorm,8,0,1,20952
q_proj,8,0,1,50627
k_proj,8,0,1,18866
v_proj,8,0,1,18716
rope,8,0,1,28914
attn,8,0,1,4967
o_proj,8,0,1,50898
post_layernorm,8,0,1,21443
gate_proj,8,0,1,164687
up_proj,8,0,1,164731
act_fn,8,0,1,4669
down_proj,8,0,1,166885
final_layernorm,8,0,1,20914
lm_head,8,0,1,1418657
embedding,9,0,1,6619
input_layernorm,9,0,1,19945
q_proj,9,0,1,50615
k_proj,9,0,1,18525
v_proj,9,0,1,18317
rope,9,0,1,27067
attn,9,0,1,4777
o_proj,9,0,1,50607
post_layernorm,9,0,1,21044
gate_proj,9,0,1,164484
up_proj,9,0,1,164655
act_fn,9,0,1,4615
down_proj,9,0,1,166899
final_layernorm,9,0,1,20482
lm_head,9,0,1,1419026
embedding,10,0,1,7440
input_layernorm,10,0,1,21046
q_proj,10,0,1,50925
k_proj,10,0,1,19044
v_proj,10,0,1,18741
rope,10,0,1,28581
attn,10,0,1,5011
o_proj,10,0,1,50908
post_layernorm,10,0,1,22051
gate_proj,10,0,1,164831
up_proj,10,0,1,164984
act_fn,10,0,1,4918
down_proj,10,0,1,169221
final_layernorm,10,0,1,21513
lm_head,10,0,1,1422155
embedding,11,0,1,7833
input_layernorm,11,0,1,21087
q_proj,11,0,1,50931
k_proj,11,0,1,19101
v_proj,11,0,1,18734
rope,11,0,1,28647
attn,11,0,1,5018
o_proj,11,0,1,50882
post_layernorm,11,0,1,22082
gate_proj,11,0,1,165570
up_proj,11,0,1,165308
act_fn,11,0,1,4937
down_proj,11,0,1,167818
final_layernorm,11,0,1,21547
lm_head,11,0,1,1422917
embedding,12,0,1,8371
input_layernorm,12,0,1,21146
q_proj,12,0,1,50906
k_proj,12,0,1,19025
v_proj,12,0,1,18867
rope,12,0,1,29066
attn,12,0,1,5000
o_proj,12,0,1,51111
post_layernorm,12,0,1,22228
gate_proj,12,0,1,165300
up_proj,12,0,1,165628
act_fn,12,0,1,5025
down_proj,12,0,1,167447
final_layernorm,12,0,1,21690
lm_head,12,0,1,1424105
embedding,13,0,1,8563
input_layernorm,13,0,1,20166
q_proj,13,0,1,51196
k_proj,13,0,1,18610
v_proj,13,0,1,18457
rope,13,0,1,27287
attn,13,0,1,4785
o_proj,13,0,1,50772
post_layernorm,13,0,1,21197
gate_proj,13,0,1,164835
up_proj,13,0,1,165446
act_fn,13,0,1,4933
down_proj,13,0,1,167550
final_layernorm,13,0,1,20593
lm_head,13,0,1,1424242
embedding,14,0,1,9257
input_layernorm,14,0,1,20233
q_proj,14,0,1,51139
k_proj,14,0,1,18635
v_proj,14,0,1,18521
rope,14,0,1,27560
attn,14,0,1,4793
