time_stats.attn_prefill.min,time_stats.attn_prefill.max,time_stats.attn_prefill.mean,time_stats.attn_prefill.median,time_stats.attn_prefill.std,time_stats.attn_decode.min,time_stats.attn_decode.max,time_stats.attn_decode.mean,time_stats.attn_decode.median,time_stats.attn_decode.std,n_embd,n_q_head,n_kv_head,num_tensor_parallel_workers,max_model_len,batch_size,prefill_chunk_size,kv_cache_size,is_prefill,attention_backend
0.004351,0.004896,0.0043891600000000005,0.004384000000000001,7.692759192903404e-05,,,,,,4096,32,8,1,4096,1,32,32,True,FLASH_ATTENTION
0.005888,0.005952,0.0059104199999999996,0.00592,1.83935749651882e-05,,,,,,4096,32,8,1,4096,1,32,64,True,FLASH_ATTENTION
0.007392,0.007457,0.007434280000000001,0.007424000000000001,1.7435641657249105e-05,,,,,,4096,32,8,1,4096,1,32,96,True,FLASH_ATTENTION
0.008960000000000001,0.009025,0.00898432,0.008992000000000002,1.9758987828327474e-05,,,,,,4096,32,8,1,4096,1,32,128,True,FLASH_ATTENTION
0.010464000000000001,0.01056,0.01051014,0.010496,2.1372889369479434e-05,,,,,,4096,32,8,1,4096,1,32,160,True,FLASH_ATTENTION
0.012031,0.012097,0.01205072,0.012064,1.7134806681138384e-05,,,,,,4096,32,8,1,4096,1,32,192,True,FLASH_ATTENTION
0.013535,0.013601000000000002,0.01356544,0.013568,2.1103705835705772e-05,,,,,,4096,32,8,1,4096,1,32,224,True,FLASH_ATTENTION
0.015072,0.015168,0.01510548,0.015104,2.0222007813271115e-05,,,,,,4096,32,8,1,4096,1,32,256,True,FLASH_ATTENTION
0.016577,0.016672,0.016631879999999998,0.016640000000000002,2.0036606499105254e-05,,,,,,4096,32,8,1,4096,1,32,288,True,FLASH_ATTENTION
0.018112,0.018177,0.01814358,0.018144,1.9727229911976463e-05,,,,,,4096,32,8,1,4096,1,32,320,True,FLASH_ATTENTION
0.019617000000000002,0.019745000000000002,0.01968338,0.01968,2.4947055938527475e-05,,,,,,4096,32,8,1,4096,1,32,352,True,FLASH_ATTENTION
0.021151,0.021217,0.021184740000000004,0.021184,1.9686350601369125e-05,,,,,,4096,32,8,1,4096,1,32,384,True,FLASH_ATTENTION
0.022656,0.022753,0.022708020000000002,0.02272,2.4683994814453885e-05,,,,,,4096,32,8,1,4096,1,32,416,True,FLASH_ATTENTION
0.024192,0.024257,0.0242217,0.024224,1.9034967822404556e-05,,,,,,4096,32,8,1,4096,1,32,448,True,FLASH_ATTENTION
0.025696000000000004,0.025792000000000002,0.02573588,0.025728,2.43611493981708e-05,,,,,,4096,32,8,1,4096,1,32,480,True,FLASH_ATTENTION
0.0272,0.027297000000000002,0.027254500000000004,0.027264,2.325876178991527e-05,,,,,,4096,32,8,1,4096,1,32,512,True,FLASH_ATTENTION
0.028704999999999998,0.028832999999999998,0.028761039999999998,0.028768000000000002,2.5050317363259417e-05,,,,,,4096,32,8,1,4096,1,32,544,True,FLASH_ATTENTION
0.030208,0.030305000000000002,0.03027664,0.030272,2.0407606425056085e-05,,,,,,4096,32,8,1,4096,1,32,576,True,FLASH_ATTENTION
0.031745,0.03184,0.03180166,0.031808,2.554103365175415e-05,,,,,,4096,32,8,1,4096,1,32,608,True,FLASH_ATTENTION
0.033248,0.033345,0.03331334,0.033312,2.4728615003674368e-05,,,,,,4096,32,8,1,4096,1,32,640,True,FLASH_ATTENTION
0.034784,0.034848,0.03481534,0.03481600000000001,2.256334195104824e-05,,,,,,4096,32,8,1,4096,1,32,672,True,FLASH_ATTENTION
0.036287,0.036351999999999995,0.036323219999999996,0.03632,2.046097749375483e-05,,,,,,4096,32,8,1,4096,1,32,704,True,FLASH_ATTENTION
0.037792,0.037888,0.03783792,0.037823999999999997,2.312387510777662e-05,,,,,,4096,32,8,1,4096,1,32,736,True,FLASH_ATTENTION
0.039296,0.039393000000000004,0.03934368,0.03936,2.2490389058440053e-05,,,,,,4096,32,8,1,4096,1,32,768,True,FLASH_ATTENTION
0.040832,0.040896999999999996,0.040859780000000005,0.040864,2.11445406665645e-05,,,,,,4096,32,8,1,4096,1,32,800,True,FLASH_ATTENTION
0.042305,0.042401,0.042361260000000005,0.042368,2.328931944046484e-05,,,,,,4096,32,8,1,4096,1,32,832,True,FLASH_ATTENTION
0.043808,0.043905,0.04387044,0.043872,2.2581549991087466e-05,,,,,,4096,32,8,1,4096,1,32,864,True,FLASH_ATTENTION
0.045313000000000006,0.045441,0.04538594,0.045377,2.88238859281675e-05,,,,,,4096,32,8,1,4096,1,32,896,True,FLASH_ATTENTION
0.046848,0.046945,0.04689128,0.046881,2.5994645602509213e-05,,,,,,4096,32,8,1,4096,1,32,928,True,FLASH_ATTENTION
0.048352,0.048449,0.04840056000000001,0.048385,2.237691667768377e-05,,,,,,4096,32,8,1,4096,1,32,960,True,FLASH_ATTENTION
0.049856000000000004,0.049984,0.04989968,0.049888,2.7703747038983996e-05,,,,,,4096,32,8,1,4096,1,32,992,True,FLASH_ATTENTION
0.05136,0.051488,0.05140768,0.051393,2.8803777530037752e-05,,,,,,4096,32,8,1,4096,1,32,1024,True,FLASH_ATTENTION
0.052864,0.052992,0.0529064,0.052896,2.747216773390755e-05,,,,,,4096,32,8,1,4096,1,32,1056,True,FLASH_ATTENTION
0.054369,0.054528,0.05442262,0.054432,2.723372174345673e-05,,,,,,4096,32,8,1,4096,1,32,1088,True,FLASH_ATTENTION
0.05584000000000001,0.056,0.055910180000000004,0.055905,3.312985964353056e-05,,,,,,4096,32,8,1,4096,1,32,1120,True,FLASH_ATTENTION
0.057344,0.057504,0.05740471999999999,0.057408,3.4242102739172714e-05,,,,,,4096,32,8,1,4096,1,32,1152,True,FLASH_ATTENTION
0.058848,0.05904,0.058900759999999996,0.058896500000000004,3.555309269247942e-05,,,,,,4096,32,8,1,4096,1,32,1184,True,FLASH_ATTENTION
0.060351999999999996,0.060512,0.06040155999999999,0.060385,3.626246544293501e-05,,,,,,4096,32,8,1,4096,1,32,1216,True,FLASH_ATTENTION
0.061856,0.062017,0.061906619999999996,0.061889000000000007,3.842805745806044e-05,,,,,,4096,32,8,1,4096,1,32,1248,True,FLASH_ATTENTION
0.06336,0.063553,0.06340135999999999,0.063392,3.577471732942038e-05,,,,,,4096,32,8,1,4096,1,32,1280,True,FLASH_ATTENTION
