layer_name,input,kv_cache,tp_size,latency(ns)
embedding,1,0,1,2613
input_layernorm,1,0,1,7781
q_proj,1,0,1,50626
k_proj,1,0,1,16228
v_proj,1,0,1,16133
rope,1,0,1,28962
attn,1,0,1,5380
o_proj,1,0,1,49986
post_layernorm,1,0,1,8008
gate,1,0,1,53609
expert.w1,1,0,1,13160
expert.w3,1,0,1,13080
act_fn,1,0,1,3758
expert.w2,1,0,1,14628
final_layernorm,1,0,1,8081
lm_head,1,0,1,380937
embedding,2,0,1,3003
input_layernorm,2,0,1,7323
q_proj,2,0,1,50999
k_proj,2,0,1,19335
v_proj,2,0,1,19292
rope,2,0,1,33590
attn,2,0,1,4747
o_proj,2,0,1,49839
post_layernorm,2,0,1,7573
gate,2,0,1,68024
expert.w1,2,0,1,17426
expert.w3,2,0,1,17484
act_fn,2,0,1,4105
expert.w2,2,0,1,13610
final_layernorm,2,0,1,7575
lm_head,2,0,1,381978
embedding,3,0,1,3650
input_layernorm,3,0,1,7527
q_proj,3,0,1,51829
k_proj,3,0,1,19811
v_proj,3,0,1,19734
rope,3,0,1,36195
attn,3,0,1,5001
o_proj,3,0,1,50126
post_layernorm,3,0,1,7797
gate,3,0,1,71404
expert.w1,3,0,1,17862
expert.w3,3,0,1,17882
act_fn,3,0,1,4222
expert.w2,3,0,1,13854
final_layernorm,3,0,1,7815
lm_head,3,0,1,383550
embedding,4,0,1,3993
input_layernorm,4,0,1,7389
q_proj,4,0,1,51823
k_proj,4,0,1,19641
v_proj,4,0,1,19560
rope,4,0,1,36724
attn,4,0,1,4887
o_proj,4,0,1,50452
post_layernorm,4,0,1,7648
gate,4,0,1,69221
expert.w1,4,0,1,17711
expert.w3,4,0,1,17686
act_fn,4,0,1,4035
expert.w2,4,0,1,13778
final_layernorm,4,0,1,7551
lm_head,4,0,1,383561
embedding,5,0,1,4546
input_layernorm,5,0,1,7254
q_proj,5,0,1,51901
k_proj,5,0,1,19478
v_proj,5,0,1,19330
rope,5,0,1,35818
attn,5,0,1,4769
o_proj,5,0,1,50182
post_layernorm,5,0,1,7492
gate,5,0,1,68589
expert.w1,5,0,1,17593
expert.w3,5,0,1,17611
act_fn,5,0,1,3950
expert.w2,5,0,1,13728
final_layernorm,5,0,1,7456
lm_head,5,0,1,384911
embedding,6,0,1,5222
input_layernorm,6,0,1,7605
q_proj,6,0,1,52529
k_proj,6,0,1,19962
v_proj,6,0,1,19826
rope,6,0,1,37445
attn,6,0,1,5030
o_proj,6,0,1,50452
post_layernorm,6,0,1,7836
gate,6,0,1,70887
expert.w1,6,0,1,17976
expert.w3,6,0,1,17871
act_fn,6,0,1,4133
expert.w2,6,0,1,13865
final_layernorm,6,0,1,7779
lm_head,6,0,1,385740
embedding,7,0,1,5514
input_layernorm,7,0,1,7298
q_proj,7,0,1,52574
k_proj,7,0,1,19472
v_proj,7,0,1,19414
rope,7,0,1,35948
attn,7,0,1,4786
o_proj,7,0,1,50301
post_layernorm,7,0,1,7548
gate,7,0,1,68890
expert.w1,7,0,1,17723
expert.w3,7,0,1,17628
act_fn,7,0,1,3916
expert.w2,7,0,1,13706
final_layernorm,7,0,1,7548
lm_head,7,0,1,385593
embedding,8,0,1,5961
input_layernorm,8,0,1,7320
q_proj,8,0,1,52355
k_proj,8,0,1,19592
v_proj,8,0,1,19449
rope,8,0,1,35934
attn,8,0,1,4780
o_proj,8,0,1,50481
post_layernorm,8,0,1,7575
gate,8,0,1,67831
expert.w1,8,0,1,17719
expert.w3,8,0,1,17640
act_fn,8,0,1,3816
expert.w2,8,0,1,13754
final_layernorm,8,0,1,7595
lm_head,8,0,1,385835
embedding,9,0,1,6930
input_layernorm,9,0,1,7638
q_proj,9,0,1,52800
k_proj,9,0,1,20017
v_proj,9,0,1,19877
rope,9,0,1,37695
attn,9,0,1,5041
o_proj,9,0,1,50767
post_layernorm,9,0,1,7894
gate,9,0,1,73409
expert.w1,9,0,1,18082
expert.w3,9,0,1,17986
act_fn,9,0,1,3879
expert.w2,9,0,1,13907
final_layernorm,9,0,1,7868
lm_head,9,0,1,387264
embedding,10,0,1,7039
input_layernorm,10,0,1,7229
q_proj,10,0,1,52589
k_proj,10,0,1,19620
v_proj,10,0,1,19465
rope,10,0,1,36359
attn,10,0,1,4803
o_proj,10,0,1,50571
post_layernorm,10,0,1,7437
gate,10,0,1,69756
expert.w1,10,0,1,17758
expert.w3,10,0,1,17631
act_fn,10,0,1,3634
expert.w2,10,0,1,13720
final_layernorm,10,0,1,7493
lm_head,10,0,1,386892
embedding,11,0,1,7782
input_layernorm,11,0,1,7537
q_proj,11,0,1,53403
k_proj,11,0,1,20115
v_proj,11,0,1,19876
rope,11,0,1,37595
attn,11,0,1,5035
o_proj,11,0,1,50914
post_layernorm,11,0,1,7771
gate,11,0,1,73540
expert.w1,11,0,1,18186
expert.w3,11,0,1,17989
act_fn,11,0,1,3801
expert.w2,11,0,1,13985
final_layernorm,11,0,1,7815
lm_head,11,0,1,389105
embedding,12,0,1,8373
input_layernorm,12,0,1,7538
q_proj,12,0,1,53594
k_proj,12,0,1,20102
v_proj,12,0,1,20002
rope,12,0,1,37670
attn,12,0,1,5018
o_proj,12,0,1,51018
post_layernorm,12,0,1,7761
gate,12,0,1,72580
expert.w1,12,0,1,18216
expert.w3,12,0,1,18034
act_fn,12,0,1,3767
expert.w2,12,0,1,13927
final_layernorm,12,0,1,7787
lm_head,12,0,1,389596
embedding,13,0,1,8599
input_layernorm,13,0,1,7269
q_proj,13,0,1,53206
k_proj,13,0,1,19734
v_proj,13,0,1,19534
rope,13,0,1,36066
attn,13,0,1,4801
o_proj,13,0,1,50947
post_layernorm,13,0,1,7472
gate,13,0,1,70286
expert.w1,13,0,1,17912
expert.w3,13,0,1,17633
act_fn,13,0,1,3624
expert.w2,13,0,1,13778
final_layernorm,13,0,1,7530
lm_head,13,0,1,389680
embedding,14,0,1,9426
input_layernorm,14,0,1,7570
q_proj,14,0,1,53549
k_proj,14,0,1,20148
v_proj,14,0,1,19964
rope,14,0,1,37847
attn,14,0,1,5064
o_proj,14,0,1,51349
post_layernorm,14,0,1,7772
gate,14,0,1,73247
expert.w1,14,0,1,18281
expert.w3,14,0,1,18031
act_fn,14,0,1,3798
expert.w2,14,0,1,14009
final_layernorm,14,0,1,7842
lm_head,14,0,1,390438
embedding,15,0,1,10043
input_layernorm,15,0,1,7589
q_proj,15,0,1,53971
k_proj,15,0,1,20194
v_proj,15,0,1,19996
rope,15,0,1,37954
attn,15,0,1,5075
o_proj,15,0,1,51363
post_layernorm,15,0,1,7755
gate,15,0,1,73797
expert.w1,15,0,1,18328
expert.w3,15,0,1,18083
act_fn,15,0,1,3783
expert.w2,15,0,1,13990
final_layernorm,15,0,1,7838
lm_head,15,0,1,391288
embedding,16,0,1,10209
input_layernorm,16,0,1,7275
q_proj,16,0,1,53642
k_proj,16,0,1,19784
v_proj,16,0,1,19573
rope,16,0,1,36232
attn,16,0,1,4823
o_proj,16,0,1,51007
post_layernorm,16,0,1,7458
gate,16,0,1,69786
expert.w1,16,0,1,17973
expert.w3,16,0,1,17680
act_fn,16,0,1,3624
expert.w2,16,0,1,13935
final_layernorm,16,0,1,7507
lm_head,16,0,1,393245
embedding,17,0,1,3152
input_layernorm,17,0,1,7452
q_proj,17,0,1,51636
k_proj,17,0,1,17446
v_proj,17,0,1,17430
rope,17,0,1,37775
attn,17,0,1,5116
o_proj,17,0,1,51125
post_layernorm,17,0,1,7704
gate,17,0,1,66825
expert.w1,17,0,1,16619
expert.w3,17,0,1,16208
act_fn,17,0,1,4008
expert.w2,17,0,1,14720
final_layernorm,17,0,1,7575
lm_head,17,0,1,358225
embedding,18,0,1,3014
input_layernorm,18,0,1,7175
q_proj,18,0,1,51408
k_proj,18,0,1,17277
v_proj,18,0,1,16848
rope,18,0,1,36405
attn,18,0,1,4892
o_proj,18,0,1,51053
post_layernorm,18,0,1,7410
gate,18,0,1,63373
expert.w1,18,0,1,16425
expert.w3,18,0,1,15978
act_fn,18,0,1,3690
expert.w2,18,0,1,14657
final_layernorm,18,0,1,7339
lm_head,18,0,1,358143
embedding,19,0,1,3123
input_layernorm,19,0,1,7157
q_proj,19,0,1,51459
k_proj,19,0,1,17269
v_proj,19,0,1,17124
rope,19,0,1,36195
attn,19,0,1,4880
o_proj,19,0,1,50932
post_layernorm,19,0,1,7401
gate,19,0,1,63841
expert.w1,19,0,1,16417
expert.w3,19,0,1,15901
act_fn,19,0,1,3646
expert.w2,19,0,1,14446
final_layernorm,19,0,1,7233
lm_head,19,0,1,358519
embedding,20,0,1,3197
input_layernorm,20,0,1,7473
q_proj,20,0,1,51750
k_proj,20,0,1,17525
v_proj,20,0,1,17445
rope,20,0,1,37800
attn,20,0,1,5125
o_proj,20,0,1,51089
post_layernorm,20,0,1,7681
gate,20,0,1,66059
expert.w1,20,0,1,16736
expert.w3,20,0,1,16296
act_fn,20,0,1,3707
expert.w2,20,0,1,14653
final_layernorm,20,0,1,7688
lm_head,20,0,1,358812
embedding,21,0,1,3099
input_layernorm,21,0,1,7177
q_proj,21,0,1,51380
k_proj,21,0,1,17304
v_proj,21,0,1,17178
rope,21,0,1,36108
attn,21,0,1,4911
o_proj,21,0,1,51128
post_layernorm,21,0,1,7402
gate,21,0,1,63652
expert.w1,21,0,1,16584
expert.w3,21,0,1,16038
act_fn,21,0,1,3656
expert.w2,21,0,1,14500
final_layernorm,21,0,1,7427
lm_head,21,0,1,359079
embedding,22,0,1,3655
input_layernorm,22,0,1,7471
q_proj,22,0,1,51512
k_proj,22,0,1,17563
v_proj,22,0,1,17218
rope,22,0,1,38067
attn,22,0,1,5194
o_proj,22,0,1,51377
post_layernorm,22,0,1,7709
gate,22,0,1,66388
expert.w1,22,0,1,16821
expert.w3,22,0,1,16284
act_fn,22,0,1,3721
expert.w2,22,0,1,14808
final_layernorm,22,0,1,7636
lm_head,22,0,1,359312
embedding,23,0,1,3662
input_layernorm,23,0,1,7513
q_proj,23,0,1,50932
k_proj,23,0,1,17372
v_proj,23,0,1,17487
rope,23,0,1,38080
attn,23,0,1,5184
o_proj,23,0,1,51124
post_layernorm,23,0,1,7761
gate,23,0,1,66873
expert.w1,23,0,1,16789
expert.w3,23,0,1,16326
act_fn,23,0,1,3782
expert.w2,23,0,1,14806
final_layernorm,23,0,1,7617
lm_head,23,0,1,359418
embedding,24,0,1,3517
input_layernorm,24,0,1,7213
q_proj,24,0,1,50862
k_proj,24,0,1,17100
v_proj,24,0,1,17302
rope,24,0,1,36486
attn,24,0,1,4898
o_proj,24,0,1,50997
post_layernorm,24,0,1,7434
gate,24,0,1,63369
expert.w1,24,0,1,16553
expert.w3,24,0,1,16194
act_fn,24,0,1,3371
expert.w2,24,0,1,14677
final_layernorm,24,0,1,7358
lm_head,24,0,1,359449
embedding,25,0,1,3687
input_layernorm,25,0,1,7516
q_proj,25,0,1,50974
k_proj,25,0,1,17375
v_proj,25,0,1,17576
rope,25,0,1,38255
attn,25,0,1,5208
o_proj,25,0,1,51156
post_layernorm,25,0,1,7796
gate,25,0,1,69008
expert.w1,25,0,1,16833
expert.w3,25,0,1,16497
act_fn,25,0,1,3557
expert.w2,25,0,1,14904
final_layernorm,25,0,1,7682
lm_head,25,0,1,360443
embedding,26,0,1,3719
input_layernorm,26,0,1,7548
