layer_name,input,kv_cache,tp_size,latency(ns)
embedding,1,0,1,2920
input_layernorm,1,0,1,18467
q_proj,1,0,1,46242
k_proj,1,0,1,10928
v_proj,1,0,1,10747
rope,1,0,1,26898
attn,1,0,1,5521
o_proj,1,0,1,45142
post_layernorm,1,0,1,18863
gate_proj,1,0,1,152032
up_proj,1,0,1,152708
act_fn,1,0,1,4520
down_proj,1,0,1,155966
final_layernorm,1,0,1,18757
lm_head,1,0,1,716397
embedding,2,0,1,3525
input_layernorm,2,0,1,21058
q_proj,2,0,1,45887
k_proj,2,0,1,10992
v_proj,2,0,1,10729
rope,2,0,1,30590
attn,2,0,1,9237
o_proj,2,0,1,45864
post_layernorm,2,0,1,21211
gate_proj,2,0,1,152652
up_proj,2,0,1,152901
act_fn,2,0,1,4626
down_proj,2,0,1,155954
final_layernorm,2,0,1,21400
lm_head,2,0,1,717645
embedding,3,0,1,4210
input_layernorm,3,0,1,20850
q_proj,3,0,1,46090
k_proj,3,0,1,10947
v_proj,3,0,1,10832
rope,3,0,1,31384
attn,3,0,1,9338
o_proj,3,0,1,45964
post_layernorm,3,0,1,21182
gate_proj,3,0,1,153245
up_proj,3,0,1,152875
act_fn,3,0,1,4678
down_proj,3,0,1,156058
final_layernorm,3,0,1,20952
lm_head,3,0,1,716929
embedding,4,0,1,4709
input_layernorm,4,0,1,20801
q_proj,4,0,1,46272
k_proj,4,0,1,10905
v_proj,4,0,1,10733
rope,4,0,1,31677
attn,4,0,1,9267
o_proj,4,0,1,45900
post_layernorm,4,0,1,21287
gate_proj,4,0,1,153369
up_proj,4,0,1,153170
act_fn,4,0,1,4734
down_proj,4,0,1,156501
final_layernorm,4,0,1,21155
lm_head,4,0,1,722132
embedding,5,0,1,5465
input_layernorm,5,0,1,20917
q_proj,5,0,1,46365
k_proj,5,0,1,11018
v_proj,5,0,1,10890
rope,5,0,1,32347
attn,5,0,1,9251
o_proj,5,0,1,46233
post_layernorm,5,0,1,21368
gate_proj,5,0,1,156254
up_proj,5,0,1,153209
act_fn,5,0,1,4861
down_proj,5,0,1,156654
final_layernorm,5,0,1,21334
lm_head,5,0,1,717420
embedding,6,0,1,5970
input_layernorm,6,0,1,20862
q_proj,6,0,1,46374
k_proj,6,0,1,10998
v_proj,6,0,1,10892
rope,6,0,1,32626
attn,6,0,1,9225
o_proj,6,0,1,46182
post_layernorm,6,0,1,21523
gate_proj,6,0,1,163667
up_proj,6,0,1,153256
act_fn,6,0,1,4821
down_proj,6,0,1,156666
final_layernorm,6,0,1,21470
lm_head,6,0,1,721660
embedding,7,0,1,6613
input_layernorm,7,0,1,20989
q_proj,7,0,1,46538
k_proj,7,0,1,11005
v_proj,7,0,1,10929
rope,7,0,1,32629
attn,7,0,1,9229
o_proj,7,0,1,46061
post_layernorm,7,0,1,21573
gate_proj,7,0,1,153831
up_proj,7,0,1,153585
act_fn,7,0,1,4837
down_proj,7,0,1,156986
final_layernorm,7,0,1,21602
lm_head,7,0,1,722504
embedding,8,0,1,7316
input_layernorm,8,0,1,21092
q_proj,8,0,1,46478
k_proj,8,0,1,11032
v_proj,8,0,1,10972
rope,8,0,1,33112
attn,8,0,1,9174
o_proj,8,0,1,46293
post_layernorm,8,0,1,21150
gate_proj,8,0,1,153846
up_proj,8,0,1,154026
act_fn,8,0,1,4858
down_proj,8,0,1,156980
final_layernorm,8,0,1,21197
lm_head,8,0,1,721113
embedding,9,0,1,8074
input_layernorm,9,0,1,21290
q_proj,9,0,1,46868
k_proj,9,0,1,11081
v_proj,9,0,1,10933
rope,9,0,1,33927
attn,9,0,1,9192
o_proj,9,0,1,46539
post_layernorm,9,0,1,21591
gate_proj,9,0,1,152895
up_proj,9,0,1,153366
act_fn,9,0,1,4888
down_proj,9,0,1,156210
final_layernorm,9,0,1,21582
lm_head,9,0,1,709989
embedding,10,0,1,8515
input_layernorm,10,0,1,21600
q_proj,10,0,1,46878
k_proj,10,0,1,11117
v_proj,10,0,1,10994
rope,10,0,1,33858
attn,10,0,1,9378
o_proj,10,0,1,46317
post_layernorm,10,0,1,21812
gate_proj,10,0,1,156607
up_proj,10,0,1,153343
act_fn,10,0,1,4924
down_proj,10,0,1,156476
final_layernorm,10,0,1,21725
lm_head,10,0,1,717195
embedding,11,0,1,9133
input_layernorm,11,0,1,21365
q_proj,11,0,1,46701
k_proj,11,0,1,11117
v_proj,11,0,1,10965
rope,11,0,1,33723
attn,11,0,1,9286
o_proj,11,0,1,46288
post_layernorm,11,0,1,21819
gate_proj,11,0,1,162901
up_proj,11,0,1,152916
act_fn,11,0,1,4962
down_proj,11,0,1,156904
final_layernorm,11,0,1,21723
lm_head,11,0,1,719723
embedding,12,0,1,9611
input_layernorm,12,0,1,21443
q_proj,12,0,1,46854
k_proj,12,0,1,11063
v_proj,12,0,1,10951
rope,12,0,1,34154
attn,12,0,1,9245
o_proj,12,0,1,46456
post_layernorm,12,0,1,21706
gate_proj,12,0,1,163770
up_proj,12,0,1,153192
act_fn,12,0,1,5018
down_proj,12,0,1,157040
final_layernorm,12,0,1,21698
lm_head,12,0,1,718904
embedding,13,0,1,10395
input_layernorm,13,0,1,21533
q_proj,13,0,1,47007
k_proj,13,0,1,11219
v_proj,13,0,1,11118
rope,13,0,1,33860
attn,13,0,1,9226
o_proj,13,0,1,46633
post_layernorm,13,0,1,21736
gate_proj,13,0,1,154043
up_proj,13,0,1,153323
act_fn,13,0,1,5011
down_proj,13,0,1,156845
final_layernorm,13,0,1,21785
lm_head,13,0,1,719575
embedding,14,0,1,11096
input_layernorm,14,0,1,21634
q_proj,14,0,1,47150
k_proj,14,0,1,11223
v_proj,14,0,1,11192
rope,14,0,1,33994
attn,14,0,1,9307
o_proj,14,0,1,46467
post_layernorm,14,0,1,21942
gate_proj,14,0,1,154270
up_proj,14,0,1,153296
act_fn,14,0,1,5069
down_proj,14,0,1,157122
final_layernorm,14,0,1,21923
lm_head,14,0,1,713877
embedding,15,0,1,11723
input_layernorm,15,0,1,21504
q_proj,15,0,1,47237
k_proj,15,0,1,11110
v_proj,15,0,1,11089
rope,15,0,1,34013
attn,15,0,1,9305
o_proj,15,0,1,46751
post_layernorm,15,0,1,21914
gate_proj,15,0,1,153867
up_proj,15,0,1,153636
act_fn,15,0,1,5075
down_proj,15,0,1,157084
final_layernorm,15,0,1,21861
lm_head,15,0,1,715271
embedding,16,0,1,12535
input_layernorm,16,0,1,21552
q_proj,16,0,1,47129
k_proj,16,0,1,11239
v_proj,16,0,1,11112
rope,16,0,1,34355
attn,16,0,1,9248
o_proj,16,0,1,46693
post_layernorm,16,0,1,21605
gate_proj,16,0,1,164666
up_proj,16,0,1,160261
act_fn,16,0,1,5144
down_proj,16,0,1,157449
final_layernorm,16,0,1,21436
lm_head,16,0,1,720483
embedding,17,0,1,4029
input_layernorm,17,0,1,21727
q_proj,17,0,1,47363
k_proj,17,0,1,11236
v_proj,17,0,1,11255
rope,17,0,1,34339
attn,17,0,1,9293
o_proj,17,0,1,46723
post_layernorm,17,0,1,22170
gate_proj,17,0,1,160255
up_proj,17,0,1,159595
