layer_name,input,kv_cache,tp_size,latency(ns)
embedding,1,0,4,2920
input_layernorm,1,0,4,17440
q_proj,1,0,4,8114
k_proj,1,0,4,6843
v_proj,1,0,4,6809
rope,1,0,4,23972
o_proj,1,0,4,5521
post_layernorm,1,0,4,17475
gate,1,0,4,42504
expert.w1,1,0,4,40420
expert.w3,1,0,4,40066
act_fn,1,0,4,4263
expert.w2,1,0,4,43105
final_layernorm,1,0,4,18367
lm_head,1,0,4,24059
embedding,2,0,4,3475
input_layernorm,2,0,4,20263
q_proj,2,0,4,8140
k_proj,2,0,4,6917
v_proj,2,0,4,6900
rope,2,0,4,27612
o_proj,2,0,4,5533
post_layernorm,2,0,4,19929
gate,2,0,4,43411
expert.w1,2,0,4,40546
expert.w3,2,0,4,40088
act_fn,2,0,4,4409
expert.w2,2,0,4,43265
final_layernorm,2,0,4,20913
lm_head,2,0,4,24264
embedding,3,0,4,4069
input_layernorm,3,0,4,20220
q_proj,3,0,4,8211
k_proj,3,0,4,6944
v_proj,3,0,4,6915
rope,3,0,4,28067
o_proj,3,0,4,5518
post_layernorm,3,0,4,20114
gate,3,0,4,43752
expert.w1,3,0,4,40705
expert.w3,3,0,4,39791
act_fn,3,0,4,4379
expert.w2,3,0,4,43240
final_layernorm,3,0,4,20617
lm_head,3,0,4,24923
embedding,4,0,4,4607
input_layernorm,4,0,4,21405
q_proj,4,0,4,8126
k_proj,4,0,4,6951
v_proj,4,0,4,6894
rope,4,0,4,29229
o_proj,4,0,4,5531
post_layernorm,4,0,4,20898
gate,4,0,4,43626
expert.w1,4,0,4,40752
expert.w3,4,0,4,40227
act_fn,4,0,4,4502
expert.w2,4,0,4,43427
final_layernorm,4,0,4,21709
lm_head,4,0,4,24544
embedding,5,0,4,5348
input_layernorm,5,0,4,21184
q_proj,5,0,4,8095
k_proj,5,0,4,6928
v_proj,5,0,4,6909
rope,5,0,4,27744
o_proj,5,0,4,5501
post_layernorm,5,0,4,20800
gate,5,0,4,43812
expert.w1,5,0,4,41440
expert.w3,5,0,4,40004
act_fn,5,0,4,4438
expert.w2,5,0,4,43598
final_layernorm,5,0,4,22007
lm_head,5,0,4,24685
embedding,6,0,4,6020
input_layernorm,6,0,4,21257
q_proj,6,0,4,8166
k_proj,6,0,4,6851
v_proj,6,0,4,6846
rope,6,0,4,29486
o_proj,6,0,4,5543
post_layernorm,6,0,4,20835
gate,6,0,4,43471
expert.w1,6,0,4,40969
expert.w3,6,0,4,39981
act_fn,6,0,4,4455
expert.w2,6,0,4,43770
final_layernorm,6,0,4,21718
lm_head,6,0,4,25065
embedding,7,0,4,6563
input_layernorm,7,0,4,21340
q_proj,7,0,4,8211
k_proj,7,0,4,6934
v_proj,7,0,4,6938
rope,7,0,4,29660
o_proj,7,0,4,5550
post_layernorm,7,0,4,21294
gate,7,0,4,44433
expert.w1,7,0,4,40925
expert.w3,7,0,4,40085
act_fn,7,0,4,4520
expert.w2,7,0,4,43754
final_layernorm,7,0,4,21767
lm_head,7,0,4,25078
embedding,8,0,4,7095
input_layernorm,8,0,4,23319
q_proj,8,0,4,8142
k_proj,8,0,4,6933
v_proj,8,0,4,6940
rope,8,0,4,29398
o_proj,8,0,4,5516
post_layernorm,8,0,4,23220
gate,8,0,4,44203
expert.w1,8,0,4,41098
expert.w3,8,0,4,40093
act_fn,8,0,4,4575
expert.w2,8,0,4,43771
final_layernorm,8,0,4,23469
lm_head,8,0,4,25141
embedding,9,0,4,7863
input_layernorm,9,0,4,23187
q_proj,9,0,4,8635
k_proj,9,0,4,6953
v_proj,9,0,4,6944
rope,9,0,4,29483
o_proj,9,0,4,5660
post_layernorm,9,0,4,22652
gate,9,0,4,44630
expert.w1,9,0,4,41359
expert.w3,9,0,4,40315
act_fn,9,0,4,4638
expert.w2,9,0,4,44304
final_layernorm,9,0,4,23671
lm_head,9,0,4,25732
embedding,10,0,4,8556
input_layernorm,10,0,4,23375
q_proj,10,0,4,8601
k_proj,10,0,4,6958
