layer_name,input,kv_cache,tp_size,latency(ns)
embedding,1,0,1,2642
input_layernorm,1,0,1,17240
q_proj,1,0,1,45818
k_proj,1,0,1,13478
v_proj,1,0,1,13351
rope,1,0,1,25488
attn,1,0,1,6732
o_proj,1,0,1,46738
post_layernorm,1,0,1,18229
gate_proj,1,0,1,153415
up_proj,1,0,1,152297
act_fn,1,0,1,4216
down_proj,1,0,1,150035
final_layernorm,1,0,1,17512
lm_head,1,0,1,1184835
embedding,2,0,1,3187
input_layernorm,2,0,1,19599
q_proj,2,0,1,45250
k_proj,2,0,1,21702
v_proj,2,0,1,21551
rope,2,0,1,29737
attn,2,0,1,6433
o_proj,2,0,1,46986
post_layernorm,2,0,1,20505
gate_proj,2,0,1,147173
up_proj,2,0,1,147617
act_fn,2,0,1,4207
down_proj,2,0,1,144742
final_layernorm,2,0,1,19954
lm_head,2,0,1,1212270
embedding,3,0,1,3685
input_layernorm,3,0,1,19557
q_proj,3,0,1,45465
k_proj,3,0,1,21728
v_proj,3,0,1,21581
rope,3,0,1,29640
attn,3,0,1,6446
o_proj,3,0,1,47139
post_layernorm,3,0,1,20522
gate_proj,3,0,1,147472
up_proj,3,0,1,148054
act_fn,3,0,1,4258
down_proj,3,0,1,144642
final_layernorm,3,0,1,20026
lm_head,3,0,1,1214249
embedding,4,0,1,4192
input_layernorm,4,0,1,20346
q_proj,4,0,1,45448
k_proj,4,0,1,21744
v_proj,4,0,1,21607
rope,4,0,1,30294
attn,4,0,1,6426
o_proj,4,0,1,47137
post_layernorm,4,0,1,21333
gate_proj,4,0,1,147420
up_proj,4,0,1,147887
act_fn,4,0,1,4347
down_proj,4,0,1,144767
final_layernorm,4,0,1,20753
lm_head,4,0,1,1217221
embedding,5,0,1,4914
input_layernorm,5,0,1,20310
q_proj,5,0,1,45652
k_proj,5,0,1,21795
v_proj,5,0,1,21663
rope,5,0,1,29708
attn,5,0,1,6458
o_proj,5,0,1,47086
post_layernorm,5,0,1,21207
gate_proj,5,0,1,147731
up_proj,5,0,1,148231
act_fn,5,0,1,4435
down_proj,5,0,1,145203
final_layernorm,5,0,1,20807
lm_head,5,0,1,1218211
embedding,6,0,1,5370
input_layernorm,6,0,1,20425
q_proj,6,0,1,45943
k_proj,6,0,1,21794
v_proj,6,0,1,21689
rope,6,0,1,30020
attn,6,0,1,6438
o_proj,6,0,1,47201
post_layernorm,6,0,1,21384
gate_proj,6,0,1,147695
up_proj,6,0,1,148298
act_fn,6,0,1,4564
down_proj,6,0,1,145077
final_layernorm,6,0,1,20863
lm_head,6,0,1,1220067
embedding,7,0,1,5919
input_layernorm,7,0,1,20450
q_proj,7,0,1,45909
k_proj,7,0,1,21774
v_proj,7,0,1,21688
rope,7,0,1,29897
attn,7,0,1,6450
o_proj,7,0,1,47149
post_layernorm,7,0,1,21449
gate_proj,7,0,1,147844
up_proj,7,0,1,148080
act_fn,7,0,1,4646
down_proj,7,0,1,145097
final_layernorm,7,0,1,21010
lm_head,7,0,1,1222214
embedding,8,0,1,6481
input_layernorm,8,0,1,22003
q_proj,8,0,1,45923
k_proj,8,0,1,21826
v_proj,8,0,1,21677
rope,8,0,1,30357
attn,8,0,1,6448
o_proj,8,0,1,47249
post_layernorm,8,0,1,22559
gate_proj,8,0,1,147842
up_proj,8,0,1,147788
act_fn,8,0,1,4731
down_proj,8,0,1,144984
final_layernorm,8,0,1,22051
lm_head,8,0,1,1222980
embedding,9,0,1,6900
input_layernorm,9,0,1,21417
q_proj,9,0,1,46308
k_proj,9,0,1,21148
v_proj,9,0,1,20994
rope,9,0,1,29050
attn,9,0,1,6253
o_proj,9,0,1,47369
post_layernorm,9,0,1,22210
gate_proj,9,0,1,146194
up_proj,9,0,1,146315
act_fn,9,0,1,4704
down_proj,9,0,1,142278
final_layernorm,9,0,1,21769
lm_head,9,0,1,1222245
embedding,10,0,1,7559
input_layernorm,10,0,1,22105
q_proj,10,0,1,46410
k_proj,10,0,1,21845
v_proj,10,0,1,21658
rope,10,0,1,30121
attn,10,0,1,6469
o_proj,10,0,1,47942
post_layernorm,10,0,1,22944
gate_proj,10,0,1,148025
up_proj,10,0,1,148382
act_fn,10,0,1,4936
down_proj,10,0,1,145192
final_layernorm,10,0,1,22423
lm_head,10,0,1,1226647
embedding,11,0,1,7914
input_layernorm,11,0,1,21449
q_proj,11,0,1,46631
k_proj,11,0,1,21218
v_proj,11,0,1,21044
rope,11,0,1,29149
attn,11,0,1,6275
o_proj,11,0,1,47341
post_layernorm,11,0,1,22543
gate_proj,11,0,1,146170
up_proj,11,0,1,146725
act_fn,11,0,1,4891
down_proj,11,0,1,143134
final_layernorm,11,0,1,21960
lm_head,11,0,1,1224496
embedding,12,0,1,8234
input_layernorm,12,0,1,20865
q_proj,12,0,1,46643
k_proj,12,0,1,20621
v_proj,12,0,1,20424
rope,12,0,1,28954
attn,12,0,1,6037
o_proj,12,0,1,47533
post_layernorm,12,0,1,21767
gate_proj,12,0,1,144938
up_proj,12,0,1,145093
act_fn,12,0,1,4821
down_proj,12,0,1,143685
final_layernorm,12,0,1,21190
lm_head,12,0,1,1223829
embedding,13,0,1,8592
input_layernorm,13,0,1,20439
q_proj,13,0,1,46545
k_proj,13,0,1,20187
v_proj,13,0,1,20050
rope,13,0,1,27729
attn,13,0,1,5957
o_proj,13,0,1,47001
post_layernorm,13,0,1,21429
gate_proj,13,0,1,144259
up_proj,13,0,1,144771
act_fn,13,0,1,4803
down_proj,13,0,1,144194
final_layernorm,13,0,1,20870
lm_head,13,0,1,1223689
embedding,14,0,1,8965
input_layernorm,14,0,1,20047
