layer_name,input,kv_cache,tp_size,latency(ns)
embedding,1,0,1,2629
input_layernorm,1,0,1,7947
q_proj,1,0,1,43140
k_proj,1,0,1,15097
v_proj,1,0,1,14858
rope,1,0,1,30482
o_proj,1,0,1,43917
post_layernorm,1,0,1,8251
gate,1,0,1,56189
expert.w1,1,0,1,11693
expert.w3,1,0,1,11562
act_fn,1,0,1,3978
expert.w2,1,0,1,14643
final_layernorm,1,0,1,8258
lm_head,1,0,1,303307
embedding,2,0,1,3205
input_layernorm,2,0,1,7738
q_proj,2,0,1,45773
k_proj,2,0,1,16963
v_proj,2,0,1,16166
rope,2,0,1,36309
o_proj,2,0,1,47007
post_layernorm,2,0,1,8040
gate,2,0,1,74875
expert.w1,2,0,1,21393
expert.w3,2,0,1,21510
act_fn,2,0,1,4472
expert.w2,2,0,1,12423
final_layernorm,2,0,1,8021
lm_head,2,0,1,299605
embedding,3,0,1,3671
input_layernorm,3,0,1,7762
q_proj,3,0,1,45859
k_proj,3,0,1,16986
v_proj,3,0,1,16114
rope,3,0,1,37475
o_proj,3,0,1,46978
post_layernorm,3,0,1,8041
gate,3,0,1,75409
expert.w1,3,0,1,21364
expert.w3,3,0,1,21488
act_fn,3,0,1,4409
expert.w2,3,0,1,12413
final_layernorm,3,0,1,7986
lm_head,3,0,1,300183
embedding,4,0,1,4205
input_layernorm,4,0,1,7737
q_proj,4,0,1,45794
k_proj,4,0,1,16979
v_proj,4,0,1,16089
rope,4,0,1,38835
o_proj,4,0,1,47008
post_layernorm,4,0,1,8059
gate,4,0,1,74828
expert.w1,4,0,1,21417
expert.w3,4,0,1,21456
act_fn,4,0,1,4315
expert.w2,4,0,1,12489
final_layernorm,4,0,1,8002
lm_head,4,0,1,300369
embedding,5,0,1,4877
input_layernorm,5,0,1,7787
q_proj,5,0,1,46123
k_proj,5,0,1,16960
v_proj,5,0,1,16147
rope,5,0,1,39122
o_proj,5,0,1,47217
post_layernorm,5,0,1,8110
gate,5,0,1,75573
expert.w1,5,0,1,21424
expert.w3,5,0,1,21531
act_fn,5,0,1,4338
expert.w2,5,0,1,12469
final_layernorm,5,0,1,8038
lm_head,5,0,1,300503
embedding,6,0,1,5356
input_layernorm,6,0,1,7805
q_proj,6,0,1,46031
k_proj,6,0,1,16987
v_proj,6,0,1,16235
rope,6,0,1,39090
o_proj,6,0,1,47595
post_layernorm,6,0,1,8122
gate,6,0,1,74848
expert.w1,6,0,1,21413
expert.w3,6,0,1,21687
act_fn,6,0,1,4284
expert.w2,6,0,1,12542
final_layernorm,6,0,1,8053
lm_head,6,0,1,300702
embedding,7,0,1,5798
input_layernorm,7,0,1,7829
q_proj,7,0,1,46066
k_proj,7,0,1,17007
v_proj,7,0,1,16217
rope,7,0,1,38887
o_proj,7,0,1,47394
post_layernorm,7,0,1,8146
gate,7,0,1,75946
expert.w1,7,0,1,21418
expert.w3,7,0,1,21538
act_fn,7,0,1,4148
expert.w2,7,0,1,12578
