hardware,model,layer_name,input,kv_cache,tp_size,latency(ns)
TPU-v6e-1,meta-llama/Llama-3.1-8B,input_layernorm,1,0,1,113743
TPU-v6e-1,meta-llama/Llama-3.1-8B,q_proj,1,0,1,51108
TPU-v6e-1,meta-llama/Llama-3.1-8B,k_proj,1,0,1,40852
TPU-v6e-1,meta-llama/Llama-3.1-8B,v_proj,1,0,1,37035
TPU-v6e-1,meta-llama/Llama-3.1-8B,attn,1,0,1,651595
TPU-v6e-1,meta-llama/Llama-3.1-8B,o_proj,1,0,1,60707
TPU-v6e-1,meta-llama/Llama-3.1-8B,post_layernorm,1,0,1,110524
TPU-v6e-1,meta-llama/Llama-3.1-8B,gate_proj,1,0,1,45160
TPU-v6e-1,meta-llama/Llama-3.1-8B,up_proj,1,0,1,36031
TPU-v6e-1,meta-llama/Llama-3.1-8B,act_fn,1,0,1,65539
TPU-v6e-1,meta-llama/Llama-3.1-8B,down_proj,1,0,1,37936
TPU-v6e-1,meta-llama/Llama-3.1-8B,embedding,1,0,1,39715
TPU-v6e-1,meta-llama/Llama-3.1-8B,final_layernorm,1,0,1,99242
TPU-v6e-1,meta-llama/Llama-3.1-8B,lm_head,1,0,1,57238
TPU-v6e-1,meta-llama/Llama-3.1-8B,input_layernorm,1,0,1,112312
TPU-v6e-1,meta-llama/Llama-3.1-8B,q_proj,1,0,1,50400
TPU-v6e-1,meta-llama/Llama-3.1-8B,k_proj,1,0,1,39970
TPU-v6e-1,meta-llama/Llama-3.1-8B,v_proj,1,0,1,34889
TPU-v6e-1,meta-llama/Llama-3.1-8B,attn,1,0,1,633783
TPU-v6e-1,meta-llama/Llama-3.1-8B,o_proj,1,0,1,59986
TPU-v6e-1,meta-llama/Llama-3.1-8B,post_layernorm,1,0,1,104574
TPU-v6e-1,meta-llama/Llama-3.1-8B,gate_proj,1,0,1,44607
TPU-v6e-1,meta-llama/Llama-3.1-8B,up_proj,1,0,1,34603
TPU-v6e-1,meta-llama/Llama-3.1-8B,act_fn,1,0,1,66409
TPU-v6e-1,meta-llama/Llama-3.1-8B,down_proj,1,0,1,38312
TPU-v6e-1,meta-llama/Llama-3.1-8B,embedding,1,0,1,38450
TPU-v6e-1,meta-llama/Llama-3.1-8B,final_layernorm,1,0,1,95349
TPU-v6e-1,meta-llama/Llama-3.1-8B,lm_head,1,0,1,56432
TPU-v6e-1,meta-llama/Llama-3.1-8B,input_layernorm,2,0,1,113586
TPU-v6e-1,meta-llama/Llama-3.1-8B,q_proj,2,0,1,50651
TPU-v6e-1,meta-llama/Llama-3.1-8B,k_proj,2,0,1,40506
TPU-v6e-1,meta-llama/Llama-3.1-8B,v_proj,2,0,1,36523
TPU-v6e-1,meta-llama/Llama-3.1-8B,attn,2,0,1,717602
TPU-v6e-1,meta-llama/Llama-3.1-8B,o_proj,2,0,1,60199
TPU-v6e-1,meta-llama/Llama-3.1-8B,post_layernorm,2,0,1,107344
TPU-v6e-1,meta-llama/Llama-3.1-8B,gate_proj,2,0,1,44239
TPU-v6e-1,meta-llama/Llama-3.1-8B,up_proj,2,0,1,34436
TPU-v6e-1,meta-llama/Llama-3.1-8B,act_fn,2,0,1,68734
TPU-v6e-1,meta-llama/Llama-3.1-8B,down_proj,2,0,1,41481
TPU-v6e-1,meta-llama/Llama-3.1-8B,embedding,2,0,1,40469
TPU-v6e-1,meta-llama/Llama-3.1-8B,final_layernorm,2,0,1,105074
TPU-v6e-1,meta-llama/Llama-3.1-8B,lm_head,2,0,1,55705
TPU-v6e-1,meta-llama/Llama-3.1-8B,input_layernorm,3,0,1,113296
TPU-v6e-1,meta-llama/Llama-3.1-8B,q_proj,3,0,1,52656
TPU-v6e-1,meta-llama/Llama-3.1-8B,k_proj,3,0,1,41962
TPU-v6e-1,meta-llama/Llama-3.1-8B,v_proj,3,0,1,36975
TPU-v6e-1,meta-llama/Llama-3.1-8B,attn,3,0,1,715634
TPU-v6e-1,meta-llama/Llama-3.1-8B,o_proj,3,0,1,59650
TPU-v6e-1,meta-llama/Llama-3.1-8B,post_layernorm,3,0,1,107680
TPU-v6e-1,meta-llama/Llama-3.1-8B,gate_proj,3,0,1,45242
TPU-v6e-1,meta-llama/Llama-3.1-8B,up_proj,3,0,1,36292
TPU-v6e-1,meta-llama/Llama-3.1-8B,act_fn,3,0,1,66663
TPU-v6e-1,meta-llama/Llama-3.1-8B,down_proj,3,0,1,39752
TPU-v6e-1,meta-llama/Llama-3.1-8B,embedding,3,0,1,41057
TPU-v6e-1,meta-llama/Llama-3.1-8B,final_layernorm,3,0,1,98702
TPU-v6e-1,meta-llama/Llama-3.1-8B,lm_head,3,0,1,55997
TPU-v6e-1,meta-llama/Llama-3.1-8B,input_layernorm,4,0,1,114771
TPU-v6e-1,meta-llama/Llama-3.1-8B,q_proj,4,0,1,52022
TPU-v6e-1,meta-llama/Llama-3.1-8B,k_proj,4,0,1,41119
TPU-v6e-1,meta-llama/Llama-3.1-8B,v_proj,4,0,1,39740
TPU-v6e-1,meta-llama/Llama-3.1-8B,attn,4,0,1,728291
TPU-v6e-1,meta-llama/Llama-3.1-8B,o_proj,4,0,1,63169
TPU-v6e-1,meta-llama/Llama-3.1-8B,post_layernorm,4,0,1,109676
TPU-v6e-1,meta-llama/Llama-3.1-8B,gate_proj,4,0,1,46102
TPU-v6e-1,meta-llama/Llama-3.1-8B,up_proj,4,0,1,37014
TPU-v6e-1,meta-llama/Llama-3.1-8B,act_fn,4,0,1,69096
TPU-v6e-1,meta-llama/Llama-3.1-8B,down_proj,4,0,1,39947
TPU-v6e-1,meta-llama/Llama-3.1-8B,embedding,4,0,1,41317
