prefill_chunk_size,kv_cache_size,batch_size,is_prefill,mean_ns,p50_ns,p90_ns,max_ns
32,0,1,True,7096.916666666666,7102.5,7199.6251999999995,7242.5779999999995
32,32,1,True,7461.239599999999,7440.0,7556.4064,7641.25
32,64,1,True,8274.401066666667,8242.5,8390.1408,8528.594
32,96,1,True,8906.197999999999,8900.078000000001,8969.25,9181.172
32,128,1,True,7908.645866666668,7911.25,7984.812400000001,8014.9220000000005
32,160,1,True,8542.312533333332,8549.922,8616.9688,8676.094000000001
32,192,1,True,8895.156266666667,8868.75,9038.172,9126.172
32,224,1,True,8220.552133333333,8201.25,8305.031200000001,8391.328
32,256,1,True,9380.572933333333,9359.844000000001,9466.9532,9552.578000000001
32,288,1,True,9779.395866666666,9760.078,9876.421999999999,9971.171999999999
32,320,1,True,10199.890666666668,10160.156,10282.6408,10672.421999999999
32,352,1,True,10562.2708,10553.75,10652.4688,10711.328
32,384,1,True,11237.140666666666,11204.922,11345.781200000001,11396.328000000001
32,416,1,True,11892.494799999999,11884.921999999999,11977.5,12028.75
32,448,1,True,12376.083333333334,12362.5,12520.5,12581.405999999999
32,480,1,True,12356.0468,12307.578,12424.828,12931.25
32,512,1,True,13109.661466666665,13096.406,13190.9532,13211.094
32,544,1,True,13610.427066666663,13591.25,13713.7812,13722.422
32,576,1,True,14007.312533333334,14013.828,14071.2032,14113.828
32,608,1,True,14342.062533333336,14335.0,14455.2032,14523.75
32,640,1,True,15266.4688,15266.328,15323.9844,15361.328
32,672,1,True,15740.489599999997,15754.766,15793.234400000001,15902.5
32,704,1,True,16233.260400000001,16218.827999999998,16333.703200000002,16354.844
32,736,1,True,16324.07813333333,16317.655999999999,16402.7656,16448.672
32,768,1,True,17024.04693333334,17011.25,17069.4688,17091.172
32,800,1,True,17460.072933333333,17452.577999999998,17542.4376,17598.672000000002
32,832,1,True,17973.33853333333,17971.172,18011.5624,18036.25
32,864,1,True,18405.239600000004,18406.25,18486.25,18536.406
32,896,1,True,19106.4792,19097.5,19172.7032,19178.75
32,928,1,True,19607.708266666665,19598.906,19688.8748,19705.156
32,960,1,True,19929.833333333332,19926.172000000002,20000.1248,20014.922
32,992,1,True,20231.979199999998,20192.422000000002,20326.4844,20569.844
32,1024,1,True,20624.7136,20590.0,20715.6564,20843.672000000002
32,1024,1,True,20608.864666666665,20579.922,20696.968800000002,20742.344
32,1088,1,True,21497.41146666667,21487.422,21558.1252,21796.25
32,1152,1,True,22721.557333333334,22697.5,22800.390799999997,22918.75
32,1216,1,True,23652.520800000002,23630.0,23708.577999999998,24120.0
32,1280,1,True,24427.427066666667,24376.172,24529.0624,24696.25
32,1344,1,True,25305.890666666666,25291.172,25369.0312,25397.422
32,1408,1,True,26644.937466666666,26590.0,26770.5936,27136.25
32,1472,1,True,27583.2448,27567.656,27614.468800000002,27802.422
32,1536,1,True,28245.640666666666,28238.75,28261.0624,28456.172
32,1600,1,True,29092.348933333335,29077.5,29155.5624,29216.25
32,1664,1,True,30349.09373333334,30321.25,30446.5624,30466.25
32,1728,1,True,31394.093733333335,31358.827999999998,31453.9688,31868.828
32,1792,1,True,32192.812533333334,32187.655999999995,32267.2188,32646.093999999997
32,1856,1,True,33057.32813333333,33039.844000000005,33132.437600000005,33287.578
32,1920,1,True,34211.55213333333,34173.75,34313.75,34453.594000000005
32,1984,1,True,35217.270800000006,35222.344,35266.5936,35321.172
64,0,1,True,9704.192666666666,9717.5,9822.5,9831.25
64,32,1,True,12483.494800000002,12455.0,12587.859199999999,12641.171999999999
64,64,1,True,13407.359466666669,13405.155999999999,13487.515599999999,13540.0
64,96,1,True,12666.687466666664,12658.75,12753.8748,12830.156
64,128,1,True,13777.640666666668,13742.5,13920.75,13979.844
64,160,1,True,14311.916666666664,14300.0,14422.2656,14566.172
64,192,1,True,12667.35933333333,12637.422,12823.0,12928.828
64,224,1,True,13906.552133333333,13906.172,13944.9688,13962.578000000001
64,256,1,True,14526.119866666666,14528.672,14553.75,14643.75
64,288,1,True,15119.114666666668,15103.671999999999,15186.2032,15208.828000000001
64,320,1,True,15725.093733333333,15711.25,15799.4844,15806.25
64,352,1,True,16930.036533333336,16888.672,17041.922000000002,17049.922
64,384,1,True,18052.317733333333,17991.172,18304.7656,18444.844
64,416,1,True,18895.109333333334,18903.75,18966.9688,19054.922000000002
64,448,1,True,18689.83853333333,18665.156,18813.0,18972.656
64,480,1,True,20010.7552,19987.422,20142.5,20168.906
64,512,1,True,20692.07813333334,20698.827999999998,20734.4688,20826.406
64,544,1,True,21415.927066666667,21392.422,21483.9532,21731.172000000002
64,576,1,True,22067.671866666664,22047.5,22200.0936,22249.844
64,608,1,True,23673.499999999996,23622.578,23694.4532,24187.577999999998
64,640,1,True,24408.41666666667,24371.25,24512.7968,24608.75
64,672,1,True,25214.416666666664,25173.594,25311.0312,25593.906
64,704,1,True,25225.619866666668,25189.922,25295.0,25666.25
64,736,1,True,26678.833333333336,26673.828,26759.7032,26771.25
64,768,1,True,27335.416666666668,27289.843999999997,27548.0,27593.906
64,800,1,True,28055.317733333337,28043.75,28143.7032,28153.672
64,832,1,True,28693.739599999997,28677.5,28772.781199999998,28843.827999999998
64,864,1,True,29952.432266666667,29944.922,30023.0,30053.906000000003
64,896,1,True,30786.468666666668,30746.327999999998,30840.5156,31181.406
64,928,1,True,31453.760399999996,31428.75,31528.0,31583.828
64,960,1,True,31795.958400000003,31779.766,31884.1408,31926.172000000002
64,992,1,True,32445.598933333335,32427.656,32524.9532,32547.344
64,1024,1,True,33178.75519999999,33152.578,33399.828,33528.827999999994
64,1024,1,True,33149.56253333334,33106.094,33266.2812,33450.0
64,1088,1,True,34516.40106666666,34512.344,34549.922,34745.0
64,1152,1,True,36859.56253333334,36850.0,36945.25,37123.672
64,1216,1,True,37676.0,37628.672,37838.172000000006,37957.578
64,1280,1,True,39493.698,39467.344,39594.4376,39655.0
64,1344,1,True,40974.7916,40951.327999999994,41087.8436,41142.578
64,1408,1,True,43348.729199999994,43341.406,43399.7812,43431.328
64,1472,1,True,44148.583333333336,44078.75,44397.5156,44552.344
64,1536,1,True,45708.31773333334,45696.094000000005,45778.453199999996,45851.328
64,1600,1,True,47255.43746666667,47250.078,47316.7188,47330.0
64,1664,1,True,49384.29693333334,49362.422,49453.7032,49588.672000000006
64,1728,1,True,50386.156266666665,50406.25,50441.015600000006,50452.422
64,1792,1,True,52297.34373333333,52302.577999999994,52384.0936,52415.0
64,1856,1,True,53825.60426666667,53792.344,53874.3908,54338.75
64,1920,1,True,55978.0052,55994.922000000006,56049.0624,56088.828
64,1984,1,True,56809.916666666664,56793.828,56904.7344,56947.344000000005
96,0,1,True,15343.812533333332,15361.172,15494.7968,15802.5
96,32,1,True,16815.474000000002,16780.078,16912.968800000002,17013.594
96,64,1,True,16818.651066666665,16779.844,16962.968800000002,16997.5
96,96,1,True,18341.692666666666,18347.5,18477.515600000002,18487.5
96,128,1,True,18430.182266666663,18413.75,18511.3124,18696.25
96,160,1,True,16070.385466666663,16029.921999999999,16164.140800000001,16384.922
96,192,1,True,18891.64066666667,18902.577999999998,19004.0,19022.422
96,224,1,True,19781.979199999998,19818.828,19882.172,19953.75
96,256,1,True,20431.817733333333,20422.422000000002,20503.5312,20585.077999999998
96,288,1,True,21311.776,21286.172000000002,21394.0468,21423.906
96,320,1,True,22754.343733333335,22722.577999999998,22839.015600000002,23227.422000000002
