layer_name,input,kv_cache,tp_size,latency(ns)
input_layernorm,1,0,1,1711
rope,1,0,1,251
embedding,1,0,1,749
q_proj,1,0,1,23468
o_proj,1,0,1,22919
post_layernorm,1,0,1,1043
gate_proj,1,0,1,151270
act_fn,1,0,1,33
down_proj,1,0,1,75826
final_layernorm,1,0,1,507
lm_head,1,0,1,336484
embedding,2,0,1,1711
rope,2,0,1,176
input_layernorm,2,0,1,799
post_layernorm,2,0,1,559
q_proj,2,0,1,22639
o_proj,2,0,1,5296
final_layernorm,2,0,1,562
gate_proj,2,0,1,78948
down_proj,2,0,1,154187
lm_head,2,0,1,677188
embedding,3,0,1,1708
rope,3,0,1,85
post_layernorm,3,0,1,561
input_layernorm,3,0,1,802
final_layernorm,3,0,1,567
q_proj,3,0,1,45465
o_proj,3,0,1,5375
gate_proj,3,0,1,79040
down_proj,3,0,1,154128
lm_head,3,0,1,676638
embedding,4,0,1,1774
rope,4,0,1,84
post_layernorm,4,0,1,562
input_layernorm,4,0,1,801
final_layernorm,4,0,1,567
q_proj,4,0,1,45851
o_proj,4,0,1,5392
gate_proj,4,0,1,82852
down_proj,4,0,1,154328
lm_head,4,0,1,678203
embedding,5,0,1,1674
rope,5,0,1,84
post_layernorm,5,0,1,562
input_layernorm,5,0,1,799
final_layernorm,5,0,1,567
q_proj,5,0,1,45705
o_proj,5,0,1,5372
gate_proj,5,0,1,79394
down_proj,5,0,1,154206
lm_head,5,0,1,676821
embedding,6,0,1,1644
rope,6,0,1,84
post_layernorm,6,0,1,558
input_layernorm,6,0,1,799
final_layernorm,6,0,1,568
q_proj,6,0,1,45431
o_proj,6,0,1,5378
gate_proj,6,0,1,79103
down_proj,6,0,1,154205
lm_head,6,0,1,678421
embedding,7,0,1,1735
rope,7,0,1,84
post_layernorm,7,0,1,558
input_layernorm,7,0,1,800
final_layernorm,7,0,1,568
q_proj,7,0,1,45462
o_proj,7,0,1,5381
gate_proj,7,0,1,79085
down_proj,7,0,1,154177
lm_head,7,0,1,676186
embedding,8,0,1,1628
rope,8,0,1,84
post_layernorm,8,0,1,558
input_layernorm,8,0,1,798
final_layernorm,8,0,1,567
q_proj,8,0,1,45453
o_proj,8,0,1,5232
gate_proj,8,0,1,79026
down_proj,8,0,1,154179
lm_head,8,0,1,677651
embedding,9,0,1,1918
rope,9,0,1,91
post_layernorm,9,0,1,560
input_layernorm,9,0,1,807
final_layernorm,9,0,1,568
q_proj,9,0,1,25555
o_proj,9,0,1,5332
gate_proj,9,0,1,78916
down_proj,9,0,1,154232
lm_head,9,0,1,677223
embedding,10,0,1,1987
rope,10,0,1,91
post_layernorm,10,0,1,562
input_layernorm,10,0,1,807
final_layernorm,10,0,1,568
q_proj,10,0,1,25546
o_proj,10,0,1,5332
gate_proj,10,0,1,78929
down_proj,10,0,1,154251
lm_head,10,0,1,673193
embedding,11,0,1,1851
rope,11,0,1,90
post_layernorm,11,0,1,561
input_layernorm,11,0,1,807
final_layernorm,11,0,1,567
q_proj,11,0,1,25511
o_proj,11,0,1,5333
gate_proj,11,0,1,78902
down_proj,11,0,1,154255
lm_head,11,0,1,673321
embedding,12,0,1,1812
rope,12,0,1,90
post_layernorm,12,0,1,562
input_layernorm,12,0,1,807
final_layernorm,12,0,1,568
q_proj,12,0,1,25529
o_proj,12,0,1,5335
gate_proj,12,0,1,78876
down_proj,12,0,1,154240
lm_head,12,0,1,677036
embedding,13,0,1,1881
rope,13,0,1,91
post_layernorm,13,0,1,561
input_layernorm,13,0,1,807
final_layernorm,13,0,1,567
q_proj,13,0,1,25566
o_proj,13,0,1,5336
gate_proj,13,0,1,78894
down_proj,13,0,1,154220
lm_head,13,0,1,675763
embedding,14,0,1,1770
rope,14,0,1,91
post_layernorm,14,0,1,561
input_layernorm,14,0,1,807
final_layernorm,14,0,1,568
q_proj,14,0,1,25548
o_proj,14,0,1,5338
gate_proj,14,0,1,78898
down_proj,14,0,1,154205
lm_head,14,0,1,673068
embedding,15,0,1,1754
rope,15,0,1,91
post_layernorm,15,0,1,562
input_layernorm,15,0,1,807
final_layernorm,15,0,1,567
q_proj,15,0,1,25525
o_proj,15,0,1,5335
gate_proj,15,0,1,78897
down_proj,15,0,1,154216
lm_head,15,0,1,677344
embedding,16,0,1,1834
rope,16,0,1,90
post_layernorm,16,0,1,562
input_layernorm,16,0,1,806
final_layernorm,16,0,1,567
q_proj,16,0,1,25605
o_proj,16,0,1,5330
gate_proj,16,0,1,78888
down_proj,16,0,1,154251
lm_head,16,0,1,677299
embedding,17,0,1,2338
rope,17,0,1,102
post_layernorm,17,0,1,559
input_layernorm,17,0,1,826
final_layernorm,17,0,1,567
q_proj,17,0,1,25052
o_proj,17,0,1,5828
gate_proj,17,0,1,78940
down_proj,17,0,1,154332
lm_head,17,0,1,674492
embedding,18,0,1,2297
rope,18,0,1,102
post_layernorm,18,0,1,558
input_layernorm,18,0,1,826
final_layernorm,18,0,1,568
q_proj,18,0,1,25058
o_proj,18,0,1,5828
gate_proj,18,0,1,78977
down_proj,18,0,1,154354
lm_head,18,0,1,674528
embedding,19,0,1,2351
rope,19,0,1,102
post_layernorm,19,0,1,558
input_layernorm,19,0,1,826
final_layernorm,19,0,1,568
q_proj,19,0,1,25064
o_proj,19,0,1,5828
gate_proj,19,0,1,78959
down_proj,19,0,1,154347
lm_head,19,0,1,674608
embedding,20,0,1,2216
rope,20,0,1,102
post_layernorm,20,0,1,559
input_layernorm,20,0,1,826
final_layernorm,20,0,1,569
q_proj,20,0,1,25083
o_proj,20,0,1,5828
gate_proj,20,0,1,78931
down_proj,20,0,1,154318
lm_head,20,0,1,680051
embedding,21,0,1,2177
rope,21,0,1,102
post_layernorm,21,0,1,559
input_layernorm,21,0,1,826
final_layernorm,21,0,1,568
q_proj,21,0,1,25081
o_proj,21,0,1,5830
gate_proj,21,0,1,78950
down_proj,21,0,1,154316
lm_head,21,0,1,681351
embedding,22,0,1,2239
rope,22,0,1,102
post_layernorm,22,0,1,559
input_layernorm,22,0,1,826
final_layernorm,22,0,1,567
q_proj,22,0,1,25103
o_proj,22,0,1,5831
gate_proj,22,0,1,78931
down_proj,22,0,1,154339
lm_head,22,0,1,679051
embedding,23,0,1,2120
rope,23,0,1,102
post_layernorm,23,0,1,559
input_layernorm,23,0,1,826
final_layernorm,23,0,1,567
q_proj,23,0,1,25099
o_proj,23,0,1,5830
gate_proj,23,0,1,78969
down_proj,23,0,1,154322
lm_head,23,0,1,679511
embedding,24,0,1,2083
rope,24,0,1,102
post_layernorm,24,0,1,561
input_layernorm,24,0,1,825
final_layernorm,24,0,1,567
q_proj,24,0,1,25132
o_proj,24,0,1,5788
gate_proj,24,0,1,78955
down_proj,24,0,1,154305
lm_head,24,0,1,681714
embedding,25,0,1,2198
rope,25,0,1,121
post_layernorm,25,0,1,562
input_layernorm,25,0,1,844
final_layernorm,25,0,1,567
q_proj,25,0,1,25233
o_proj,25,0,1,5875
gate_proj,25,0,1,79001
down_proj,25,0,1,154362
lm_head,25,0,1,680204
embedding,26,0,1,2077
rope,26,0,1,120
post_layernorm,26,0,1,561
input_layernorm,26,0,1,845
final_layernorm,26,0,1,568
q_proj,26,0,1,25239
o_proj,26,0,1,5877
gate_proj,26,0,1,79001
down_proj,26,0,1,154348
lm_head,26,0,1,682696
embedding,27,0,1,2043
rope,27,0,1,120
post_layernorm,27,0,1,561
input_layernorm,27,0,1,844
final_layernorm,27,0,1,567
q_proj,27,0,1,25317
o_proj,27,0,1,5878
gate_proj,27,0,1,78976
down_proj,27,0,1,154363
lm_head,27,0,1,681322
embedding,28,0,1,2144
rope,28,0,1,120
post_layernorm,28,0,1,561
input_layernorm,28,0,1,847
final_layernorm,28,0,1,568
q_proj,28,0,1,25239
o_proj,28,0,1,5877
gate_proj,28,0,1,79014
down_proj,28,0,1,154394
lm_head,28,0,1,677109
embedding,29,0,1,2018
rope,29,0,1,120
post_layernorm,29,0,1,561
input_layernorm,29,0,1,844
final_layernorm,29,0,1,567
q_proj,29,0,1,25264
o_proj,29,0,1,5879
gate_proj,29,0,1,78979
down_proj,29,0,1,154298
lm_head,29,0,1,680727
embedding,30,0,1,1996
rope,30,0,1,120
post_layernorm,30,0,1,560
input_layernorm,30,0,1,844
final_layernorm,30,0,1,567
q_proj,30,0,1,25208
o_proj,30,0,1,5880
gate_proj,30,0,1,78995
down_proj,30,0,1,154390
lm_head,30,0,1,676091
embedding,31,0,1,2070
rope,31,0,1,120
post_layernorm,31,0,1,562
input_layernorm,31,0,1,845
final_layernorm,31,0,1,567
q_proj,31,0,1,25794
o_proj,31,0,1,5878
gate_proj,31,0,1,79108
down_proj,31,0,1,154467
lm_head,31,0,1,686841
embedding,32,0,1,1973
rope,32,0,1,120
post_layernorm,32,0,1,561
input_layernorm,32,0,1,843
final_layernorm,32,0,1,568
q_proj,32,0,1,25241
o_proj,32,0,1,5851
gate_proj,32,0,1,79006
down_proj,32,0,1,154314
lm_head,32,0,1,676515
embedding,33,0,1,3232
rope,33,0,1,136
post_layernorm,33,0,1,560
input_layernorm,33,0,1,863
final_layernorm,33,0,1,567
q_proj,33,0,1,26984
o_proj,33,0,1,6366
gate_proj,33,0,1,87456
down_proj,33,0,1,172489
lm_head,33,0,1,694077
embedding,34,0,1,3286
rope,34,0,1,136
post_layernorm,34,0,1,561
input_layernorm,34,0,1,860
final_layernorm,34,0,1,567
q_proj,34,0,1,25101
o_proj,34,0,1,6363
gate_proj,34,0,1,79058
down_proj,34,0,1,153683
lm_head,34,0,1,685563
embedding,35,0,1,3163
rope,35,0,1,136
post_layernorm,35,0,1,561
input_layernorm,35,0,1,863
final_layernorm,35,0,1,567
q_proj,35,0,1,25024
o_proj,35,0,1,6364
gate_proj,35,0,1,79038
down_proj,35,0,1,153671
lm_head,35,0,1,683055
embedding,36,0,1,3115
rope,36,0,1,136
post_layernorm,36,0,1,560
input_layernorm,36,0,1,862
final_layernorm,36,0,1,567
q_proj,36,0,1,24981
o_proj,36,0,1,6365
gate_proj,36,0,1,79015
down_proj,36,0,1,153692
lm_head,36,0,1,685716
embedding,37,0,1,3180
rope,37,0,1,136
post_layernorm,37,0,1,561
input_layernorm,37,0,1,860
final_layernorm,37,0,1,567
q_proj,37,0,1,25007
o_proj,37,0,1,6366
gate_proj,37,0,1,79043
down_proj,37,0,1,153719
lm_head,37,0,1,678371
embedding,38,0,1,3038
rope,38,0,1,136
