instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,7,meta-llama/Llama-3.1-8B,2,11,811936856,1862494074,1050557218,29258276,142733075,113478017,"[113475712, 113478457, 113478329, 113478329, 113478329, 113478329, 113478329, 113478329]"
0,3,meta-llama/Llama-3.1-8B,4,16,570907776,1975969242,1405061466,43337526,156813129,113477121,"[113474227, 113474799, 113475712, 113478457, 113478329, 113478329, 113478329, 113478329, 113478329, 113478329, 113475168]"
0,9,meta-llama/Llama-3.1-8B,5,31,1026970077,4018515048,2991544971,41175566,154654023,113475637,"[113478329, 113478329, 113478329, 113478329, 113478329, 113478329, 113475168, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767]"
0,8,meta-llama/Llama-3.1-8B,18,76,903845071,7536216085,6632371014,50824860,164300572,113474920,"[113478457, 113478329, 113478329, 113478329, 113478329, 113478329, 113478329, 113475168, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227]"
0,5,meta-llama/Llama-3.1-8B,15,78,604829893,7763159921,7158330028,9415409,122891012,113474822,"[113474227, 113474799, 113475712, 113478457, 113478329, 113478329, 113478329, 113478329, 113478329, 113478329, 113475168, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113471918, 113471918]"
0,0,meta-llama/Llama-3.1-8B,10,80,46926808,7990100461,7943173653,0,113462450,113474075,"[113462162, 113462162, 113465234, 113466486, 113475603, 113474227, 113474799, 113475712, 113478457, 113478329, 113478329, 113478329, 113478329, 113478329, 113478329, 113475168, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113471918, 113471918, 113470270, 113470270]"
0,2,meta-llama/Llama-3.1-8B,16,85,479613521,8330504164,7850890643,21165295,134631781,113474395,"[113475603, 113474227, 113474799, 113475712, 113478457, 113478329, 113478329, 113478329, 113478329, 113478329, 113478329, 113475168, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113471918, 113471918, 113470270, 113470270, 113467901, 113467901, 113467901]"
0,6,meta-llama/Llama-3.1-8B,15,99,610813769,10145960260,9535146491,3431533,116907136,113472763,"[113474227, 113474799, 113475712, 113478457, 113478329, 113478329, 113478329, 113478329, 113478329, 113478329, 113475168, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113471918, 113471918, 113470270, 113470270, 113467901, 113467901, 113467901, 113466006, 113466006, 113466006, 113466006, 113466006, 113466006, 113466006, 113466006, 113466006, 113466006, 113466006, 113466006, 113466006, 113466006, 113466006, 113466006]"
0,4,meta-llama/Llama-3.1-8B,13,109,587870263,11507535004,10919664741,26375039,139850642,113471727,"[113474227, 113474799, 113475712, 113478457, 113478329, 113478329, 113478329, 113478329, 113478329, 113478329, 113475168, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113471918, 113471918, 113470270, 113470270, 113467901, 113467901, 113467901, 113466006, 113466006, 113466006, 113466006, 113466006, 113466006, 113466006, 113466006, 113466006, 113466006, 113466006, 113466006, 113466006, 113466006, 113466006, 113466006, 113464562, 113464562, 113464562, 113464562, 113464562, 113464562, 113464562, 113464562, 113464562, 113464562, 113464562, 113464562]"
0,1,meta-llama/Llama-3.1-8B,22,126,347938952,12188307976,11840369024,39374630,152839864,113471156,"[113466486, 113475603, 113474227, 113474799, 113475712, 113478457, 113478329, 113478329, 113478329, 113478329, 113478329, 113478329, 113475168, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474767, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113474227, 113471918, 113471918, 113470270, 113470270, 113467901, 113467901, 113467901, 113466006, 113466006, 113466006, 113466006, 113466006, 113466006, 113466006, 113466006, 113466006, 113466006, 113466006, 113466006, 113466006, 113466006, 113466006, 113466006, 113464562, 113464562, 113464562, 113464562, 113464562, 113464562, 113464562, 113464562, 113464562, 113464562, 113464562, 113464562, 113462162, 113462162, 113462162, 113462162, 113462162, 113462162]"
