instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,0,meta-llama/Llama-3.1-8B,10,80,46926808,1754520061,1707593253,0,25964189,24371435,"[24017853, 24017853, 24017853, 24017853, 24017853, 24017853, 24017853, 24017853, 24017853, 24017853, 24017853, 24017853, 24017853, 24017853, 24017853, 24017853, 24017853, 24017853, 24017853, 24017853, 24017853, 24017853, 26463379, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 26739729, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234]"
0,8,meta-llama/Llama-3.1-8B,18,76,903845071,2344790677,1440945606,17671539,44411268,24500602,"[24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901]"
0,4,meta-llama/Llama-3.1-8B,13,109,587870263,2952780202,2364909939,13413500,39876879,24474032,"[24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 26739729, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581]"
1,9,meta-llama/Llama-3.1-8B,5,31,1026970077,1669993964,643023887,5924651,32218037,24432234,"[24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234]"
1,5,meta-llama/Llama-3.1-8B,15,78,604829893,2163251984,1558422091,9472654,36372211,24549191,"[24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 26293386, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901]"
1,1,meta-llama/Llama-3.1-8B,22,126,347938952,2892839414,2544900462,112806,26185065,24453547,"[24017853, 24017853, 24017853, 24017853, 24017853, 24017853, 24017853, 24017853, 24017853, 24017853, 26899557, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 26293386, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581]"
2,2,meta-llama/Llama-3.1-8B,16,85,479613521,2173710840,1694097319,134262,26385787,24525169,"[24017853, 24017853, 24017853, 24017853, 24017853, 26899557, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901]"
2,6,meta-llama/Llama-3.1-8B,15,99,610813769,2684422041,2073608272,15274804,42174361,24475107,"[24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24480789, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581]"
3,3,meta-llama/Llama-3.1-8B,4,16,570907776,863292533,292384757,9457,25682709,24245640,"[24017853, 24017853, 24017853, 24017853, 24017853, 24017853, 24017853, 24017853, 24017853, 26060582, 24480789]"
3,7,meta-llama/Llama-3.1-8B,2,11,811936856,1031417504,219480648,814306,26874888,24075720,"[24480789, 24017853, 24017853, 24017853, 24017853, 24017853, 24017853, 24017853]"
