instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,3,microsoft/Phi-mini-MoE-instruct,4,16,570907776,999650062,428742286,14893846,48118725,34602141,"[36359629, 33717183, 33717183, 33717183, 33717183, 33717183, 34692057, 34320095, 34320095, 37422364, 34923406]"
0,7,microsoft/Phi-mini-MoE-instruct,2,11,811936856,1139739306,327802450,12035189,46727246,35134400,"[34320095, 34320095, 37422364, 34923406, 34320095, 35922337, 34923406, 34923406]"
0,9,microsoft/Phi-mini-MoE-instruct,5,31,1026970077,1929101491,902131414,7000080,42922417,34368359,"[34923406, 34923406, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095]"
0,0,microsoft/Phi-mini-MoE-instruct,10,80,46926808,2401395493,2354468685,0,31481453,33666481,"[30918671, 30918671, 30918671, 30918671, 30918671, 30918671, 30918671, 30918671, 30918671, 35428809, 31606284, 31606284, 31606284, 34314575, 32281543, 32281543, 33224879, 36359629, 33717183, 33717183, 33717183, 33717183, 33717183, 34692057, 34320095, 34320095, 37422364, 34923406, 34320095, 35922337, 34923406, 34923406, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 33717183, 33717183, 33717183, 33717183, 33717183, 33717183, 33717183, 33717183, 33717183, 33767871, 33767871, 33767871, 33767871, 33767871]"
0,5,microsoft/Phi-mini-MoE-instruct,15,78,604829893,2773801164,2168971271,14196608,50556237,34167984,"[33717183, 33717183, 33717183, 33717183, 33717183, 34692057, 34320095, 34320095, 37422364, 34923406, 34320095, 35922337, 34923406, 34923406, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 33717183, 33717183, 33717183, 33717183, 33717183, 33717183, 33717183, 33717183, 33717183, 33767871, 33767871, 33767871, 33767871, 33767871, 33855061, 33855061, 33855061, 33855061, 33855061, 33855061, 33855061, 33855061, 33855061, 33855061, 33855061]"
0,2,microsoft/Phi-mini-MoE-instruct,16,85,479613521,2838958446,2359344925,7310440,41625015,34084116,"[32281543, 32281543, 33224879, 36359629, 33717183, 33717183, 33717183, 33717183, 33717183, 34692057, 34320095, 34320095, 37422364, 34923406, 34320095, 35922337, 34923406, 34923406, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 33717183, 33717183, 33717183, 33717183, 33717183, 33717183, 33717183, 33717183, 33717183, 33767871, 33767871, 33767871, 33767871, 33767871, 33855061, 33855061, 33855061, 33855061, 33855061, 33855061, 33855061, 33855061, 33855061, 33855061, 33855061, 32578641, 32578641]"
0,8,microsoft/Phi-mini-MoE-instruct,18,76,903845071,2904089392,2000244321,23459221,60881585,34023907,"[34923406, 34320095, 35922337, 34923406, 34923406, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 33717183, 33717183, 33717183, 33717183, 33717183, 33717183, 33717183, 33717183, 33717183, 33767871, 33767871, 33767871, 33767871, 33767871, 33855061, 33855061, 33855061, 33855061, 33855061, 33855061, 33855061, 33855061, 33855061, 33855061, 33855061, 32578641, 32578641, 32565473, 32565473]"
0,6,microsoft/Phi-mini-MoE-instruct,15,99,610813769,3465213543,2854399774,8212732,44572361,33853342,"[33717183, 33717183, 33717183, 33717183, 33717183, 34692057, 34320095, 34320095, 37422364, 34923406, 34320095, 35922337, 34923406, 34923406, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 33717183, 33717183, 33717183, 33717183, 33717183, 33717183, 33717183, 33717183, 33717183, 33767871, 33767871, 33767871, 33767871, 33767871, 33855061, 33855061, 33855061, 33855061, 33855061, 33855061, 33855061, 33855061, 33855061, 33855061, 33855061, 32578641, 32578641, 32565473, 32565473, 33007303, 33007303, 33007303, 33007303, 33007303, 33007303, 33007303, 33007303, 33007303, 33007303, 33007303, 33007303, 33007303, 33007303, 33007303, 33007303, 33007303]"
0,1,microsoft/Phi-mini-MoE-instruct,22,126,347938952,3852124407,3504185455,8737348,44166157,33592420,"[31606284, 31606284, 31606284, 34314575, 32281543, 32281543, 33224879, 36359629, 33717183, 33717183, 33717183, 33717183, 33717183, 34692057, 34320095, 34320095, 37422364, 34923406, 34320095, 35922337, 34923406, 34923406, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 33717183, 33717183, 33717183, 33717183, 33717183, 33717183, 33717183, 33717183, 33717183, 33767871, 33767871, 33767871, 33767871, 33767871, 33855061, 33855061, 33855061, 33855061, 33855061, 33855061, 33855061, 33855061, 33855061, 33855061, 33855061, 32578641, 32578641, 32565473, 32565473, 33007303, 33007303, 33007303, 33007303, 33007303, 33007303, 33007303, 33007303, 33007303, 33007303, 33007303, 33007303, 33007303, 33007303, 33007303, 33007303, 33007303, 32242572, 32242572, 32242572, 32242572, 32242572, 32242572, 32242572, 32242572, 32242572, 32242572, 32242572, 32242572]"
0,4,microsoft/Phi-mini-MoE-instruct,13,109,587870263,3852124407,3264254144,31156238,67515867,33649876,"[33717183, 33717183, 33717183, 33717183, 33717183, 34692057, 34320095, 34320095, 37422364, 34923406, 34320095, 35922337, 34923406, 34923406, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 34320095, 33717183, 33717183, 33717183, 33717183, 33717183, 33717183, 33717183, 33717183, 33717183, 33767871, 33767871, 33767871, 33767871, 33767871, 33855061, 33855061, 33855061, 33855061, 33855061, 33855061, 33855061, 33855061, 33855061, 33855061, 33855061, 32578641, 32578641, 32565473, 32565473, 33007303, 33007303, 33007303, 33007303, 33007303, 33007303, 33007303, 33007303, 33007303, 33007303, 33007303, 33007303, 33007303, 33007303, 33007303, 33007303, 33007303, 32242572, 32242572, 32242572, 32242572, 32242572, 32242572, 32242572, 32242572, 32242572, 32242572, 32242572, 32242572]"
