instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,0,meta-llama/Llama-3.1-8B,10,80,46926808,1767926641,1720999833,0,25964189,24565733,"[24017853, 24017853, 24017853, 24017853, 24017853, 24017853, 24017853, 24017853, 24017853, 24017853, 24017853, 24017853, 24017853, 24017853, 24017853, 24017853, 24017853, 26720686, 24480789, 24480789, 24480789, 24480789, 26624874, 26777248, 24699503, 24699503, 24699503, 24699503, 24699503, 24699503, 24699503, 24699503, 24699503, 24699503, 26741487, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343]"
0,2,meta-llama/Llama-3.1-8B,16,85,479613521,2188931024,1709317503,1580977,28301663,24720821,"[24480789, 24480789, 24480789, 24480789, 26624874, 26777248, 24699503, 24699503, 24699503, 24699503, 24699503, 24699503, 24699503, 24699503, 24699503, 24699503, 26741487, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24699503, 24699503, 24699503, 24699503, 24699503, 24792239, 24792239, 24792239, 24792239, 24792239, 24792239, 24792239, 24792239, 24792239, 24792239, 24792239, 24792239]"
0,8,meta-llama/Llama-3.1-8B,18,76,903845071,2336852300,1433007229,2390421,29131908,24629391,"[24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24699503, 24699503, 24699503, 24699503, 24699503, 24792239, 24792239, 24792239, 24792239, 24792239, 24792239, 24792239, 24792239, 24792239, 24792239, 24792239, 24792239, 24653546, 24653546, 24653546, 24653546, 24653546, 24653546]"
0,6,meta-llama/Llama-3.1-8B,15,99,610813769,2706795815,2095982046,21649445,48426693,24669341,"[24699503, 24699503, 24699503, 24699503, 24699503, 24699503, 24699503, 24699503, 24699503, 24699503, 26741487, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24699503, 24699503, 24699503, 24699503, 24699503, 24792239, 24792239, 24792239, 24792239, 24792239, 24792239, 24792239, 24792239, 24792239, 24792239, 24792239, 24792239, 24653546, 24653546, 24653546, 24653546, 24653546, 24653546, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901]"
0,4,meta-llama/Llama-3.1-8B,13,109,587870263,2974311206,2386440943,17968077,44592951,24651031,"[26777248, 24699503, 24699503, 24699503, 24699503, 24699503, 24699503, 24699503, 24699503, 24699503, 24699503, 26741487, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24557343, 24699503, 24699503, 24699503, 24699503, 24699503, 24792239, 24792239, 24792239, 24792239, 24792239, 24792239, 24792239, 24792239, 24792239, 24792239, 24792239, 24792239, 24653546, 24653546, 24653546, 24653546, 24653546, 24653546, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581]"
1,3,meta-llama/Llama-3.1-8B,4,16,570907776,889665149,318757373,19376918,45534345,24838457,"[26626802, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 26171582, 24699503, 24699503]"
1,7,meta-llama/Llama-3.1-8B,2,11,811936856,1036258553,224321697,2157705,28329287,24499051,"[24699503, 24699503, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234]"
1,9,meta-llama/Llama-3.1-8B,5,31,1026970077,1673357789,646387712,9288476,35581862,24432234,"[24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234]"
1,5,meta-llama/Llama-3.1-8B,15,78,604829893,2166615809,1561785916,11612228,38239030,24573336,"[24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 26171582, 24699503, 24699503, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 26293386, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901]"
1,1,meta-llama/Llama-3.1-8B,22,126,347938952,2896203239,2548264287,112806,26185065,24486206,"[24017853, 24017853, 24017853, 24017853, 24017853, 24017853, 24017853, 24017853, 24017853, 26157427, 26626802, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 26171582, 24699503, 24699503, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 26293386, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24432234, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581, 24319581]"
