instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,0,meta-llama/Llama-3.1-8B,10,80,46926808,581757785,534830977,0,7842296,7637517,"[7512738, 7513500, 7512668, 7514172, 7512468, 7516564, 7515064, 7516088, 7515364, 7517928, 7517004, 7517864, 7515244, 7518048, 7516884, 7516644, 7515896, 7518076, 7517588, 7507840, 7517272, 7619252, 7617728, 7617732, 7617448, 7589560, 7567008, 7618520, 7617156, 7617488, 7618684, 7619240, 7587908, 7569180, 7619216, 7619136, 7589436, 7620892, 7590116, 7985567, 7672054, 7674468, 7673124, 7674508, 7672452, 7644112, 7672616, 7674808, 7671440, 7675158, 7675154, 7676217, 7674701, 7765834, 7765452, 7765144, 7949288, 7778280, 7777400, 7746175, 7777937, 7746640, 7778856, 7778996, 7777716, 7777320, 7778132, 7779252, 7789266]"
0,3,meta-llama/Llama-3.1-8B,4,16,570907776,668801556,97893780,3060824,10850009,7913070,"[7687138, 7958954, 7709713, 8064468, 8045006, 7928672, 7930284, 7928236, 7930396, 7929948, 7930956]"
0,7,meta-llama/Llama-3.1-8B,2,11,811936856,884495089,72558233,445448,8417593,8017580,"[8028412, 8011564, 8013484, 7987628, 8028748, 8027996, 8013468, 8029340]"
0,2,meta-llama/Llama-3.1-8B,16,85,479613521,1029772112,550158591,909079,8858294,7960298,"[7778280, 7777400, 7746175, 7777937, 7746640, 7778856, 7778996, 7777716, 7777320, 7778132, 7779252, 7789266, 7687138, 7958954, 7709713, 8064468, 8045006, 7928672, 7930284, 7928236, 7930396, 7929948, 7930956, 7914853, 7960053, 7961253, 7960517, 7960005, 7960517, 7961205, 7945344, 7956325, 7946547, 8012510, 8011797, 8011221, 8010805, 7997301, 7986581, 8012261, 8011653, 7972145, 8028412, 8011564, 8013484, 7987628, 8028748, 8027996, 8013468, 8029340, 7998373, 8014885, 8015765, 8226215, 8030533, 8031372, 8078636, 8060764, 8075532, 8076652, 8075324, 8053772, 8036572, 8076092, 8055435, 8122837, 8124780, 8123484]"
0,5,meta-llama/Llama-3.1-8B,15,78,604829893,1110558532,505728639,283707,8348165,8022265,"[8045006, 7928672, 7930284, 7928236, 7930396, 7929948, 7930956, 7914853, 7960053, 7961253, 7960517, 7960005, 7960517, 7961205, 7945344, 7956325, 7946547, 8012510, 8011797, 8011221, 8010805, 7997301, 7986581, 8012261, 8011653, 7972145, 8028412, 8011564, 8013484, 7987628, 8028748, 8027996, 8013468, 8029340, 7998373, 8014885, 8015765, 8226215, 8030533, 8031372, 8078636, 8060764, 8075532, 8076652, 8075324, 8053772, 8036572, 8076092, 8055435, 8122837, 8124780, 8123484, 8154423, 8076774, 8053699, 8061879, 8054044, 8076625, 8076773, 8076684, 8078415, 8077104]"
0,1,meta-llama/Llama-3.1-8B,22,126,347938952,1174596398,826657446,1570848,9556333,7933020,"[7672054, 7674468, 7673124, 7674508, 7672452, 7644112, 7672616, 7674808, 7671440, 7675158, 7675154, 7676217, 7674701, 7765834, 7765452, 7765144, 7949288, 7778280, 7777400, 7746175, 7777937, 7746640, 7778856, 7778996, 7777716, 7777320, 7778132, 7779252, 7789266, 7687138, 7958954, 7709713, 8064468, 8045006, 7928672, 7930284, 7928236, 7930396, 7929948, 7930956, 7914853, 7960053, 7961253, 7960517, 7960005, 7960517, 7961205, 7945344, 7956325, 7946547, 8012510, 8011797, 8011221, 8010805, 7997301, 7986581, 8012261, 8011653, 7972145, 8028412, 8011564, 8013484, 7987628, 8028748, 8027996, 8013468, 8029340, 7998373, 8014885, 8015765, 8226215, 8030533, 8031372, 8078636, 8060764, 8075532, 8076652, 8075324, 8053772, 8036572, 8076092, 8055435, 8122837, 8124780, 8123484, 8154423, 8076774, 8053699, 8061879, 8054044, 8076625, 8076773, 8076684, 8078415, 8077104, 7988288, 7971841, 8013907, 8014174, 8012977, 8012355, 8011624, 8012700]"
0,9,meta-llama/Llama-3.1-8B,5,31,1026970077,1237027812,210057735,2802035,10956458,7964051,"[8076774, 8053699, 8061879, 8054044, 8076625, 8076773, 8076684, 8078415, 8077104, 7988288, 7971841, 8013907, 8014174, 8012977, 8012355, 8011624, 8012700, 7802358, 7803189, 7802394, 7802759, 7802697, 7804251, 7807373, 7806393]"
0,6,meta-llama/Llama-3.1-8B,15,99,610813769,1284108578,673294809,2364289,10409295,7986572,"[7928672, 7930284, 7928236, 7930396, 7929948, 7930956, 7914853, 7960053, 7961253, 7960517, 7960005, 7960517, 7961205, 7945344, 7956325, 7946547, 8012510, 8011797, 8011221, 8010805, 7997301, 7986581, 8012261, 8011653, 7972145, 8028412, 8011564, 8013484, 7987628, 8028748, 8027996, 8013468, 8029340, 7998373, 8014885, 8015765, 8226215, 8030533, 8031372, 8078636, 8060764, 8075532, 8076652, 8075324, 8053772, 8036572, 8076092, 8055435, 8122837, 8124780, 8123484, 8154423, 8076774, 8053699, 8061879, 8054044, 8076625, 8076773, 8076684, 8078415, 8077104, 7988288, 7971841, 8013907, 8014174, 8012977, 8012355, 8011624, 8012700, 7802358, 7803189, 7802394, 7802759, 7802697, 7804251, 7807373, 7806393, 7783745, 7785139, 7879671, 7881485, 7875300, 7875426]"
0,4,meta-llama/Llama-3.1-8B,13,109,587870263,1354711291,766841028,1574737,9533614,7971656,"[7709713, 8064468, 8045006, 7928672, 7930284, 7928236, 7930396, 7929948, 7930956, 7914853, 7960053, 7961253, 7960517, 7960005, 7960517, 7961205, 7945344, 7956325, 7946547, 8012510, 8011797, 8011221, 8010805, 7997301, 7986581, 8012261, 8011653, 7972145, 8028412, 8011564, 8013484, 7987628, 8028748, 8027996, 8013468, 8029340, 7998373, 8014885, 8015765, 8226215, 8030533, 8031372, 8078636, 8060764, 8075532, 8076652, 8075324, 8053772, 8036572, 8076092, 8055435, 8122837, 8124780, 8123484, 8154423, 8076774, 8053699, 8061879, 8054044, 8076625, 8076773, 8076684, 8078415, 8077104, 7988288, 7971841, 8013907, 8014174, 8012977, 8012355, 8011624, 8012700, 7802358, 7803189, 7802394, 7802759, 7802697, 7804251, 7807373, 7806393, 7783745, 7785139, 7879671, 7881485, 7875300, 7875426, 7861853, 7817523, 7784151, 7860646, 7819368, 7862424, 7866912, 7864564, 7865272]"
0,8,meta-llama/Llama-3.1-8B,18,76,903845071,1370138854,466293783,4679041,12905256,7954184,"[8030533, 8031372, 8078636, 8060764, 8075532, 8076652, 8075324, 8053772, 8036572, 8076092, 8055435, 8122837, 8124780, 8123484, 8154423, 8076774, 8053699, 8061879, 8054044, 8076625, 8076773, 8076684, 8078415, 8077104, 7988288, 7971841, 8013907, 8014174, 8012977, 8012355, 8011624, 8012700, 7802358, 7803189, 7802394, 7802759, 7802697, 7804251, 7807373, 7806393, 7783745, 7785139, 7879671, 7881485, 7875300, 7875426, 7861853, 7817523, 7784151, 7860646, 7819368, 7862424, 7866912, 7864564, 7865272, 7714347, 7713216]"
