instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,3,meta-llama/Llama-3.1-8B,4,16,570907776,880289286,309381510,14878,25696533,25789543,"[33372170, 24557343, 25051943, 25051943, 25051943, 25051943, 25051943, 25051943, 25051943, 25051943, 25339920]"
0,7,meta-llama/Llama-3.1-8B,2,11,811936856,1057092772,245155916,121184,25694078,27432729,"[42658352, 25051943, 25051943, 25339920, 25339920, 25339920, 25339920, 25339920]"
0,9,meta-llama/Llama-3.1-8B,5,31,1026970077,1690590772,663620695,19935,25539834,25523234,"[29922781, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920]"
0,0,meta-llama/Llama-3.1-8B,10,80,46926808,1790808400,1743881592,0,25985198,24897049,"[24017853, 24017853, 24017853, 24017853, 24017853, 24017853, 24017853, 24017853, 24017853, 24017853, 24017853, 24017853, 24017853, 24480789, 24480789, 24480789, 24480789, 24480789, 24432234, 24432234, 24432234, 24432234, 24699503, 24557343, 25051943, 25051943, 25051943, 25051943, 25051943, 25051943, 25051943, 25051943, 25339920, 25051943, 25051943, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25051943, 25051943, 25051943, 25061799]"
0,2,meta-llama/Llama-3.1-8B,16,85,479613521,2216476835,1736863314,16427,26301567,25155319,"[26065186, 24432234, 24432234, 24432234, 24699503, 24557343, 25051943, 25051943, 25051943, 25051943, 25051943, 25051943, 25051943, 25051943, 25339920, 25051943, 25051943, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25051943, 25051943, 25051943, 25061799, 25032515, 25032515, 25040227, 25040227, 25040227, 25040227, 25040227, 25040227, 25040227, 25040227, 25040227, 25040227, 25040227, 25040227, 25040227, 25040227, 25040227]"
0,5,meta-llama/Llama-3.1-8B,15,78,604829893,2216476835,1611646942,17612584,44004136,25284561,"[30751736, 25051943, 25051943, 25051943, 25051943, 25051943, 25051943, 25051943, 25339920, 25051943, 25051943, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25051943, 25051943, 25051943, 25061799, 25032515, 25032515, 25040227, 25040227, 25040227, 25040227, 25040227, 25040227, 25040227, 25040227, 25040227, 25040227, 25040227, 25040227, 25040227, 25040227, 25040227]"
0,8,meta-llama/Llama-3.1-8B,18,76,903845071,2365230269,1461385198,57799,26210677,25178500,"[25677344, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25051943, 25051943, 25051943, 25061799, 25032515, 25032515, 25040227, 25040227, 25040227, 25040227, 25040227, 25040227, 25040227, 25040227, 25040227, 25040227, 25040227, 25040227, 25040227, 25040227, 25040227, 24792239, 24792239, 24792239, 24792239, 24792239, 24792239]"
0,6,meta-llama/Llama-3.1-8B,15,99,610813769,2735033459,2124219690,11628708,38020260,25134932,"[30751736, 25051943, 25051943, 25051943, 25051943, 25051943, 25051943, 25051943, 25339920, 25051943, 25051943, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25051943, 25051943, 25051943, 25061799, 25032515, 25032515, 25040227, 25040227, 25040227, 25040227, 25040227, 25040227, 25040227, 25040227, 25040227, 25040227, 25040227, 25040227, 25040227, 25040227, 25040227, 24792239, 24792239, 24792239, 24792239, 24792239, 24792239, 24653546, 24653546, 24653546, 24653546, 24653546, 24653546, 24653546, 24653546, 24653546, 24653546, 24653546, 24653546, 24653546, 24653546, 24653546]"
0,1,meta-llama/Llama-3.1-8B,22,126,347938952,2956999568,2609060616,133815,26252295,25075808,"[35433637, 24480789, 24480789, 24480789, 24480789, 24432234, 24432234, 24432234, 24432234, 24699503, 24557343, 25051943, 25051943, 25051943, 25051943, 25051943, 25051943, 25051943, 25051943, 25339920, 25051943, 25051943, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25051943, 25051943, 25051943, 25061799, 25032515, 25032515, 25040227, 25040227, 25040227, 25040227, 25040227, 25040227, 25040227, 25040227, 25040227, 25040227, 25040227, 25040227, 25040227, 25040227, 25040227, 24792239, 24792239, 24792239, 24792239, 24792239, 24792239, 24653546, 24653546, 24653546, 24653546, 24653546, 24653546, 24653546, 24653546, 24653546, 24653546, 24653546, 24653546, 24653546, 24653546, 24653546, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901]"
0,4,meta-llama/Llama-3.1-8B,13,109,587870263,3005638730,2417768467,8734046,34572214,25086276,"[32091345, 25051943, 25051943, 25051943, 25051943, 25051943, 25051943, 25051943, 25051943, 25339920, 25051943, 25051943, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25339920, 25051943, 25051943, 25051943, 25061799, 25032515, 25032515, 25040227, 25040227, 25040227, 25040227, 25040227, 25040227, 25040227, 25040227, 25040227, 25040227, 25040227, 25040227, 25040227, 25040227, 25040227, 24792239, 24792239, 24792239, 24792239, 24792239, 24792239, 24653546, 24653546, 24653546, 24653546, 24653546, 24653546, 24653546, 24653546, 24653546, 24653546, 24653546, 24653546, 24653546, 24653546, 24653546, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24662901, 24319581, 24319581]"
