instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,3,meta-llama/Llama-3.1-8B,4,16,570907776,879187239,308279463,6232914,32799968,25043590,"[26908585, 27367659, 24280100, 24281444, 24282756, 24284100, 24285444, 24286756, 24288100, 26823781, 24390770]"
0,7,meta-llama/Llama-3.1-8B,2,11,811936856,1055362304,243425448,16035832,42859613,25070729,"[24390770, 24292100, 24293412, 27254762, 24396114, 24397426, 24398770, 27142481]"
0,9,meta-llama/Llama-3.1-8B,5,31,1026970077,1665798210,638828133,1249746,28392227,24417436,"[24401426, 24402770, 24404114, 24405426, 24406770, 24408114, 24409426, 24410770, 24412114, 24413426, 24414770, 24416114, 24417426, 24418770, 24420114, 24421426, 24422770, 24424114, 24425426, 24426770, 24428114, 24429426, 24430770, 24432114, 24433426]"
0,0,meta-llama/Llama-3.1-8B,10,80,46926808,1763145202,1716218394,0,25963945,24496441,"[23509980, 23511324, 23512636, 23513980, 23515324, 23516636, 23517980, 23519324, 23520636, 23521980, 23523324, 23524636, 26891857, 24085529, 24086841, 24088185, 24089529, 24090841, 26830541, 23938771, 23940083, 26567054, 26908585, 27367659, 24280100, 24281444, 24282756, 24284100, 24285444, 24286756, 24288100, 26823781, 24390770, 24292100, 24293412, 27254762, 24396114, 24397426, 24398770, 27142481, 24401426, 24402770, 24404114, 24405426, 24406770, 24408114, 24409426, 24410770, 24412114, 24413426, 24414770, 24416114, 24417426, 24418770, 24420114, 24421426, 24422770, 24424114, 24425426, 24426770, 24428114, 24429426, 24430770, 24432114, 24433426, 24334756, 24336068, 24337412, 24338756]"
0,5,meta-llama/Llama-3.1-8B,15,78,604829893,2176926749,1572096856,25786436,53154095,24499076,"[24280100, 24281444, 24282756, 24284100, 24285444, 24286756, 24288100, 26823781, 24390770, 24292100, 24293412, 27254762, 24396114, 24397426, 24398770, 27142481, 24401426, 24402770, 24404114, 24405426, 24406770, 24408114, 24409426, 24410770, 24412114, 24413426, 24414770, 24416114, 24417426, 24418770, 24420114, 24421426, 24422770, 24424114, 24425426, 24426770, 24428114, 24429426, 24430770, 24432114, 24433426, 24334756, 24336068, 24337412, 24338756, 24329435, 24330747, 24332091, 24333435, 24334747, 24336091, 24337435, 24338747, 24340091, 24341435, 24342747, 24344091, 24345435, 24346747, 24348091, 24349435, 24350747]"
0,2,meta-llama/Llama-3.1-8B,16,85,479613521,2201054479,1721440958,22817774,49648315,24585185,"[23938771, 23940083, 26567054, 26908585, 27367659, 24280100, 24281444, 24282756, 24284100, 24285444, 24286756, 24288100, 26823781, 24390770, 24292100, 24293412, 27254762, 24396114, 24397426, 24398770, 27142481, 24401426, 24402770, 24404114, 24405426, 24406770, 24408114, 24409426, 24410770, 24412114, 24413426, 24414770, 24416114, 24417426, 24418770, 24420114, 24421426, 24422770, 24424114, 24425426, 24426770, 24428114, 24429426, 24430770, 24432114, 24433426, 24334756, 24336068, 24337412, 24338756, 24329435, 24330747, 24332091, 24333435, 24334747, 24336091, 24337435, 24338747, 24340091, 24341435, 24342747, 24344091, 24345435, 24346747, 24348091, 24349435, 24350747, 24127730]"
0,8,meta-llama/Llama-3.1-8B,18,76,903845071,2346818141,1442973070,23927680,51182442,24417379,"[24396114, 24397426, 24398770, 27142481, 24401426, 24402770, 24404114, 24405426, 24406770, 24408114, 24409426, 24410770, 24412114, 24413426, 24414770, 24416114, 24417426, 24418770, 24420114, 24421426, 24422770, 24424114, 24425426, 24426770, 24428114, 24429426, 24430770, 24432114, 24433426, 24334756, 24336068, 24337412, 24338756, 24329435, 24330747, 24332091, 24333435, 24334747, 24336091, 24337435, 24338747, 24340091, 24341435, 24342747, 24344091, 24345435, 24346747, 24348091, 24349435, 24350747, 24127730, 24290621, 24291933, 24293277, 24294621, 24295933, 24297277]"
0,6,meta-llama/Llama-3.1-8B,15,99,610813769,2683444391,2072630622,19802560,47170219,24403137,"[24280100, 24281444, 24282756, 24284100, 24285444, 24286756, 24288100, 26823781, 24390770, 24292100, 24293412, 27254762, 24396114, 24397426, 24398770, 27142481, 24401426, 24402770, 24404114, 24405426, 24406770, 24408114, 24409426, 24410770, 24412114, 24413426, 24414770, 24416114, 24417426, 24418770, 24420114, 24421426, 24422770, 24424114, 24425426, 24426770, 24428114, 24429426, 24430770, 24432114, 24433426, 24334756, 24336068, 24337412, 24338756, 24329435, 24330747, 24332091, 24333435, 24334747, 24336091, 24337435, 24338747, 24340091, 24341435, 24342747, 24344091, 24345435, 24346747, 24348091, 24349435, 24350747, 24127730, 24290621, 24291933, 24293277, 24294621, 24295933, 24297277, 24036083, 24037395, 24038739, 24040083, 24041395, 24042739, 24044051, 24045395, 24046739, 24048051, 24049395, 24050739, 24052051, 24053395]"
0,1,meta-llama/Llama-3.1-8B,22,126,347938952,2901377768,2553438816,7159561,34051418,24460071,"[24085529, 24086841, 24088185, 24089529, 24090841, 26830541, 23938771, 23940083, 26567054, 26908585, 27367659, 24280100, 24281444, 24282756, 24284100, 24285444, 24286756, 24288100, 26823781, 24390770, 24292100, 24293412, 27254762, 24396114, 24397426, 24398770, 27142481, 24401426, 24402770, 24404114, 24405426, 24406770, 24408114, 24409426, 24410770, 24412114, 24413426, 24414770, 24416114, 24417426, 24418770, 24420114, 24421426, 24422770, 24424114, 24425426, 24426770, 24428114, 24429426, 24430770, 24432114, 24433426, 24334756, 24336068, 24337412, 24338756, 24329435, 24330747, 24332091, 24333435, 24334747, 24336091, 24337435, 24338747, 24340091, 24341435, 24342747, 24344091, 24345435, 24346747, 24348091, 24349435, 24350747, 24127730, 24290621, 24291933, 24293277, 24294621, 24295933, 24297277, 24036083, 24037395, 24038739, 24040083, 24041395, 24042739, 24044051, 24045395, 24046739, 24048051, 24049395, 24050739, 24052051, 24053395, 24209497, 24210809, 24212153, 24213497, 24214809, 24216153, 24217497, 24218809, 24220153]"
0,4,meta-llama/Llama-3.1-8B,13,109,587870263,2948655008,2360784745,15837481,42746066,24400407,"[27367659, 24280100, 24281444, 24282756, 24284100, 24285444, 24286756, 24288100, 26823781, 24390770, 24292100, 24293412, 27254762, 24396114, 24397426, 24398770, 27142481, 24401426, 24402770, 24404114, 24405426, 24406770, 24408114, 24409426, 24410770, 24412114, 24413426, 24414770, 24416114, 24417426, 24418770, 24420114, 24421426, 24422770, 24424114, 24425426, 24426770, 24428114, 24429426, 24430770, 24432114, 24433426, 24334756, 24336068, 24337412, 24338756, 24329435, 24330747, 24332091, 24333435, 24334747, 24336091, 24337435, 24338747, 24340091, 24341435, 24342747, 24344091, 24345435, 24346747, 24348091, 24349435, 24350747, 24127730, 24290621, 24291933, 24293277, 24294621, 24295933, 24297277, 24036083, 24037395, 24038739, 24040083, 24041395, 24042739, 24044051, 24045395, 24046739, 24048051, 24049395, 24050739, 24052051, 24053395, 24209497, 24210809, 24212153, 24213497, 24214809, 24216153, 24217497, 24218809, 24220153, 23637948, 23639292]"
