request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT
0,meta-llama/Llama-3.1-8B-Instruct,10,80,46926808,741630355,694703547,0,8943942,9924336
1,meta-llama/Llama-3.1-8B-Instruct,22,126,347938952,1389086217,1041147265,4304108,14405839,10011031
2,meta-llama/Llama-3.1-8B-Instruct,16,85,479613521,1171930076,692316555,897546,10734926,10033573
3,meta-llama/Llama-3.1-8B-Instruct,4,16,570907776,700799375,129891599,9375544,19020941,10824299
4,meta-llama/Llama-3.1-8B-Instruct,13,109,587870263,1546218191,958347928,2058554,11906219,9982790
5,meta-llama/Llama-3.1-8B-Instruct,15,78,604829893,1241576363,636746470,5184837,15102070,10107086
6,meta-llama/Llama-3.1-8B-Instruct,15,99,610813769,1458375104,847561335,9118194,19834551,10090015
7,meta-llama/Llama-3.1-8B-Instruct,2,11,811936856,911652404,99715548,8667359,18547636,11079505
8,meta-llama/Llama-3.1-8B-Instruct,18,76,903845071,1487645073,583800002,7807433,17777260,10065517
9,meta-llama/Llama-3.1-8B-Instruct,5,31,1026970077,1291412703,264442626,4072341,14321690,10170870
