instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,0,meta-llama/Llama-3.1-8B,10,80,46926808,569369340,522442532,0,7695502,7460101,"[7257294, 7257644, 7257280, 7257924, 7257210, 7258988, 7258316, 7258792, 7258470, 7259576, 7259184, 7259562, 7258400, 7259646, 7259114, 7259002, 7258694, 7259646, 7259422, 7255152, 7259296, 7303900, 7303256, 7303270, 7303116, 7290936, 7281052, 7303592, 7303004, 7303130, 7303648, 7303928, 7290194, 7282004, 7303886, 7303858, 7290880, 7304614, 7291146, 7304670, 7304082, 8048902, 7352488, 7353104, 7352208, 7339832, 7352264, 7353230, 7351760, 7352544, 7352544, 7353048, 7352376, 7956772, 7956576, 7956464, 7956128, 7956884, 8043278, 7948673, 7962589, 7948869, 7962981, 7963023, 7962505, 7962295, 7962659, 7963163, 7963093]"
0,3,meta-llama/Llama-3.1-8B,4,16,570907776,666574339,95666563,5814306,13774615,7444722,"[7358929, 8024614, 7367931, 7436568, 7428028, 7379012, 7379978, 7378508, 7379292, 7379292, 7379796]"
0,7,meta-llama/Llama-3.1-8B,2,11,811936856,889290985,77354129,5537007,13507953,7980772,"[7969502, 7984916, 7970482, 7984580, 7983950, 7984216, 7984370, 7984160]"
0,2,meta-llama/Llama-3.1-8B,16,85,479613521,1025502910,545889389,2112791,10155969,7878432,"[7948673, 7962589, 7948869, 7962981, 7963023, 7962505, 7962295, 7962659, 7963163, 7963093, 7352642, 7960409, 7358929, 8024614, 7367931, 7436568, 7428028, 7379012, 7379978, 7378508, 7379292, 7379292, 7379796, 7371792, 7976044, 7975848, 7975736, 7975400, 7976156, 7975806, 7962114, 7976030, 7962310, 7976422, 7976464, 7975946, 7975736, 7976100, 7976604, 7976534, 7976590, 7961792, 7971046, 7969502, 7984916, 7970482, 7984580, 7983950, 7984216, 7984370, 7984160, 7977752, 7979110, 8048135, 7985448, 7985630, 8027882, 8024620, 8025082, 8025124, 8025376, 8005790, 7990740, 8024816, 8006646, 8025616, 8027590, 8026568]"
0,5,meta-llama/Llama-3.1-8B,15,78,604829893,1105755401,500925508,2604072,10040540,7917499,"[7428028, 7379012, 7379978, 7378508, 7379292, 7379292, 7379796, 7371792, 7976044, 7975848, 7975736, 7975400, 7976156, 7975806, 7962114, 7976030, 7962310, 7976422, 7976464, 7975946, 7975736, 7976100, 7976604, 7976534, 7976590, 7961792, 7971046, 7969502, 7984916, 7970482, 7984580, 7983950, 7984216, 7984370, 7984160, 7977752, 7979110, 8048135, 7985448, 7985630, 8027882, 8024620, 8025082, 8025124, 8025376, 8005790, 7990740, 8024816, 8006646, 8025616, 8027590, 8026568, 8019530, 8041249, 8005876, 8025714, 8027324, 8026722, 8026540, 8026148, 8027366, 8026022]"
0,1,meta-llama/Llama-3.1-8B,22,126,347938952,1169859869,821920917,5090236,13139038,7852251,"[7352488, 7353104, 7352208, 7339832, 7352264, 7353230, 7351760, 7352544, 7352544, 7353048, 7352376, 7956772, 7956576, 7956464, 7956128, 7956884, 8043278, 7948673, 7962589, 7948869, 7962981, 7963023, 7962505, 7962295, 7962659, 7963163, 7963093, 7352642, 7960409, 7358929, 8024614, 7367931, 7436568, 7428028, 7379012, 7379978, 7378508, 7379292, 7379292, 7379796, 7371792, 7976044, 7975848, 7975736, 7975400, 7976156, 7975806, 7962114, 7976030, 7962310, 7976422, 7976464, 7975946, 7975736, 7976100, 7976604, 7976534, 7976590, 7961792, 7971046, 7969502, 7984916, 7970482, 7984580, 7983950, 7984216, 7984370, 7984160, 7977752, 7979110, 8048135, 7985448, 7985630, 8027882, 8024620, 8025082, 8025124, 8025376, 8005790, 7990740, 8024816, 8006646, 8025616, 8027590, 8026568, 8019530, 8041249, 8005876, 8025714, 8027324, 8026722, 8026540, 8026148, 8027366, 8026022, 7999944, 7983844, 8021322, 8021112, 8021098, 8018704, 8019390, 8019054]"
0,9,meta-llama/Llama-3.1-8B,5,31,1026970077,1241619339,214649262,6552463,14593612,8002226,"[8005876, 8025714, 8027324, 8026722, 8026540, 8026148, 8027366, 8026022, 7999944, 7983844, 8021322, 8021112, 8021098, 8018704, 8019390, 8019054, 7972795, 7972796, 7972431, 7972585, 7972586, 7973299, 7974657, 7974658, 7973663]"
0,6,meta-llama/Llama-3.1-8B,15,99,610813769,1281286836,670473067,4056664,11484692,7939618,"[7379012, 7379978, 7378508, 7379292, 7379292, 7379796, 7371792, 7976044, 7975848, 7975736, 7975400, 7976156, 7975806, 7962114, 7976030, 7962310, 7976422, 7976464, 7975946, 7975736, 7976100, 7976604, 7976534, 7976590, 7961792, 7971046, 7969502, 7984916, 7970482, 7984580, 7983950, 7984216, 7984370, 7984160, 7977752, 7979110, 8048135, 7985448, 7985630, 8027882, 8024620, 8025082, 8025124, 8025376, 8005790, 7990740, 8024816, 8006646, 8025616, 8027590, 8026568, 8019530, 8041249, 8005876, 8025714, 8027324, 8026722, 8026540, 8026148, 8027366, 8026022, 7999944, 7983844, 8021322, 8021112, 8021098, 8018704, 8019390, 8019054, 7972795, 7972796, 7972431, 7972585, 7972586, 7973299, 7974657, 7974658, 7973663, 7964857, 8007109, 8007110, 8004309, 7684112]"
0,4,meta-llama/Llama-3.1-8B,13,109,587870263,1350320580,762450317,4171157,12195671,7897417,"[7367931, 7436568, 7428028, 7379012, 7379978, 7378508, 7379292, 7379292, 7379796, 7371792, 7976044, 7975848, 7975736, 7975400, 7976156, 7975806, 7962114, 7976030, 7962310, 7976422, 7976464, 7975946, 7975736, 7976100, 7976604, 7976534, 7976590, 7961792, 7971046, 7969502, 7984916, 7970482, 7984580, 7983950, 7984216, 7984370, 7984160, 7977752, 7979110, 8048135, 7985448, 7985630, 8027882, 8024620, 8025082, 8025124, 8025376, 8005790, 7990740, 8024816, 8006646, 8025616, 8027590, 8026568, 8019530, 8041249, 8005876, 8025714, 8027324, 8026722, 8026540, 8026148, 8027366, 8026022, 7999944, 7983844, 8021322, 8021112, 8021098, 8018704, 8019390, 8019054, 7972795, 7972796, 7972431, 7972585, 7972586, 7973299, 7974657, 7974658, 7973663, 7964857, 8007109, 8007110, 8004309, 7684112, 7678566, 7657581, 7641456, 7677966, 7658481, 7678806, 7680921, 7679826, 7680141]"
0,8,meta-llama/Llama-3.1-8B,18,76,903845071,1365011134,461166063,1402876,9450911,7924827,"[7985448, 7985630, 8027882, 8024620, 8025082, 8025124, 8025376, 8005790, 7990740, 8024816, 8006646, 8025616, 8027590, 8026568, 8019530, 8041249, 8005876, 8025714, 8027324, 8026722, 8026540, 8026148, 8027366, 8026022, 7999944, 7983844, 8021322, 8021112, 8021098, 8018704, 8019390, 8019054, 7972795, 7972796, 7972431, 7972585, 7972586, 7973299, 7974657, 7974658, 7973663, 7964857, 8007109, 8007110, 8004309, 7684112, 7678566, 7657581, 7641456, 7677966, 7658481, 7678806, 7680921, 7679826, 7680141, 7345536, 7345018]"
