instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,7,meta-llama/Llama-3.1-8B,2,9,811936856,1851440853,1039503997,24499643,137272090,112778988,"[112790089, 112780838, 112776830, 112776830, 112776830, 112776830, 112776830, 112776830]"
0,3,meta-llama/Llama-3.1-8B,4,12,570907776,1964213908,1393306132,39945665,152758737,112777035,"[112769986, 112772447, 112790089, 112780838, 112776830, 112776830, 112776830, 112776830, 112776830, 112776830, 112773055]"
0,9,meta-llama/Llama-3.1-8B,5,26,1026970077,3994099918,2967129841,35028958,147809796,112772801,"[112776830, 112776830, 112776830, 112776830, 112776830, 112776830, 112773055, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445]"
0,8,meta-llama/Llama-3.1-8B,18,58,903845071,7489969484,6586124413,45363875,158153964,112771411,"[112780838, 112776830, 112776830, 112776830, 112776830, 112776830, 112776830, 112773055, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986]"
0,5,meta-llama/Llama-3.1-8B,15,63,604829893,7715508090,7110678197,6023548,118836620,112771638,"[112769986, 112772447, 112790089, 112780838, 112776830, 112776830, 112776830, 112776830, 112776830, 112776830, 112773055, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769303, 112769303]"
0,0,meta-llama/Llama-3.1-8B,10,70,46926808,7941040062,7894113254,0,112794889,112772729,"[112785871, 112785871, 112782057, 112777945, 112813072, 112769986, 112772447, 112790089, 112780838, 112776830, 112776830, 112776830, 112776830, 112776830, 112776830, 112773055, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769303, 112769303, 112765986, 112765986]"
0,2,meta-llama/Llama-3.1-8B,16,69,479613521,8279333316,7799719795,18461975,131239920,112771762,"[112813072, 112769986, 112772447, 112790089, 112780838, 112776830, 112776830, 112776830, 112776830, 112776830, 112776830, 112773055, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769303, 112769303, 112765986, 112765986, 112764418, 112764418, 112764418]"
0,6,meta-llama/Llama-3.1-8B,15,84,610813769,10083539956,9472726187,39672,112852744,112769559,"[112769986, 112772447, 112790089, 112780838, 112776830, 112776830, 112776830, 112776830, 112776830, 112776830, 112773055, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769303, 112769303, 112765986, 112765986, 112764418, 112764418, 112764418, 112762915, 112762915, 112762915, 112762915, 112762915, 112762915, 112762915, 112762915, 112762915, 112762915, 112762915, 112762915, 112762915, 112762915, 112762915, 112762915]"
0,4,meta-llama/Llama-3.1-8B,13,96,587870263,11436672136,10848801873,22983178,135796250,112768480,"[112769986, 112772447, 112790089, 112780838, 112776830, 112776830, 112776830, 112776830, 112776830, 112776830, 112773055, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769303, 112769303, 112765986, 112765986, 112764418, 112764418, 112764418, 112762915, 112762915, 112762915, 112762915, 112762915, 112762915, 112762915, 112762915, 112762915, 112762915, 112762915, 112762915, 112762915, 112762915, 112762915, 112762915, 112761015, 112761015, 112761015, 112761015, 112761015, 112761015, 112761015, 112761015, 112761015, 112761015, 112761015, 112761015]"
0,1,meta-llama/Llama-3.1-8B,22,104,347938952,12113387362,11765448410,37354487,150136544,112770018,"[112777945, 112813072, 112769986, 112772447, 112790089, 112780838, 112776830, 112776830, 112776830, 112776830, 112776830, 112776830, 112773055, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112771445, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769986, 112769303, 112769303, 112765986, 112765986, 112764418, 112764418, 112764418, 112762915, 112762915, 112762915, 112762915, 112762915, 112762915, 112762915, 112762915, 112762915, 112762915, 112762915, 112762915, 112762915, 112762915, 112762915, 112762915, 112761015, 112761015, 112761015, 112761015, 112761015, 112761015, 112761015, 112761015, 112761015, 112761015, 112761015, 112761015, 112785871, 112785871, 112785871, 112785871, 112785871, 112785871]"
