instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,0,meta-llama/Llama-3.1-8B,10,70,46926808,660077500,613150692,0,8947391,8756569,"[8662432, 8662432, 8662432, 8662432, 8662432, 8662432, 8662432, 8662688, 8662944, 8663200, 8663456, 8663712, 8663968, 8664224, 8664480, 8664736, 8664992, 8665248, 8665504, 8665760, 8666016, 8666272, 8666560, 8666624, 8666720, 8666784, 8666880, 8666976, 8667040, 8667136, 8667232, 8667296, 8667392, 8667488, 9784905, 8667648, 8667744, 8667808, 8667904, 8668000, 8668064, 8668160, 8668256, 8668320, 8668416, 8668512, 8668576, 8668672, 8668768, 9319599, 8803407, 8785193, 8785449, 8785705, 8785961, 8786729, 8787465, 8788201, 8788969, 8789705, 8867819, 8791209, 9167948, 9595489, 9447063, 8951700, 8808811, 8809195, 8809579]"
0,2,meta-llama/Llama-3.1-8B,16,69,479613521,1092256090,612642569,2008783,11328382,8842855,"[8803407, 8785193, 8785449, 8785705, 8785961, 8786729, 8787465, 8788201, 8788969, 8789705, 8867819, 8791209, 9167948, 9595489, 9447063, 8951700, 8808811, 8809195, 8809579, 8783542, 8783958, 8783990, 8783926, 8783350, 8783478, 8783734, 8783990, 8784246, 8784726, 8785462, 8786198, 8786934, 8787702, 8788438, 8789206, 8789942, 8790678, 8808651, 8785302, 8789270, 8789782, 8790230, 8790710, 8791190, 8791670, 8792150, 8792598, 9842326, 8787222, 8794550, 8795030, 8795510, 8796022, 8796470, 8796950, 8797430, 8797910, 8798390, 8798838, 8799382, 8800534, 8943724, 8869354, 8818475, 8819595, 8820779, 8821963, 8823083]"
0,9,meta-llama/Llama-3.1-8B,5,26,1026970077,1259865500,232895423,3369040,12312764,8823306,"[8869354, 8818475, 8819595, 8820779, 8821963, 8823083, 8797878, 8808278, 8809430, 8810614, 8811766, 8812950, 8814102, 8815286, 8816438, 8825878, 8827030, 8828182, 8829334, 8830486, 8831638, 8832790, 8834614, 8835766, 8836950]"
0,6,meta-llama/Llama-3.1-8B,15,84,610813769,1356956767,746142998,4437383,13884446,8822392,"[8951700, 8808811, 8809195, 8809579, 8783542, 8783958, 8783990, 8783926, 8783350, 8783478, 8783734, 8783990, 8784246, 8784726, 8785462, 8786198, 8786934, 8787702, 8788438, 8789206, 8789942, 8790678, 8808651, 8785302, 8789270, 8789782, 8790230, 8790710, 8791190, 8791670, 8792150, 8792598, 9842326, 8787222, 8794550, 8795030, 8795510, 8796022, 8796470, 8796950, 8797430, 8797910, 8798390, 8798838, 8799382, 8800534, 8943724, 8869354, 8818475, 8819595, 8820779, 8821963, 8823083, 8797878, 8808278, 8809430, 8810614, 8811766, 8812950, 8814102, 8815286, 8816438, 8825878, 8827030, 8828182, 8829334, 8830486, 8831638, 8832790, 8834614, 8835766, 8836950, 8853065, 8841129, 8817289, 8818441, 8819593, 8820745, 8821897, 8823049, 8824201, 8825353, 8826505]"
0,4,meta-llama/Llama-3.1-8B,13,96,587870263,1444267327,856397064,8617452,17785400,8827491,"[9595489, 9447063, 8951700, 8808811, 8809195, 8809579, 8783542, 8783958, 8783990, 8783926, 8783350, 8783478, 8783734, 8783990, 8784246, 8784726, 8785462, 8786198, 8786934, 8787702, 8788438, 8789206, 8789942, 8790678, 8808651, 8785302, 8789270, 8789782, 8790230, 8790710, 8791190, 8791670, 8792150, 8792598, 9842326, 8787222, 8794550, 8795030, 8795510, 8796022, 8796470, 8796950, 8797430, 8797910, 8798390, 8798838, 8799382, 8800534, 8943724, 8869354, 8818475, 8819595, 8820779, 8821963, 8823083, 8797878, 8808278, 8809430, 8810614, 8811766, 8812950, 8814102, 8815286, 8816438, 8825878, 8827030, 8828182, 8829334, 8830486, 8831638, 8832790, 8834614, 8835766, 8836950, 8853065, 8841129, 8817289, 8818441, 8819593, 8820745, 8821897, 8823049, 8824201, 8825353, 8826505, 8723840, 8725440, 8727040, 8728640, 8730240, 8731872, 8733472, 8735072, 8736672, 8738272]"
1,3,meta-llama/Llama-3.1-8B,4,12,570907776,686429534,115521758,7784399,16648302,8988496,"[8923413, 9295608, 9331451, 9734938, 8801387, 8808395, 8808747, 8809195, 8792342, 8784022, 8783958]"
1,7,meta-llama/Llama-3.1-8B,2,9,811936856,897355715,85418859,6290448,15075898,8792870,"[8805975, 8789590, 8790038, 8790518, 8790998, 8791478, 8791958, 8792406]"
1,5,meta-llama/Llama-3.1-8B,15,63,604829893,1162760842,557930949,945206,10276657,8833133,"[9734938, 8801387, 8808395, 8808747, 8809195, 8792342, 8784022, 8783958, 8783254, 8783638, 8783766, 8784022, 8784278, 8784534, 8785270, 8786006, 8786742, 8787510, 8788246, 8789014, 8789750, 8790486, 8791254, 8785450, 8805975, 8789590, 8790038, 8790518, 8790998, 8791478, 8791958, 8792406, 8799126, 9753227, 8870945, 8794614, 8795094, 8795574, 8796054, 8796534, 8797014, 8797462, 8797974, 8798422, 8798934, 8799382, 8799862, 8994315, 8818027, 8819179, 8820331, 8821515, 8822667, 8823851, 8807798, 8808950, 8810134, 8811286, 8812470, 8813622, 8814806, 8815958]"
1,1,meta-llama/Llama-3.1-8B,22,104,347938952,1268743557,920804605,2538543,12320722,8820231,"[8671750, 8667904, 8668000, 8668064, 8668160, 8668256, 8668320, 8668416, 8668512, 8668576, 8668704, 8668576, 8668672, 8668736, 9340053, 8652425, 8785001, 8785289, 8785545, 8785769, 8786057, 8786825, 8787529, 8788297, 8789065, 8863903, 8923413, 9295608, 9331451, 9734938, 8801387, 8808395, 8808747, 8809195, 8792342, 8784022, 8783958, 8783254, 8783638, 8783766, 8784022, 8784278, 8784534, 8785270, 8786006, 8786742, 8787510, 8788246, 8789014, 8789750, 8790486, 8791254, 8785450, 8805975, 8789590, 8790038, 8790518, 8790998, 8791478, 8791958, 8792406, 8799126, 9753227, 8870945, 8794614, 8795094, 8795574, 8796054, 8796534, 8797014, 8797462, 8797974, 8798422, 8798934, 8799382, 8799862, 8994315, 8818027, 8819179, 8820331, 8821515, 8822667, 8823851, 8807798, 8808950, 8810134, 8811286, 8812470, 8813622, 8814806, 8815958, 8825398, 8826550, 8827702, 8828854, 8830006, 8831158, 8832310, 8833462, 8834614, 8835766, 8836918, 8839977]"
1,8,meta-llama/Llama-3.1-8B,18,58,903845071,1418009151,514164080,2309770,12062997,8808790,"[8870945, 8794614, 8795094, 8795574, 8796054, 8796534, 8797014, 8797462, 8797974, 8798422, 8798934, 8799382, 8799862, 8994315, 8818027, 8819179, 8820331, 8821515, 8822667, 8823851, 8807798, 8808950, 8810134, 8811286, 8812470, 8813622, 8814806, 8815958, 8825398, 8826550, 8827702, 8828854, 8830006, 8831158, 8832310, 8833462, 8834614, 8835766, 8836918, 8839977, 8654217, 8816201, 8817385, 8818537, 8819657, 8820841, 8821993, 8824649, 8825801, 8826953, 8842656, 8725440, 8727040, 8728672, 8730240, 8731840, 8733472]"
