instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,0,Qwen/Qwen3-30B-A3B-Instruct-2507,10,70,46926808,667189627,620262819,0,11299632,8825553,"[6090359, 6084278, 6084278, 6084278, 6084278, 6084278, 6084278, 6084326, 6084374, 6084422, 6084518, 6084566, 6084614, 6084662, 6084758, 6084806, 6084854, 6084902, 6084998, 6085046, 6085094, 6085142, 6085238, 6085334, 6085478, 6085574, 6085718, 6085862, 6085958, 6086102, 6086246, 6086342, 6086486, 6086630, 6086726, 6086870, 6087014, 6087110, 6087254, 6087398, 6087494, 6087638, 6087782, 6087878, 6088022, 6088166, 6088262, 6088406, 27213437, 12173308, 12173548, 12173740, 12173884, 12174076, 12174316, 12176812, 12179356, 21177060, 12931216, 12932704, 12934240, 12935728, 12937264, 12938848, 14453556, 21341419, 30183002, 13730236, 13731340]"
0,2,Qwen/Qwen3-30B-A3B-Instruct-2507,16,69,479613521,1460220376,980606855,1433771,16526553,14177651,"[12931216, 12932704, 12934240, 12935728, 12937264, 12938848, 14453556, 21341419, 30183002, 13730236, 13731340, 13692076, 13692316, 13692652, 13692892, 13693180, 13693468, 13693708, 13686256, 13686400, 13686544, 13686784, 13683740, 13694044, 13694236, 13694524, 13694668, 13694908, 21994924, 13717516, 13717708, 13710544, 13710736, 13712176, 13713616, 13715152, 13716592, 16348641, 13722028, 13722748, 13723420, 13724140, 13724860, 13725532, 13726252, 13726972, 13727644, 13728364, 13729084, 13730284, 13731532, 13732780, 13734028, 13735276, 13736524, 13737724, 13738972, 13740220, 13741468, 13742716, 13743964, 13746220, 13748476, 13773232, 13776544, 13779904, 13783264, 13786576]"
0,8,Qwen/Qwen3-30B-A3B-Instruct-2507,18,58,903845071,1697698588,793853517,2924348,18091876,13609853,"[13717516, 13717708, 13710544, 13710736, 13712176, 13713616, 13715152, 13716592, 16348641, 13722028, 13722748, 13723420, 13724140, 13724860, 13725532, 13726252, 13726972, 13727644, 13728364, 13729084, 13730284, 13731532, 13732780, 13734028, 13735276, 13736524, 13737724, 13738972, 13740220, 13741468, 13742716, 13743964, 13746220, 13748476, 13773232, 13776544, 13779904, 13783264, 13786576, 13757296, 13760704, 13764064, 13050604, 13054780, 13058956, 13063084, 13067260, 13071436, 13075564, 13079740, 13083916, 13088044, 13092220, 13096396, 13100572, 13104700, 13108876]"
0,6,Qwen/Qwen3-30B-A3B-Instruct-2507,15,84,610813769,1776426220,1165612451,13820242,28914282,13695158,"[13730236, 13731340, 13692076, 13692316, 13692652, 13692892, 13693180, 13693468, 13693708, 13686256, 13686400, 13686544, 13686784, 13683740, 13694044, 13694236, 13694524, 13694668, 13694908, 21994924, 13717516, 13717708, 13710544, 13710736, 13712176, 13713616, 13715152, 13716592, 16348641, 13722028, 13722748, 13723420, 13724140, 13724860, 13725532, 13726252, 13726972, 13727644, 13728364, 13729084, 13730284, 13731532, 13732780, 13734028, 13735276, 13736524, 13737724, 13738972, 13740220, 13741468, 13742716, 13743964, 13746220, 13748476, 13773232, 13776544, 13779904, 13783264, 13786576, 13757296, 13760704, 13764064, 13050604, 13054780, 13058956, 13063084, 13067260, 13071436, 13075564, 13079740, 13083916, 13088044, 13092220, 13096396, 13100572, 13104700, 13108876, 13110784, 13114960, 13119184, 13123408, 13127536, 13131760]"
0,4,Qwen/Qwen3-30B-A3B-Instruct-2507,13,96,587870263,1850687236,1262816973,7151786,21674786,13064654,"[30183002, 13730236, 13731340, 13692076, 13692316, 13692652, 13692892, 13693180, 13693468, 13693708, 13686256, 13686400, 13686544, 13686784, 13683740, 13694044, 13694236, 13694524, 13694668, 13694908, 21994924, 13717516, 13717708, 13710544, 13710736, 13712176, 13713616, 13715152, 13716592, 16348641, 13722028, 13722748, 13723420, 13724140, 13724860, 13725532, 13726252, 13726972, 13727644, 13728364, 13729084, 13730284, 13731532, 13732780, 13734028, 13735276, 13736524, 13737724, 13738972, 13740220, 13741468, 13742716, 13743964, 13746220, 13748476, 13773232, 13776544, 13779904, 13783264, 13786576, 13757296, 13760704, 13764064, 13050604, 13054780, 13058956, 13063084, 13067260, 13071436, 13075564, 13079740, 13083916, 13088044, 13092220, 13096396, 13100572, 13104700, 13108876, 13110784, 13114960, 13119184, 13123408, 13127536, 13131760, 12409996, 6173894, 6176390, 6178886, 6181382, 6183878, 6186326, 6188822, 6191318, 6193814, 6196310]"
1,3,Qwen/Qwen3-30B-A3B-Instruct-2507,4,12,570907776,756193497,185285721,2822179,10441524,15894927,"[13692868, 29604955, 21927302, 13730332, 13731484, 13692172, 13692460, 13692700, 13693036, 13693276, 13693612]"
1,7,Qwen/Qwen3-30B-A3B-Instruct-2507,2,9,811936856,942502181,130565325,5828869,12685789,14734942,"[13693900, 13694188, 13694428, 13694620, 13694812, 13695004, 21994972, 13717612]"
1,9,Qwen/Qwen3-30B-A3B-Instruct-2507,5,26,1026970077,1384438770,357468693,4660672,14159033,13732386,"[13721932, 13722652, 13723372, 13724044, 13724764, 13725484, 13726156, 13726876, 13727596, 13728268, 13728988, 13729708, 13730908, 13732156, 13733404, 13734652, 13735900, 13737148, 13738348, 13739596, 13740844, 13742092, 13743340, 13744588, 13746844]"
1,5,Qwen/Qwen3-30B-A3B-Instruct-2507,15,63,604829893,1494639842,889809949,4699634,19817230,14032140,"[21927302, 13730332, 13731484, 13692172, 13692460, 13692700, 13693036, 13693276, 13693612, 13686112, 13686304, 13686448, 13686640, 13683644, 13693900, 13694188, 13694428, 13694620, 13694812, 13695004, 21994972, 13717612, 13710496, 13710640, 13712080, 13713568, 13715056, 13716496, 16348593, 13721932, 13722652, 13723372, 13724044, 13724764, 13725484, 13726156, 13726876, 13727596, 13728268, 13728988, 13729708, 13730908, 13732156, 13733404, 13734652, 13735900, 13737148, 13738348, 13739596, 13740844, 13742092, 13743340, 13744588, 13746844, 13771600, 13774912, 13778272, 13781632, 13784944, 13788304, 13759024, 13762384]"
1,1,Qwen/Qwen3-30B-A3B-Instruct-2507,22,104,347938952,1782664818,1434725866,2407457,17440860,13760048,"[6095612, 12173212, 12173404, 12173596, 12173788, 12173932, 12174172, 12174364, 12176860, 12179404, 21177156, 12931312, 12932848, 12934336, 12935872, 12937408, 14452212, 13692868, 29604955, 21927302, 13730332, 13731484, 13692172, 13692460, 13692700, 13693036, 13693276, 13693612, 13686112, 13686304, 13686448, 13686640, 13683644, 13693900, 13694188, 13694428, 13694620, 13694812, 13695004, 21994972, 13717612, 13710496, 13710640, 13712080, 13713568, 13715056, 13716496, 16348593, 13721932, 13722652, 13723372, 13724044, 13724764, 13725484, 13726156, 13726876, 13727596, 13728268, 13728988, 13729708, 13730908, 13732156, 13733404, 13734652, 13735900, 13737148, 13738348, 13739596, 13740844, 13742092, 13743340, 13744588, 13746844, 13771600, 13774912, 13778272, 13781632, 13784944, 13788304, 13759024, 13762384, 13048924, 13053100, 13057276, 13061452, 13065580, 13069756, 13073884, 13078060, 13082236, 13086412, 13090540, 13094716, 13098892, 13103020, 13107196, 13111372, 13113280, 13117456, 13121680, 13125856, 13130032, 13134256]"
