instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,0,meta-llama/Llama-3.1-8B,10,70,46926808,828292283,781365475,0,11008270,11164597,"[11147819, 11147819, 11147819, 11147819, 11147819, 11147819, 11147819, 11148011, 11148235, 11148459, 11148651, 11148875, 11149099, 11149291, 11149515, 11149739, 11149931, 11150155, 11150379, 11150571, 11150795, 11151019, 11151243, 11151211, 11151179, 11151147, 11151147, 11151115, 11151083, 11151083, 11151051, 11151019, 11151019, 11150987, 11150955, 11150955, 11150923, 11150891, 11150891, 11150859, 11150827, 11150795, 11150795, 11150763, 11150731, 11150731, 11150699, 11150667, 11019701, 11204348, 11204508, 11204668, 11204828, 11204988, 11205148, 11205468, 11205820, 11206140, 11206460, 11206812, 11207132, 11207452, 11207804, 11208124, 11208444, 11208796, 11209116, 11209436, 11209788]"
0,8,meta-llama/Llama-3.1-8B,18,58,903845071,1556974602,653129531,2505177,13995103,11212884,"[11202652, 11202908, 11203196, 11203452, 11203580, 11203740, 11203900, 11204060, 11204220, 11204380, 11204540, 11204700, 11204860, 11205020, 11205180, 11205340, 11205500, 11205660, 11205820, 11205980, 11206140, 11206300, 11206460, 11206620, 11206972, 11207292, 11207612, 11207964, 11208284, 11208604, 11208956, 11209276, 11209596, 11209948, 11210268, 11210620, 11211868, 11213148, 11214396, 11215676, 11216924, 11218204, 11219452, 11220732, 11221980, 11223260, 11224508, 11225788, 11227036, 11228316, 11229564, 11230844, 11232092, 11233372, 11234620, 11235900, 11237148]"
0,4,meta-llama/Llama-3.1-8B,13,96,587870263,1669153368,1081283105,5267039,16286740,11210488,"[11204348, 11204508, 11204668, 11204828, 11204988, 11205148, 11205468, 11205820, 11206140, 11206460, 11206812, 11207132, 11207452, 11207804, 11208124, 11208444, 11208796, 11209116, 11209436, 11209788, 11151211, 11151179, 11151147, 11151147, 11151115, 11151083, 11151083, 11489926, 11202652, 11202908, 11203196, 11203452, 11203580, 11203740, 11203900, 11204060, 11204220, 11204380, 11204540, 11204700, 11204860, 11205020, 11205180, 11205340, 11205500, 11205660, 11205820, 11205980, 11206140, 11206300, 11206460, 11206620, 11206972, 11207292, 11207612, 11207964, 11208284, 11208604, 11208956, 11209276, 11209596, 11209948, 11210268, 11210620, 11211868, 11213148, 11214396, 11215676, 11216924, 11218204, 11219452, 11220732, 11221980, 11223260, 11224508, 11225788, 11227036, 11228316, 11229564, 11230844, 11232092, 11233372, 11234620, 11235900, 11237148, 11209995, 11211755, 11213515, 11215243, 11217003, 11218763, 11220491, 11222251, 11224011, 11225739]"
1,5,meta-llama/Llama-3.1-8B,15,63,604829893,1311420229,706590336,89999,11183288,11216242,"[11203004, 11203260, 11203516, 11203676, 11203836, 11203996, 11204156, 11204316, 11204476, 11204636, 11204796, 11204956, 11205116, 11205276, 11205436, 11205596, 11205756, 11205916, 11206076, 11206236, 11206556, 11206876, 11207228, 11207548, 11207868, 11208220, 11208540, 11208892, 11209212, 11209532, 11209884, 11210204, 11210524, 11210876, 11211196, 11212444, 11213724, 11214972, 11216252, 11217500, 11218780, 11220028, 11221308, 11222556, 11223836, 11225084, 11226364, 11227612, 11228892, 11230140, 11231420, 11232668, 11233948, 11235196, 11236476, 11237724, 11239004, 11240252, 11241532, 11242780, 11244060, 11245308]"
1,1,meta-llama/Llama-3.1-8B,22,104,347938952,1513751371,1165812419,118490,11667162,11205293,"[11149099, 11149291, 11149515, 11149739, 11149931, 11150155, 11150379, 11150571, 11150795, 11151019, 11151243, 11151211, 11151179, 11151147, 11151147, 11151115, 11151083, 11151083, 11151051, 11151019, 11151019, 11150987, 11093289, 11203004, 11203260, 11203516, 11203676, 11203836, 11203996, 11204156, 11204316, 11204476, 11204636, 11204796, 11204956, 11205116, 11205276, 11205436, 11205596, 11205756, 11205916, 11206076, 11206236, 11206556, 11206876, 11207228, 11207548, 11207868, 11208220, 11208540, 11208892, 11209212, 11209532, 11209884, 11210204, 11210524, 11210876, 11211196, 11212444, 11213724, 11214972, 11216252, 11217500, 11218780, 11220028, 11221308, 11222556, 11223836, 11225084, 11226364, 11227612, 11228892, 11230140, 11231420, 11232668, 11233948, 11235196, 11236476, 11237724, 11239004, 11240252, 11241532, 11242780, 11244060, 11245308, 11225739, 11227499, 11229259, 11230987, 11232747, 11234507, 11236235, 11237995, 11239755, 11241483, 11243243, 11245003, 11246731, 11248491, 11250251, 11251979, 11253739, 11255499]"
2,2,meta-llama/Llama-3.1-8B,16,69,479613521,1252088232,772474711,458,11112981,11196496,"[11147819, 11148011, 11148235, 11148459, 11148651, 11148875, 11149099, 11149291, 11149515, 11149739, 11149931, 11092873, 11200380, 11200668, 11200924, 11201212, 11201500, 11201756, 11202012, 11202300, 11202524, 11202812, 11203068, 11203324, 11203452, 11203612, 11203772, 11203932, 11204092, 11204252, 11204412, 11204572, 11204732, 11204892, 11205052, 11205212, 11205372, 11205532, 11205692, 11205852, 11206012, 11206172, 11206332, 11206492, 11206652, 11206812, 11206972, 11207132, 11207292, 11207644, 11207964, 11208284, 11208636, 11208956, 11209308, 11209628, 11210876, 11212156, 11213404, 11214684, 11215932, 11217212, 11218460, 11219740, 11220988, 11222268, 11223516, 11224796]"
2,6,meta-llama/Llama-3.1-8B,15,84,610813769,1554097137,943283368,2550358,13643231,11200483,"[11200380, 11200668, 11200924, 11201212, 11201500, 11201756, 11202012, 11202300, 11202524, 11202812, 11203068, 11203324, 11203452, 11203612, 11203772, 11203932, 11204092, 11204252, 11204412, 11204572, 11204732, 11204892, 11205052, 11205212, 11205372, 11205532, 11205692, 11205852, 11206012, 11206172, 11206332, 11206492, 11206652, 11206812, 11206972, 11207132, 11207292, 11207644, 11207964, 11208284, 11208636, 11208956, 11209308, 11209628, 11210876, 11212156, 11213404, 11214684, 11215932, 11217212, 11218460, 11219740, 11220988, 11222268, 11223516, 11224796, 11162763, 11164523, 11166283, 11168011, 11169771, 11171531, 11173259, 11175019, 11176779, 11178507, 11180267, 11182027, 11183755, 11185515, 11187275, 11189003, 11190763, 11192523, 11194251, 11196011, 11197771, 11199499, 11201259, 11203019, 11204747, 11206507, 11208267]"
3,3,meta-llama/Llama-3.1-8B,4,12,570907776,704483243,133575467,6368,10949458,11147819,"[11147819, 11147819, 11147819, 11147819, 11147819, 11147819, 11147819, 11147819, 11147819, 11147819, 11147819]"
3,7,meta-llama/Llama-3.1-8B,2,9,811936856,912214059,100277203,7261,11094651,11147819,"[11147819, 11147819, 11147819, 11147819, 11147819, 11147819, 11147819, 11147819]"
3,9,meta-llama/Llama-3.1-8B,5,26,1026970077,1316662876,289692799,27909,10978060,11148589,"[11147819, 11147819, 11147819, 11147819, 11147819, 11147819, 11147819, 11147819, 11147819, 11147819, 11147819, 11147819, 11148011, 11148235, 11148459, 11148651, 11148875, 11149099, 11149291, 11149515, 11149739, 11149931, 11150155, 11150379, 11150571]"
