instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,0,Qwen/Qwen3-30B-A3B-Instruct-2507,10,70,46926808,552228457,505301649,0,17629974,7067705,"[6396724, 6396724, 6396724, 6396724, 6396724, 6396724, 6396724, 6396820, 6396916, 6397012, 6397108, 6397204, 6397300, 6397396, 6397492, 6397588, 6397684, 6397780, 6397876, 6397972, 6398068, 6398164, 6398260, 6398356, 6398500, 6398644, 6398788, 6398932, 6399076, 6399220, 6399364, 6399508, 6399652, 6399796, 6399940, 6400084, 6400228, 6400372, 6400516, 6400660, 6400804, 6400948, 6401092, 6401236, 6401380, 24929617, 6808228, 6808300, 6808372, 6808444, 6808516, 6808588, 6808660, 6808732, 6808804, 6810028, 6811252, 6812476, 6813700, 6814924, 6816172, 6817396, 24896446, 6819844, 6821116, 6822388, 6823684, 6824956, 6826228]"
0,2,Qwen/Qwen3-30B-A3B-Instruct-2507,16,69,479613521,1154611824,674998303,3365756,28260978,9510843,"[6818620, 6819892, 6821164, 6822436, 6823732, 6825004, 6826276, 9789815, 6806140, 10760683, 6806236, 22476654, 24888218, 9053863, 9053863, 9053911, 9053911, 9053911, 9054007, 9054007, 9054055, 9054151, 9054151, 9054199, 9054247, 9054295, 9054343, 9054439, 9054583, 9054727, 9054871, 9055015, 9055111, 9350994, 9055399, 9055543, 9055687, 9055831, 9055927, 9056071, 9056215, 9056359, 9056503, 24979758, 9056743, 9056887, 9057031, 9057175, 9057319, 9057799, 9058279, 9058759, 9059239, 9059719, 9060199, 12072331, 9061159, 9061639, 9062119, 9063847, 9065527, 9067255, 9068983, 9070663, 9072391, 9074119, 9075799, 9077527]"
0,9,Qwen/Qwen3-30B-A3B-Instruct-2507,5,26,1026970077,1248782371,221812294,2014955,14087022,8309010,"[8474236, 9061519, 9062023, 9062935, 9064687, 9066367, 9068071, 9069823, 9071503, 9073207, 9074959, 9076639, 9078343, 7525928, 7527608, 7529240, 7530920, 7532600, 7534232, 7535912, 7537592, 7539224, 7540904, 7542584, 7544216]"
0,6,Qwen/Qwen3-30B-A3B-Instruct-2507,15,84,610813769,1362288969,751475200,1457382,26345600,8736501,"[9053863, 9053863, 9053911, 9053911, 9053911, 9054007, 9054007, 9054055, 9054151, 9054151, 9054199, 9054247, 9054295, 9054343, 9054439, 9054583, 9054727, 9054871, 9055015, 9055111, 9350994, 9055399, 9055543, 9055687, 9055831, 9055927, 9056071, 9056215, 9056359, 9056503, 24979758, 9056743, 9056887, 9057031, 9057175, 9057319, 9057799, 9058279, 9058759, 9059239, 9059719, 9060199, 12072331, 9061159, 9061639, 9062119, 9063847, 9065527, 9067255, 9068983, 9070663, 9072391, 9074119, 9075799, 9077527, 7525073, 7526768, 7528424, 7530080, 7531760, 7533416, 7535072, 7536752, 7538408, 7540064, 7541744, 7543400, 7545056, 7546736, 7548392, 7550048, 7551728, 7553384, 7193340, 7194180, 7194996, 7195836, 7196676, 7197492, 7198332, 7199172, 7199988, 7200828]"
0,4,Qwen/Qwen3-30B-A3B-Instruct-2507,13,96,587870263,1435561517,847691254,1924234,24400888,8666214,"[24888218, 9053863, 9053863, 9053911, 9053911, 9053911, 9054007, 9054007, 9054055, 9054151, 9054151, 9054199, 9054247, 9054295, 9054343, 9054439, 9054583, 9054727, 9054871, 9055015, 9055111, 9350994, 9055399, 9055543, 9055687, 9055831, 9055927, 9056071, 9056215, 9056359, 9056503, 24979758, 9056743, 9056887, 9057031, 9057175, 9057319, 9057799, 9058279, 9058759, 9059239, 9059719, 9060199, 12072331, 9061159, 9061639, 9062119, 9063847, 9065527, 9067255, 9068983, 9070663, 9072391, 9074119, 9075799, 9077527, 7525073, 7526768, 7528424, 7530080, 7531760, 7533416, 7535072, 7536752, 7538408, 7540064, 7541744, 7543400, 7545056, 7546736, 7548392, 7550048, 7551728, 7553384, 7193340, 7194180, 7194996, 7195836, 7196676, 7197492, 7198332, 7199172, 7199988, 7200828, 6849316, 6850540, 6851788, 6853012, 6854236, 6496132, 6498580, 6501028, 6503524, 6505972, 6508420]"
1,3,Qwen/Qwen3-30B-A3B-Instruct-2507,4,12,570907776,709586865,138679089,1324410,12084937,11508559,"[6807724, 22484676, 24862256, 9061927, 9053863, 9053863, 9053911, 9053959, 9053911, 9054007, 9054055]"
1,7,Qwen/Qwen3-30B-A3B-Instruct-2507,2,9,811936856,894741809,82804953,1557031,10919099,8985731,"[8492613, 9055759, 9055927, 9056047, 9056191, 9056287, 9056455, 9056575]"
1,5,Qwen/Qwen3-30B-A3B-Instruct-2507,15,63,604829893,1207302179,602472286,7455220,32317476,9196045,"[9061927, 9053863, 9053863, 9053911, 9053959, 9053911, 9054007, 9054055, 9037930, 9054151, 9054199, 9054247, 9054295, 9054343, 9054439, 9054583, 9054727, 9054871, 9055015, 9055111, 9350994, 9055399, 9055543, 9055687, 9055831, 9055927, 9056071, 9056215, 9056359, 9056503, 24979758, 9056743, 9056887, 9057031, 9057175, 9057319, 9057799, 9058279, 9058759, 9059239, 9059719, 9060199, 12072331, 9061159, 9061639, 9062119, 9063847, 9065527, 9067255, 9068983, 9070663, 9072391, 9074119, 9075799, 9077527, 7525088, 7526768, 7528424, 7530080, 7531760, 7533416, 7535072]"
1,1,Qwen/Qwen3-30B-A3B-Instruct-2507,22,104,347938952,1286548745,938609793,1145100,26079255,8859519,"[6806044, 6806092, 6806140, 6806188, 6806236, 6806284, 6806332, 6806380, 6806428, 6806995, 6810076, 6811300, 6812548, 6813772, 6814996, 6816244, 24909394, 6807004, 6817504, 6821188, 6822460, 6823756, 6825028, 6826300, 6408832, 6807580, 6807652, 10760599, 6807796, 22484748, 24862328, 9061999, 9053935, 9053935, 9053983, 9054031, 9053983, 9054079, 9054127, 9038018, 9054220, 9054268, 9054316, 9055512, 9055567, 9055663, 9055807, 9055951, 9056119, 9056239, 10271772, 8492613, 9055759, 9055927, 9056047, 9056191, 9056287, 9056455, 9056575, 8707775, 25904961, 8481132, 9057103, 9057271, 9057391, 9057535, 9057703, 9058159, 9058639, 9059119, 9059623, 9060079, 12660235, 8473039, 9061519, 9062023, 9062935, 9064687, 9066367, 9068071, 9069823, 9071503, 9073207, 9074959, 9076639, 9078343, 7525928, 7527608, 7529240, 7530920, 7532600, 7534232, 7535912, 7537592, 7539224, 7540904, 7542584, 7544216, 7545896, 7547576, 7549208, 7550888, 7552568]"
1,8,Qwen/Qwen3-30B-A3B-Instruct-2507,18,58,903845071,1393091696,489246625,502649,25509474,8135739,"[8481132, 9057103, 9057271, 9057391, 9057535, 9057703, 9058159, 9058639, 9059119, 9059623, 9060079, 12660235, 8473039, 9061519, 9062023, 9062935, 9064687, 9066367, 9068071, 9069823, 9071503, 9073207, 9074959, 9076639, 9078343, 7525928, 7527608, 7529240, 7530920, 7532600, 7534232, 7535912, 7537592, 7539224, 7540904, 7542584, 7544216, 7545896, 7547576, 7549208, 7550888, 7552568, 7154788, 7193409, 7194251, 7195068, 7195908, 7197900, 7198716, 7199556, 7200396, 7201212, 7202076, 6850659, 6851764, 6853012, 6854236]"
