instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,0,Qwen/Qwen3-30B-A3B-Instruct-2507,10,70,46926808,812764163,765837355,0,15258784,10877950,"[9884900, 9884900, 9884900, 9884900, 9884900, 9884900, 9884900, 9884948, 9884996, 9885044, 9885140, 9885188, 9885236, 9885284, 9885380, 9885428, 9885476, 9885524, 9885620, 9885668, 9885716, 9885764, 9885860, 9885956, 9886100, 9886196, 9886340, 9886484, 9886580, 23369937, 10091086, 10091134, 10091206, 10091278, 10091326, 10091398, 10091470, 10091518, 10091590, 10091662, 10091710, 19197747, 10655526, 10655622, 10655670, 10655718, 10655814, 10655862, 10655910, 11457001, 18558985, 18731742, 14856479, 10830188, 10830260, 10830644, 10831004, 10831364, 10831700, 10832084, 10832420, 10683233, 10683857, 10684481, 10685057, 10685729, 10686353, 10686977, 10687601]"
0,2,Qwen/Qwen3-30B-A3B-Instruct-2507,16,69,479613521,1264198110,784584589,3625614,22823361,11202371,"[10655526, 10655622, 10655670, 10655718, 10655814, 10655862, 10655910, 11457001, 18558985, 18731742, 14856479, 10830188, 10830260, 10830644, 10831004, 10831364, 10831700, 10832084, 10832420, 10683233, 10683857, 10684481, 10685057, 10685729, 10686353, 10686977, 10687601, 10674593, 10655190, 10655238, 10655286, 10655382, 10655430, 10655478, 10655574, 10655622, 19306748, 10678625, 10678673, 10678769, 10678817, 10678913, 10678961, 10679057, 10679105, 10679201, 10679249, 12352284, 10843628, 10844660, 10845644, 10846700, 10847660, 10848692, 10849700, 10850708, 10851716, 10852748, 10853708, 10854764, 10855748, 10856780, 10857764, 10858796, 10859780, 10861316, 10862852, 10864388]"
0,6,Qwen/Qwen3-30B-A3B-Instruct-2507,15,84,610813769,1537381092,926567323,5471599,24375369,10869782,"[10830946, 10830236, 10830308, 10830692, 10831052, 10831412, 10831748, 10832108, 10488478, 10683281, 10683881, 10684505, 10685081, 10685777, 10686377, 10687001, 10687625, 10674641, 10655238, 10655310, 10655334, 10655454, 10655502, 10655526, 10655646, 10655694, 19306796, 10678697, 10678745, 10678817, 10678889, 10678985, 10679009, 10679129, 10679177, 10679249, 12543271, 10843604, 10844324, 10845356, 10846364, 10847372, 10848356, 10849412, 10850372, 10851428, 10852412, 10853420, 10854428, 10855460, 10856444, 10857476, 10858460, 10859492, 10860476, 10862012, 10863548, 10865084, 10852206, 10853742, 10855302, 10856862, 10502013, 10676070, 10677798, 10679526, 10681206, 10682934, 10684662, 10686318, 10688070, 10689798, 10691478, 10693206, 10694934, 10696590, 10698342, 10700070, 10701750, 10703478, 10705206, 10706886, 10708590]"
0,8,Qwen/Qwen3-30B-A3B-Instruct-2507,18,58,903845071,1543001575,639156504,4836885,24143633,10789699,"[10678625, 10678673, 10678769, 10678817, 10678913, 10678961, 10679057, 10679105, 10679201, 10679249, 12352284, 10843628, 10844660, 10845644, 10846700, 10847660, 10848692, 10849700, 10850708, 10851716, 10852748, 10853708, 10854764, 10855748, 10856780, 10857764, 10858796, 10859780, 10861316, 10862852, 10864388, 10851451, 10852902, 10854438, 10855998, 10857558, 10674822, 10676550, 10678278, 10679958, 10681686, 10683414, 10685094, 10686822, 10688550, 10690230, 10691958, 10693686, 10695366, 10697094, 10698822, 10700502, 10702230, 10703958, 10705638, 10707366, 10709094]"
0,4,Qwen/Qwen3-30B-A3B-Instruct-2507,13,96,587870263,1642858815,1054988552,613742,19172727,10903324,"[18731742, 14856479, 10830188, 10830260, 10830644, 10831004, 10831364, 10831700, 10832084, 10832420, 10683233, 10683857, 10684481, 10685057, 10685729, 10686353, 10686977, 10687601, 10674593, 10655190, 10655238, 10655286, 10655382, 10655430, 10655478, 10655574, 10655622, 19306748, 10678625, 10678673, 10678769, 10678817, 10678913, 10678961, 10679057, 10679105, 10679201, 10679249, 12352284, 10843628, 10844660, 10845644, 10846700, 10847660, 10848692, 10849700, 10850708, 10851716, 10852748, 10853708, 10854764, 10855748, 10856780, 10857764, 10858796, 10859780, 10861316, 10862852, 10864388, 10851451, 10852902, 10854438, 10855998, 10857558, 10674822, 10676550, 10678278, 10679958, 10681686, 10683414, 10685094, 10686822, 10688550, 10690230, 10691958, 10693686, 10695366, 10697094, 10698822, 10700502, 10702230, 10703958, 10705638, 10707366, 10709094, 9974516, 9977012, 9979508, 9982004, 9984500, 9986948, 9989444, 9991940, 9994436, 9996932]"
1,3,Qwen/Qwen3-30B-A3B-Instruct-2507,4,12,570907776,721857759,150949983,649197,12130525,12619950,"[10854611, 18563630, 22758230, 10825431, 10830236, 10830308, 10830692, 10831052, 10831412, 10831748, 10832108]"
1,7,Qwen/Qwen3-30B-A3B-Instruct-2507,2,9,811936856,908680900,96744044,807129,11480878,10657895,"[10674916, 10655286, 10655334, 10655382, 10655478, 10655526, 10655574, 10655670]"
1,5,Qwen/Qwen3-30B-A3B-Instruct-2507,15,63,604829893,1307592780,702762887,2197575,20919205,10997478,"[14861935, 10830188, 10830260, 10830644, 10831004, 10831364, 10831700, 10832084, 10832420, 10683233, 10683857, 10684481, 10685057, 10685729, 10686353, 10686977, 10687601, 10673749, 10674916, 10655286, 10655334, 10655382, 10655478, 10655526, 10655574, 10655670, 19297802, 10668449, 10678673, 10678769, 10678817, 10678913, 10678961, 10679057, 10679105, 10679201, 10679249, 12352284, 10843628, 10844660, 10845644, 10846700, 10847660, 10848692, 10849700, 10850708, 10851716, 10852748, 10853708, 10854764, 10855748, 10856780, 10857764, 10858796, 10859780, 10861316, 10862852, 10864388, 10851510, 10852902, 10854438, 10855998]"
1,9,Qwen/Qwen3-30B-A3B-Instruct-2507,5,26,1026970077,1313052286,286082209,2325907,14741128,10853643,"[10841273, 10844324, 10845356, 10846364, 10847372, 10848356, 10849412, 10850372, 10851428, 10852412, 10853420, 10854428, 10855460, 10856444, 10857476, 10858460, 10859492, 10860476, 10862012, 10863548, 10865084, 10852206, 10853742, 10855302, 10856862]"
1,1,Qwen/Qwen3-30B-A3B-Instruct-2507,22,104,347938952,1505277611,1157338659,2418,19237844,11049522,"[10090270, 10090294, 10090342, 10090366, 10090390, 10090414, 10090462, 10090486, 10090510, 10090857, 10091710, 10091758, 19208527, 10644839, 10655691, 10655739, 10655764, 10655883, 10655931, 11641272, 10854611, 18563630, 22758230, 10825431, 10830236, 10830308, 10830692, 10831052, 10831412, 10831748, 10832108, 10449841, 10683304, 10683927, 10684528, 10685127, 10685800, 10686400, 10687047, 10687671, 10674641, 10674104, 10655358, 10656558, 10656630, 10656726, 10656774, 10656822, 10656918, 19299026, 10669697, 10679921, 10680017, 10680065, 10680161, 10680185, 10680305, 10680353, 10680449, 12565091, 10841273, 10844324, 10845356, 10846364, 10847372, 10848356, 10849412, 10850372, 10851428, 10852412, 10853420, 10854428, 10855460, 10856444, 10857476, 10858460, 10859492, 10860476, 10862012, 10863548, 10865084, 10852206, 10853742, 10855302, 10856862, 10499119, 10676070, 10677774, 10679526, 10681206, 10682934, 10684662, 10686342, 10688070, 10689774, 10691478, 10693206, 10694934, 10696614, 10698342, 10700046, 10701750, 10703478]"
