instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,0,Qwen/Qwen3-30B-A3B-Instruct-2507,10,70,46926808,1162680546,1115753738,0,19215072,15891864,"[7921703, 7915622, 7915622, 7915622, 7915622, 7915622, 7915622, 7915670, 7915718, 7915766, 7915862, 7915910, 7915958, 7916006, 7916102, 7916150, 7916198, 7916246, 7916342, 7916390, 7916438, 7916486, 7916582, 7916678, 7916822, 7916918, 7917062, 7917206, 7917302, 7917446, 7917590, 7917686, 7917830, 7917974, 7918070, 7918214, 42407021, 15834460, 15834700, 15834892, 15835036, 15835228, 34443060, 16599472, 16599568, 16599664, 16599856, 22089492, 34050619, 53072186, 23111260, 23111500, 23111692, 23112028, 23112268, 23113420, 26121804, 25045708, 25046860, 23117596, 39178300, 25050220, 25051372, 25052476, 30660407, 24225735, 24226311, 24226887, 24227511]"
0,9,Qwen/Qwen3-30B-A3B-Instruct-2507,5,26,1026970077,1648111518,621141441,20438280,38804025,23293496,"[24225735, 24226311, 24226887, 24227511, 23112412, 23112604, 23112796, 23112988, 23113132, 23113276, 23113420, 23113612, 23113708, 23113900, 23114572, 23115292, 23115964, 23116732, 23117356, 23118124, 23118796, 23119516, 23120236, 23120956, 23121580]"
0,2,Qwen/Qwen3-30B-A3B-Instruct-2507,16,69,479613521,2093662602,1614049081,1025375,27552813,23330827,"[16599472, 16599568, 16599664, 16599856, 22089492, 34050619, 53072186, 23111260, 23111500, 23111692, 23112028, 23112268, 23113420, 26121804, 25045708, 25046860, 23117596, 39178300, 25050220, 25051372, 25052476, 30660407, 24225735, 24226311, 24226887, 24227511, 23112412, 23112604, 23112796, 23112988, 23113132, 23113276, 23113420, 23113612, 23113708, 23113900, 23114572, 23115292, 23115964, 23116732, 23117356, 23118124, 23118796, 23119516, 23120236, 23120956, 23121580, 21192316, 21192940, 21194668, 21196348, 21198028, 21199612, 21202348, 21205036, 21208396, 21211756, 21215068, 21218380, 21221740, 21225100, 21228460, 21231820, 21235132, 21238444, 21241804, 21245164, 21248524]"
0,6,Qwen/Qwen3-30B-A3B-Instruct-2507,15,84,610813769,2469166978,1858353209,45408699,71963422,21522768,"[23111260, 23111500, 23111692, 23112028, 23112268, 23113420, 26121804, 25045708, 25046860, 23117596, 39178300, 25050220, 25051372, 25052476, 30660407, 24225735, 24226311, 24226887, 24227511, 23112412, 23112604, 23112796, 23112988, 23113132, 23113276, 23113420, 23113612, 23113708, 23113900, 23114572, 23115292, 23115964, 23116732, 23117356, 23118124, 23118796, 23119516, 23120236, 23120956, 23121580, 21192316, 21192940, 21194668, 21196348, 21198028, 21199612, 21202348, 21205036, 21208396, 21211756, 21215068, 21218380, 21221740, 21225100, 21228460, 21231820, 21235132, 21238444, 21241804, 21245164, 21248524, 19332496, 17442004, 17445412, 17448868, 17452276, 17455684, 17459140, 16735168, 16739344, 16743568, 16747792, 16751968, 16756144, 16760368, 16764544, 16768768, 16772992, 16777168, 16781392, 16785568, 16789744, 16793968]"
0,4,Qwen/Qwen3-30B-A3B-Instruct-2507,13,96,587870263,2605716536,2017846273,16247557,41834742,20800121,"[53072186, 23111260, 23111500, 23111692, 23112028, 23112268, 23113420, 26121804, 25045708, 25046860, 23117596, 39178300, 25050220, 25051372, 25052476, 30660407, 24225735, 24226311, 24226887, 24227511, 23112412, 23112604, 23112796, 23112988, 23113132, 23113276, 23113420, 23113612, 23113708, 23113900, 23114572, 23115292, 23115964, 23116732, 23117356, 23118124, 23118796, 23119516, 23120236, 23120956, 23121580, 21192316, 21192940, 21194668, 21196348, 21198028, 21199612, 21202348, 21205036, 21208396, 21211756, 21215068, 21218380, 21221740, 21225100, 21228460, 21231820, 21235132, 21238444, 21241804, 21245164, 21248524, 19332496, 17442004, 17445412, 17448868, 17452276, 17455684, 17459140, 16735168, 16739344, 16743568, 16747792, 16751968, 16756144, 16760368, 16764544, 16768768, 16772992, 16777168, 16781392, 16785568, 16789744, 16793968, 16060252, 16065244, 16070236, 16075180, 16080172, 16085164, 8017670, 8020166, 8022662, 8025158, 8027654]"
1,3,Qwen/Qwen3-30B-A3B-Instruct-2507,4,12,570907776,885137181,314229405,2437278,16063288,27106010,"[17364820, 51908491, 37122038, 23111404, 23111596, 23111884, 23112172, 23112412, 26120796, 25044700, 25045804]"
1,7,Qwen/Qwen3-30B-A3B-Instruct-2507,2,9,811936856,1047634677,235697821,9283687,23109821,26573500,"[25044700, 25045804, 23116588, 39177292, 25049212, 25050364, 25051468, 25052572]"
1,5,Qwen/Qwen3-30B-A3B-Instruct-2507,15,63,604829893,2104292096,1499462203,24824477,51414482,23355608,"[37122038, 23111404, 23111596, 23111884, 23112172, 23112412, 26120796, 25044700, 25045804, 23116588, 39177292, 25049212, 25050364, 25051468, 25052572, 28730615, 24225831, 24226359, 24226983, 24227559, 23112508, 23112652, 23112892, 23113036, 23113228, 23113324, 23113516, 23113660, 23113804, 23114476, 23115244, 23115868, 23116636, 23117308, 23118028, 23118700, 23119468, 23120140, 23120860, 23121532, 23122252, 21192892, 21193612, 21195292, 21196972, 21198604, 21201292, 21204028, 21206716, 21210076, 21213388, 21216748, 21220060, 21223420, 21226780, 21230140, 21233452, 21236812, 21240124, 21243484, 21246844, 21250204]"
1,8,Qwen/Qwen3-30B-A3B-Instruct-2507,18,58,903845071,2208985208,1305140137,16703360,43585990,22132528,"[25049212, 25050364, 25051468, 25052572, 28730615, 24225831, 24226359, 24226983, 24227559, 23112508, 23112652, 23112892, 23113036, 23113228, 23113324, 23113516, 23113660, 23113804, 23114476, 23115244, 23115868, 23116636, 23117308, 23118028, 23118700, 23119468, 23120140, 23120860, 23121532, 23122252, 21192892, 21193612, 21195292, 21196972, 21198604, 21201292, 21204028, 21206716, 21210076, 21213388, 21216748, 21220060, 21223420, 21226780, 21230140, 21233452, 21236812, 21240124, 21243484, 21246844, 21250204, 17440276, 17443732, 17447140, 17450548, 17454004, 17457412]"
1,1,Qwen/Qwen3-30B-A3B-Instruct-2507,22,104,347938952,2557588004,2209649052,3200393,29764692,21163925,"[7926956, 15834364, 15834556, 15834748, 15834940, 15835084, 15835324, 34443108, 16599520, 16599616, 16599760, 22089444, 17364820, 51908491, 37122038, 23111404, 23111596, 23111884, 23112172, 23112412, 26120796, 25044700, 25045804, 23116588, 39177292, 25049212, 25050364, 25051468, 25052572, 28730615, 24225831, 24226359, 24226983, 24227559, 23112508, 23112652, 23112892, 23113036, 23113228, 23113324, 23113516, 23113660, 23113804, 23114476, 23115244, 23115868, 23116636, 23117308, 23118028, 23118700, 23119468, 23120140, 23120860, 23121532, 23122252, 21192892, 21193612, 21195292, 21196972, 21198604, 21201292, 21204028, 21206716, 21210076, 21213388, 21216748, 21220060, 21223420, 21226780, 21230140, 21233452, 21236812, 21240124, 21243484, 21246844, 21250204, 17440276, 17443732, 17447140, 17450548, 17454004, 17457412, 16733440, 16737664, 16741840, 16746064, 16750288, 16754416, 16758640, 16762864, 16767040, 16771264, 16775488, 16779664, 16783840, 16788064, 16792240, 16796464, 16062748, 16067740, 16072684, 16077676, 16082668]"
