instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,3,Qwen/Qwen3-30B-A3B-Instruct-2507,4,12,570907776,784608736,213700960,1469947,17271814,17857195,"[26564245, 27125054, 15857887, 15858415, 15858943, 15859471, 15859999, 15860527, 15861055, 15861535, 15862015]"
0,0,Qwen/Qwen3-30B-A3B-Instruct-2507,10,70,46926808,799367253,752440445,0,19215072,10626454,"[7915622, 7915622, 7915622, 7915622, 7915622, 7915622, 7915622, 7915670, 7915718, 7915766, 7915862, 7915910, 7915958, 7916006, 7916102, 7916150, 7916198, 7916246, 7916342, 7916390, 7916438, 7916486, 7916582, 7916678, 7916822, 7916918, 7917062, 7917206, 7917302, 7917446, 7917590, 7917686, 7917830, 7917974, 7918070, 7918214, 26972303, 8682794, 8682842, 8682890, 8682986, 8683034, 8683082, 8683178, 8683226, 8683274, 8683370, 8683418, 8683466, 26521024, 10591574, 10591622, 10591718, 10591766, 10591862, 10592438, 15801867, 26564245, 27125054, 15857887, 15858415, 15858943, 15859471, 15859999, 15860527, 15861055, 15861535, 15862015, 14758517]"
0,7,Qwen/Qwen3-30B-A3B-Instruct-2507,2,9,811936856,959969319,148032463,1059566,16886008,16393306,"[14751989, 14752133, 14752229, 14752373, 14752421, 14752517, 26776154, 15856639]"
0,9,Qwen/Qwen3-30B-A3B-Instruct-2507,5,26,1026970077,1450997180,424027103,6768787,27370840,15866250,"[15859855, 15860383, 15860911, 15861487, 15862015, 15862495, 15863023, 15863599, 15864127, 15864655, 15865183, 15865711, 15866239, 15866767, 15867343, 15867871, 15868399, 15868879, 15869455, 15869983, 15870511, 15871039, 15871567, 15872095, 15872671]"
0,2,Qwen/Qwen3-30B-A3B-Instruct-2507,16,69,479613521,1569243972,1089630451,2692198,29213222,15594371,"[10591574, 10591622, 10591718, 10591766, 10591862, 10592438, 15801867, 26564245, 27125054, 15857887, 15858415, 15858943, 15859471, 15859999, 15860527, 15861055, 15861535, 15862015, 14758517, 13629169, 15826442, 14751989, 14752133, 14752229, 14752373, 14752421, 14752517, 26776154, 15856639, 14752853, 14753381, 14753909, 14754437, 14754965, 20602053, 15859855, 15860383, 15860911, 15861487, 15862015, 15862495, 15863023, 15863599, 15864127, 15864655, 15865183, 15865711, 15866239, 15866767, 15867343, 15867871, 15868399, 15868879, 15869455, 15869983, 15870511, 15871039, 15871567, 15872095, 15872671, 14774885, 14776613, 14778293, 14780021, 14781701, 14783381, 14785109, 14786789]"
0,5,Qwen/Qwen3-30B-A3B-Instruct-2507,15,63,604829893,1610235399,1005405506,9913942,37038996,15618814,"[15857887, 15858415, 15858943, 15859471, 15859999, 15860527, 15861055, 15861535, 15862015, 14758517, 13629169, 15826442, 14751989, 14752133, 14752229, 14752373, 14752421, 14752517, 26776154, 15856639, 14752853, 14753381, 14753909, 14754437, 14754965, 20602053, 15859855, 15860383, 15860911, 15861487, 15862015, 15862495, 15863023, 15863599, 15864127, 15864655, 15865183, 15865711, 15866239, 15866767, 15867343, 15867871, 15868399, 15868879, 15869455, 15869983, 15870511, 15871039, 15871567, 15872095, 15872671, 14774885, 14776613, 14778293, 14780021, 14781701, 14783381, 14785109, 14786789, 13662145, 13663825, 13665457]"
0,8,Qwen/Qwen3-30B-A3B-Instruct-2507,18,58,903845071,1786283131,882438060,13491455,40267609,14774920,"[15856639, 14752853, 14753381, 14753909, 14754437, 14754965, 20602053, 15859855, 15860383, 15860911, 15861487, 15862015, 15862495, 15863023, 15863599, 15864127, 15864655, 15865183, 15865711, 15866239, 15866767, 15867343, 15867871, 15868399, 15868879, 15869455, 15869983, 15870511, 15871039, 15871567, 15872095, 15872671, 14774885, 14776613, 14778293, 14780021, 14781701, 14783381, 14785109, 14786789, 13662145, 13663825, 13665457, 12564230, 12565862, 12567494, 12569126, 12570758, 12572390, 12574022, 12575654, 12577286, 12578918, 12580550, 12582182, 12583814, 12585446]"
0,1,Qwen/Qwen3-30B-A3B-Instruct-2507,22,104,347938952,1839666377,1491727425,3196904,30169207,14189885,"[8682794, 8682842, 8682890, 8682986, 8683034, 8683082, 8683178, 8683226, 8683274, 8683370, 8683418, 8683466, 26521024, 10591574, 10591622, 10591718, 10591766, 10591862, 10592438, 15801867, 26564245, 27125054, 15857887, 15858415, 15858943, 15859471, 15859999, 15860527, 15861055, 15861535, 15862015, 14758517, 13629169, 15826442, 14751989, 14752133, 14752229, 14752373, 14752421, 14752517, 26776154, 15856639, 14752853, 14753381, 14753909, 14754437, 14754965, 20602053, 15859855, 15860383, 15860911, 15861487, 15862015, 15862495, 15863023, 15863599, 15864127, 15864655, 15865183, 15865711, 15866239, 15866767, 15867343, 15867871, 15868399, 15868879, 15869455, 15869983, 15870511, 15871039, 15871567, 15872095, 15872671, 14774885, 14776613, 14778293, 14780021, 14781701, 14783381, 14785109, 14786789, 13662145, 13663825, 13665457, 12564230, 12565862, 12567494, 12569126, 12570758, 12572390, 12574022, 12575654, 12577286, 12578918, 12580550, 12582182, 12583814, 12585446, 10673318, 10674998, 10676630, 10678310, 10679990]"
0,6,Qwen/Qwen3-30B-A3B-Instruct-2507,15,84,610813769,1857142557,1246328788,3930066,31055120,14641851,"[15857887, 15858415, 15858943, 15859471, 15859999, 15860527, 15861055, 15861535, 15862015, 14758517, 13629169, 15826442, 14751989, 14752133, 14752229, 14752373, 14752421, 14752517, 26776154, 15856639, 14752853, 14753381, 14753909, 14754437, 14754965, 20602053, 15859855, 15860383, 15860911, 15861487, 15862015, 15862495, 15863023, 15863599, 15864127, 15864655, 15865183, 15865711, 15866239, 15866767, 15867343, 15867871, 15868399, 15868879, 15869455, 15869983, 15870511, 15871039, 15871567, 15872095, 15872671, 14774885, 14776613, 14778293, 14780021, 14781701, 14783381, 14785109, 14786789, 13662145, 13663825, 13665457, 12564230, 12565862, 12567494, 12569126, 12570758, 12572390, 12574022, 12575654, 12577286, 12578918, 12580550, 12582182, 12583814, 12585446, 10673318, 10674998, 10676630, 10678310, 10679990, 8737226, 8738954]"
0,4,Qwen/Qwen3-30B-A3B-Instruct-2507,13,96,587870263,1945309759,1357439496,309327,26873572,14005957,"[27125054, 15857887, 15858415, 15858943, 15859471, 15859999, 15860527, 15861055, 15861535, 15862015, 14758517, 13629169, 15826442, 14751989, 14752133, 14752229, 14752373, 14752421, 14752517, 26776154, 15856639, 14752853, 14753381, 14753909, 14754437, 14754965, 20602053, 15859855, 15860383, 15860911, 15861487, 15862015, 15862495, 15863023, 15863599, 15864127, 15864655, 15865183, 15865711, 15866239, 15866767, 15867343, 15867871, 15868399, 15868879, 15869455, 15869983, 15870511, 15871039, 15871567, 15872095, 15872671, 14774885, 14776613, 14778293, 14780021, 14781701, 14783381, 14785109, 14786789, 13662145, 13663825, 13665457, 12564230, 12565862, 12567494, 12569126, 12570758, 12572390, 12574022, 12575654, 12577286, 12578918, 12580550, 12582182, 12583814, 12585446, 10673318, 10674998, 10676630, 10678310, 10679990, 8737226, 8738954, 8002742, 8005238, 8007734, 8010230, 8012726, 8015222, 8017670, 8020166, 8022662, 8025158, 8027654]"
