instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,0,meta-llama/Llama-3.1-8B,10,70,46926808,826431057,779504249,0,10998250,11137768,"[11146817, 11146817, 11146817, 11146817, 11146817, 11146817, 11146817, 11147009, 11147233, 11147457, 11147649, 11147873, 11148097, 11148289, 11148513, 11148737, 11148929, 11149153, 11149377, 11149569, 11149793, 11150017, 11150241, 11150209, 11150177, 11150145, 11150145, 11150113, 11150081, 11150081, 11150049, 11150017, 11150017, 11149985, 11149953, 11149953, 11149921, 11149889, 11183091, 11201576, 11201704, 11201864, 11202024, 11202184, 11202344, 11202504, 11202664, 11202824, 11054923, 11239584, 11296373, 11068351, 11068735, 11069119, 11069535, 11069439, 11069375, 11069503, 11069631, 11069727, 11069823, 11069951, 11070047, 11070175, 11070303, 11070399, 11070495, 11070623, 11070719]"
0,2,meta-llama/Llama-3.1-8B,16,69,479613521,1248755844,769142323,1967927,13151018,11117519,"[11201576, 11201704, 11201864, 11202024, 11202184, 11202344, 11202504, 11202664, 11202824, 11054923, 11239584, 11296373, 11068351, 11068735, 11069119, 11069535, 11069439, 11069375, 11069503, 11069631, 11069727, 11069823, 11069951, 11070047, 11070175, 11070303, 11070399, 11070495, 11070623, 11070719, 11239680, 11239712, 11239744, 11239808, 11239840, 11239872, 11239904, 11578993, 11068991, 11068927, 11068831, 11068735, 11068671, 11068575, 11068479, 11068415, 11068319, 11068223, 11068159, 11068063, 11068127, 11068191, 11068287, 11068319, 11068383, 11068479, 11068543, 11068575, 11068671, 11068735, 11068799, 11068863, 11068927, 11068991, 11069055, 11070495, 11071967, 11073439]"
0,6,meta-llama/Llama-3.1-8B,15,84,610813769,1552724484,941910715,5064965,16361338,11151197,"[11068351, 11068735, 11069119, 11069535, 11069439, 11069375, 11069503, 11069631, 11069727, 11069823, 11069951, 11070047, 11070175, 11070303, 11070399, 11070495, 11070623, 11070719, 11239680, 11239712, 11239744, 11239808, 11239840, 11239872, 11239904, 11578993, 11068991, 11068927, 11068831, 11068735, 11068671, 11068575, 11068479, 11068415, 11068319, 11068223, 11068159, 11068063, 11068127, 11068191, 11068287, 11068319, 11068383, 11068479, 11068543, 11068575, 11068671, 11068735, 11068799, 11068863, 11068927, 11068991, 11069055, 11070495, 11071967, 11073439, 11241536, 11241696, 11243072, 11244416, 11245792, 11247136, 11248512, 11249888, 11251232, 11252608, 11253952, 11255328, 11256704, 11258048, 11259424, 11260768, 11262144, 11263520, 11264864, 11266240, 11267584, 11268960, 11270304, 11271680, 11273056, 11274400, 11275776]"
0,8,meta-llama/Llama-3.1-8B,18,58,903845071,1552724484,648879413,1264546,12843539,11158524,"[11068991, 11068927, 11068831, 11068735, 11068671, 11068575, 11068479, 11068415, 11068319, 11068223, 11068159, 11068063, 11068127, 11068191, 11068287, 11068319, 11068383, 11068479, 11068543, 11068575, 11068671, 11068735, 11068799, 11068863, 11068927, 11068991, 11069055, 11070495, 11071967, 11073439, 11241536, 11241696, 11243072, 11244416, 11245792, 11247136, 11248512, 11249888, 11251232, 11252608, 11253952, 11255328, 11256704, 11258048, 11259424, 11260768, 11262144, 11263520, 11264864, 11266240, 11267584, 11268960, 11270304, 11271680, 11273056, 11274400, 11275776]"
0,4,meta-llama/Llama-3.1-8B,13,96,587870263,1664893230,1077022967,5713964,16768887,11160569,"[11239584, 11296373, 11068351, 11068735, 11069119, 11069535, 11069439, 11069375, 11069503, 11069631, 11069727, 11069823, 11069951, 11070047, 11070175, 11070303, 11070399, 11070495, 11070623, 11070719, 11239680, 11239712, 11239744, 11239808, 11239840, 11239872, 11239904, 11578993, 11068991, 11068927, 11068831, 11068735, 11068671, 11068575, 11068479, 11068415, 11068319, 11068223, 11068159, 11068063, 11068127, 11068191, 11068287, 11068319, 11068383, 11068479, 11068543, 11068575, 11068671, 11068735, 11068799, 11068863, 11068927, 11068991, 11069055, 11070495, 11071967, 11073439, 11241536, 11241696, 11243072, 11244416, 11245792, 11247136, 11248512, 11249888, 11251232, 11252608, 11253952, 11255328, 11256704, 11258048, 11259424, 11260768, 11262144, 11263520, 11264864, 11266240, 11267584, 11268960, 11270304, 11271680, 11273056, 11274400, 11275776, 11208993, 11210753, 11212513, 11214241, 11216001, 11217761, 11219489, 11221249, 11223009, 11224737]"
1,3,meta-llama/Llama-3.1-8B,4,12,570907776,705764369,134856593,481937,11406180,11222764,"[11199272, 11199528, 11199816, 11187093, 11236928, 11237248, 11237536, 11237792, 11238112, 11238400, 11238688]"
1,7,meta-llama/Llama-3.1-8B,2,9,811936856,918756811,106819955,5857833,16898291,11240208,"[11239616, 11239808, 11239968, 11240128, 11240288, 11240448, 11240608, 11240800]"
1,5,meta-llama/Llama-3.1-8B,15,63,604829893,1323035259,718205366,11082679,22269772,11224767,"[11236928, 11237248, 11237536, 11237792, 11238112, 11238400, 11238688, 11202312, 11202472, 11202632, 11202792, 11202952, 11203112, 11203272, 11203432, 11203592, 11203752, 11040458, 11239616, 11239808, 11239968, 11240128, 11240288, 11240448, 11240608, 11240800, 11206728, 11207080, 11207400, 11207720, 11208072, 11208392, 11208712, 11209064, 11209384, 11210632, 11055840, 11242560, 11242752, 11242912, 11243072, 11243232, 11243392, 11243552, 11243712, 11243904, 11244096, 11244256, 11244416, 11244576, 11244736, 11244896, 11245088, 11245248, 11245408, 11245568, 11246944, 11248288, 11249664, 11251008, 11252384, 11253760]"
1,9,meta-llama/Llama-3.1-8B,5,26,1026970077,1323035259,296065182,3869918,14925758,11245576,"[11242560, 11242752, 11242912, 11243072, 11243232, 11243392, 11243552, 11243712, 11243904, 11244096, 11244256, 11244416, 11244576, 11244736, 11244896, 11245088, 11245248, 11245408, 11245568, 11246944, 11248288, 11249664, 11251008, 11252384, 11253760]"
1,1,meta-llama/Llama-3.1-8B,22,104,347938952,1514123628,1166184676,82418,11609046,11209472,"[11148097, 11148289, 11148513, 11148737, 11148929, 11149153, 11149377, 11149569, 11149793, 11150017, 11150241, 11150209, 11150177, 11150145, 11150145, 11150113, 11150081, 11150081, 11150049, 10924243, 11199272, 11199528, 11199816, 11187093, 11236928, 11237248, 11237536, 11237792, 11238112, 11238400, 11238688, 11202312, 11202472, 11202632, 11202792, 11202952, 11203112, 11203272, 11203432, 11203592, 11203752, 11040458, 11239616, 11239808, 11239968, 11240128, 11240288, 11240448, 11240608, 11240800, 11206728, 11207080, 11207400, 11207720, 11208072, 11208392, 11208712, 11209064, 11209384, 11210632, 11055840, 11242560, 11242752, 11242912, 11243072, 11243232, 11243392, 11243552, 11243712, 11243904, 11244096, 11244256, 11244416, 11244576, 11244736, 11244896, 11245088, 11245248, 11245408, 11245568, 11246944, 11248288, 11249664, 11251008, 11252384, 11253760, 11226497, 11228257, 11229985, 11231745, 11233505, 11235233, 11236993, 11238753, 11240481, 11242241, 11244001, 11245729, 11247489, 11249249, 11250977, 11252737, 11254497]"
