instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
1,3,meta-llama/Llama-3.1-8B,4,12,570907776,705508526,134600750,30136,10989218,11237412,"[12488673, 11073543, 11082578, 11099047, 11123485, 11123645, 11123773, 11123933, 11124093, 11124285, 11124477]"
1,0,meta-llama/Llama-3.1-8B,10,70,46926808,827630299,780703491,0,11018252,11154858,"[11147819, 11147819, 11147819, 11147819, 11147819, 11147819, 11147819, 11148011, 11148235, 11148459, 11148651, 11148875, 11149099, 11149291, 11149515, 11149739, 11149931, 11150155, 11150379, 11150571, 11150795, 11151019, 11151243, 11151211, 11151179, 11151147, 11151147, 11151115, 11202812, 11203100, 11203356, 11203484, 11203644, 11203804, 11203964, 11204124, 11204284, 11204444, 11204604, 11242558, 11242590, 11242622, 11242654, 11242686, 11242718, 11242750, 11242782, 11073127, 11073543, 11082578, 11099047, 11123485, 11123645, 11123773, 11123933, 11124093, 11124285, 11124477, 11101063, 11101255, 11101415, 11101607, 11101799, 11101991, 11102151, 11102343, 11102535, 11102727, 11102887]"
1,7,meta-llama/Llama-3.1-8B,2,9,811936856,916426387,104489531,13092,11118478,11671381,"[15674620, 11099815, 11099687, 11099591, 11099495, 11099399, 11099271, 11099175]"
1,2,meta-llama/Llama-3.1-8B,16,69,479613521,1249850151,770236630,114103,11230597,11161853,"[13769620, 11242590, 11242622, 11242654, 11242686, 11242718, 11242750, 11242782, 11073127, 11073543, 11082578, 11099047, 11123485, 11123645, 11123773, 11123933, 11124093, 11124285, 11124477, 11101063, 11101255, 11101415, 11101607, 11101799, 11101991, 11102151, 11102343, 11102535, 11102727, 11102887, 11099655, 11099815, 11099687, 11099591, 11099495, 11099399, 11099271, 11099175, 11099271, 11099143, 11099047, 11098951, 11098855, 11098727, 11098631, 11098535, 11098439, 11098311, 11098215, 11122461, 11122461, 11122525, 11122557, 11122621, 11122653, 11122685, 11122717, 11122749, 11122813, 11122845, 11122909, 11122909, 11122941, 11123005, 11123069, 11123101, 11124573, 11126045]"
1,5,meta-llama/Llama-3.1-8B,15,63,604829893,1305335786,700505893,599303,11670997,11110240,"[11139945, 11123485, 11123645, 11123773, 11123933, 11124093, 11124285, 11124477, 11101063, 11101255, 11101415, 11101607, 11101799, 11101991, 11102151, 11102343, 11102535, 11102727, 11102887, 11099655, 11099815, 11099687, 11099591, 11099495, 11099399, 11099271, 11099175, 11099271, 11099143, 11099047, 11098951, 11098855, 11098727, 11098631, 11098535, 11098439, 11098311, 11098215, 11122461, 11122461, 11122525, 11122557, 11122621, 11122653, 11122685, 11122717, 11122749, 11122813, 11122845, 11122909, 11122909, 11122941, 11123005, 11123069, 11123101, 11124573, 11126045, 11094183, 11095655, 11097127, 11098599, 11100071]"
1,9,meta-llama/Llama-3.1-8B,5,26,1026970077,1316415452,289445375,411946,11377088,11122731,"[11287808, 11122461, 11122525, 11122557, 11122621, 11122653, 11122685, 11122717, 11122749, 11122813, 11122845, 11122909, 11122909, 11122941, 11123005, 11123069, 11123101, 11124573, 11126045, 11094183, 11095655, 11097127, 11098599, 11100071, 11079666]"
1,1,meta-llama/Llama-3.1-8B,22,104,347938952,1516355642,1168416690,128472,11675105,11230500,"[21718315, 11203100, 11203356, 11203484, 11203644, 11203804, 11203964, 11204124, 11204284, 11204444, 11204604, 11242558, 11242590, 11242622, 11242654, 11242686, 11242718, 11242750, 11242782, 11073127, 11073543, 11082578, 11099047, 11123485, 11123645, 11123773, 11123933, 11124093, 11124285, 11124477, 11101063, 11101255, 11101415, 11101607, 11101799, 11101991, 11102151, 11102343, 11102535, 11102727, 11102887, 11099655, 11099815, 11099687, 11099591, 11099495, 11099399, 11099271, 11099175, 11099271, 11099143, 11099047, 11098951, 11098855, 11098727, 11098631, 11098535, 11098439, 11098311, 11098215, 11122461, 11122461, 11122525, 11122557, 11122621, 11122653, 11122685, 11122717, 11122749, 11122813, 11122845, 11122909, 11122909, 11122941, 11123005, 11123069, 11123101, 11124573, 11126045, 11094183, 11095655, 11097127, 11098599, 11100071, 11079666, 11095367, 11096839, 11098279, 11099751, 11101223, 11102663, 11104135, 11105607, 11107047, 11108519, 11109991, 11111431, 11112903, 11114375, 11115815, 11117287, 11118759, 11120199]"
1,6,meta-llama/Llama-3.1-8B,15,84,610813769,1550187892,939374123,5687121,16758815,11115847,"[11191736, 11123645, 11123773, 11123933, 11124093, 11124285, 11124477, 11101063, 11101255, 11101415, 11101607, 11101799, 11101991, 11102151, 11102343, 11102535, 11102727, 11102887, 11099655, 11099815, 11099687, 11099591, 11099495, 11099399, 11099271, 11099175, 11099271, 11099143, 11099047, 11098951, 11098855, 11098727, 11098631, 11098535, 11098439, 11098311, 11098215, 11122461, 11122461, 11122525, 11122557, 11122621, 11122653, 11122685, 11122717, 11122749, 11122813, 11122845, 11122909, 11122909, 11122941, 11123005, 11123069, 11123101, 11124573, 11126045, 11094183, 11095655, 11097127, 11098599, 11100071, 11079666, 11095367, 11096839, 11098279, 11099751, 11101223, 11102663, 11104135, 11105607, 11107047, 11108519, 11109991, 11111431, 11112903, 11114375, 11115815, 11117287, 11118759, 11120199, 11276062, 11277406, 11278782]"
1,8,meta-llama/Llama-3.1-8B,18,58,903845071,1550187892,646342821,24281,11355869,11140121,"[12324718, 11099143, 11099047, 11098951, 11098855, 11098727, 11098631, 11098535, 11098439, 11098311, 11098215, 11122461, 11122461, 11122525, 11122557, 11122621, 11122653, 11122685, 11122717, 11122749, 11122813, 11122845, 11122909, 11122909, 11122941, 11123005, 11123069, 11123101, 11124573, 11126045, 11094183, 11095655, 11097127, 11098599, 11100071, 11079666, 11095367, 11096839, 11098279, 11099751, 11101223, 11102663, 11104135, 11105607, 11107047, 11108519, 11109991, 11111431, 11112903, 11114375, 11115815, 11117287, 11118759, 11120199, 11276062, 11277406, 11278782]"
1,4,meta-llama/Llama-3.1-8B,13,96,587870263,1662366658,1074496395,11720,11067819,11193985,"[17603706, 11099047, 11123485, 11123645, 11123773, 11123933, 11124093, 11124285, 11124477, 11101063, 11101255, 11101415, 11101607, 11101799, 11101991, 11102151, 11102343, 11102535, 11102727, 11102887, 11099655, 11099815, 11099687, 11099591, 11099495, 11099399, 11099271, 11099175, 11099271, 11099143, 11099047, 11098951, 11098855, 11098727, 11098631, 11098535, 11098439, 11098311, 11098215, 11122461, 11122461, 11122525, 11122557, 11122621, 11122653, 11122685, 11122717, 11122749, 11122813, 11122845, 11122909, 11122909, 11122941, 11123005, 11123069, 11123101, 11124573, 11126045, 11094183, 11095655, 11097127, 11098599, 11100071, 11079666, 11095367, 11096839, 11098279, 11099751, 11101223, 11102663, 11104135, 11105607, 11107047, 11108519, 11109991, 11111431, 11112903, 11114375, 11115815, 11117287, 11118759, 11120199, 11276062, 11277406, 11278782, 11209995, 11211755, 11213515, 11215243, 11217003, 11218763, 11220491, 11222251, 11224011, 11225739]"
