instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,3,meta-llama/Llama-3.1-8B,4,12,570907776,708200669,137292893,4801906,15909505,11034853,"[10804537, 11335258, 11655813, 11654573, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601]"
0,0,meta-llama/Llama-3.1-8B,10,70,46926808,816460879,769534071,0,10998263,10993272,"[11016027, 11016027, 11016027, 11016027, 11016027, 11016027, 11016027, 11016027, 11016027, 11016027, 11016027, 11016027, 11016027, 11016027, 11016027, 11016027, 11016027, 11016027, 11016027, 11016027, 11016027, 11016027, 11016027, 11016027, 11016027, 11016027, 11016027, 11636420, 10947106, 10947106, 10947106, 10947106, 10947106, 10947106, 10947106, 10947106, 10947106, 10947106, 10947106, 11437562, 10979962, 10979962, 10979962, 10979962, 10979962, 10979962, 10979962, 11107599, 10804537, 11335258, 11655813, 11654573, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021]"
0,7,meta-llama/Llama-3.1-8B,2,9,811936856,914181863,102245007,4524023,15636839,10826021,"[10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021]"
0,2,meta-llama/Llama-3.1-8B,16,69,479613521,1240502690,760889169,7798865,19236427,10906657,"[10979962, 10979962, 10979962, 10979962, 10979962, 10979962, 10979962, 11107599, 10804537, 11335258, 11655813, 11654573, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 11112816, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 11653628, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 11150171, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601]"
0,5,meta-llama/Llama-3.1-8B,15,63,604829893,1294632795,689802902,4127183,15782996,10871288,"[11654573, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 11112816, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 11653628, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 11150171, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10826021, 10826021, 10826021, 10826021, 10826021]"
0,9,meta-llama/Llama-3.1-8B,5,26,1026970077,1316257487,289287410,7125624,18275795,10840464,"[10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10826021, 10826021, 10826021, 10826021, 10826021, 10812346, 10812346]"
0,1,meta-llama/Llama-3.1-8B,22,104,347938952,1489130079,1141191127,7418848,19055268,10894522,"[10947106, 10947106, 10947106, 10947106, 10947106, 10947106, 10947106, 10947106, 10947106, 10947106, 10947106, 11437562, 10979962, 10979962, 10979962, 10979962, 10979962, 10979962, 10979962, 11107599, 10804537, 11335258, 11655813, 11654573, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 11112816, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 11653628, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 11150171, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10826021, 10826021, 10826021, 10826021, 10826021, 10812346, 10812346, 10804537, 10804537, 10804537, 10804537, 10804537, 10804537, 10804537, 10804537, 10804537, 10804537, 10804537, 10804537, 10804537, 10804537, 10804537, 10804537]"
0,6,meta-llama/Llama-3.1-8B,15,84,610813769,1533028679,922214910,9799120,21453693,10852544,"[10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 11112816, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 11653628, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 11150171, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10826021, 10826021, 10826021, 10826021, 10826021, 10812346, 10812346, 10804537, 10804537, 10804537, 10804537, 10804537, 10804537, 10804537, 10804537, 10804537, 10804537, 10804537, 10804537, 10804537, 10804537, 10804537, 10804537, 10974650, 10974650, 10974650, 10974650]"
0,8,meta-llama/Llama-3.1-8B,18,58,903845071,1543970473,640125402,10336792,21990420,10844473,"[10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 11150171, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10826021, 10826021, 10826021, 10826021, 10826021, 10812346, 10812346, 10804537, 10804537, 10804537, 10804537, 10804537, 10804537, 10804537, 10804537, 10804537, 10804537, 10804537, 10804537, 10804537, 10804537, 10804537, 10804537, 10974650, 10974650, 10974650, 10974650, 10941794]"
0,4,meta-llama/Llama-3.1-8B,13,96,587870263,1643150716,1055280453,9751555,21086813,10886248,"[11655813, 11654573, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 11112816, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 11653628, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 10826021, 11150171, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10847601, 10826021, 10826021, 10826021, 10826021, 10826021, 10812346, 10812346, 10804537, 10804537, 10804537, 10804537, 10804537, 10804537, 10804537, 10804537, 10804537, 10804537, 10804537, 10804537, 10804537, 10804537, 10804537, 10804537, 10974650, 10974650, 10974650, 10974650, 10941794, 11020027, 11020027, 11020027, 11020027, 11020027, 11020027, 11020027, 11020027, 11020027]"
