instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,3,meta-llama/Llama-3.1-8B,4,12,570907776,730529653,159621877,972564,12847452,13343129,"[13369136, 13313059, 13324792, 13317645, 13349471, 13349639, 13349815, 13349967, 13350111, 13350295, 13350495]"
0,0,meta-llama/Llama-3.1-8B,10,70,46926808,869862963,822936155,0,11072554,11766139,"[11208245, 11208245, 11208245, 11208245, 11208245, 11208245, 11208245, 11208437, 11208661, 11208885, 11209077, 11209301, 11209525, 11209717, 11209941, 11210165, 11210357, 11210581, 11210805, 11210997, 11211221, 11211445, 11211669, 11211637, 11211605, 11211573, 13480987, 11211541, 11211509, 11211509, 11211477, 11211445, 11211445, 11211413, 11211381, 11211381, 11211349, 11211317, 11219376, 11211597, 11211565, 11211565, 11211541, 11211501, 11211501, 11211477, 14480791, 13313003, 13362925, 13286491, 13349399, 13349575, 13349743, 13349895, 13350047, 13350231, 13350423, 13350615, 11267315, 11267667, 11267987, 11268307, 11268659, 11268979, 11269299, 13725046, 13352175, 13352335, 13352503]"
0,7,meta-llama/Llama-3.1-8B,2,9,811936856,930066014,118129158,46827,11195072,13366760,"[13352055, 13352215, 13352375, 13352543, 13357602, 13357714, 13357834, 13451748]"
0,2,meta-llama/Llama-3.1-8B,16,69,479613521,1352675850,873062329,695,11180073,12674739,"[11208245, 11208437, 11208661, 11208885, 11209077, 11209301, 11209525, 11209717, 13317124, 13313059, 13324792, 13317645, 13349471, 13349639, 13349815, 13349967, 13350111, 13350295, 13350495, 13350671, 11267387, 11267731, 11268059, 11268339, 11268699, 11269019, 11269339, 13725086, 13352215, 13352375, 13352543, 13357602, 13357714, 13357834, 13451748, 13367418, 11304906, 11305058, 11305218, 11305386, 11305538, 11305730, 11305930, 11306082, 14597434, 13368186, 13368258, 13368330, 13368410, 13368530, 13368642, 13368762, 13368882, 13368994, 13369114, 13369474, 13369826, 13370218, 13370634, 13371338, 13372034, 13372746, 13373890, 13375034, 13376194, 13377330, 13378482, 13379626]"
0,9,meta-llama/Llama-3.1-8B,5,26,1026970077,1372754248,345784171,85535,11483358,13372032,"[13368146, 13368226, 13368298, 13368378, 13368450, 13368570, 13368682, 13368802, 13368922, 13369034, 13369162, 13369514, 13369914, 13370314, 13371034, 13371722, 13372434, 13373138, 13374282, 13375434, 13376586, 13377722, 13378874, 13380026, 13385149]"
0,5,meta-llama/Llama-3.1-8B,15,63,604829893,1413137227,808307334,2265732,15590524,12785755,"[13317645, 13349471, 13349639, 13349815, 13349967, 13350111, 13350295, 13350495, 13350671, 11267387, 11267731, 11268059, 11268339, 11268699, 11269019, 11269339, 13725086, 13352215, 13352375, 13352543, 13357602, 13357714, 13357834, 13451748, 13367418, 11304906, 11305058, 11305218, 11305386, 11305538, 11305730, 11305930, 11306082, 14597434, 13368186, 13368258, 13368330, 13368410, 13368530, 13368642, 13368762, 13368882, 13368994, 13369114, 13369474, 13369826, 13370218, 13370634, 13371338, 13372034, 13372746, 13373890, 13375034, 13376194, 13377330, 13378482, 13379626, 13384757, 13386029, 11228437, 11230197, 11231957]"
0,1,meta-llama/Llama-3.1-8B,22,104,347938952,1620935257,1272996305,33983,11652081,12246060,"[11209525, 11209717, 11209941, 11210165, 11210357, 11210581, 11210805, 11210997, 11211221, 11211445, 11211669, 11228784, 11211605, 11211573, 11211573, 11211541, 11211509, 11211509, 11211477, 14480799, 13369136, 13313051, 13286451, 13349359, 13349535, 13349703, 13349855, 13350007, 13350151, 13350335, 13350535, 11265331, 11265491, 11265651, 11265811, 11265971, 11266131, 11266291, 13741918, 13352095, 13352255, 13352415, 13352583, 13357682, 13357794, 13451716, 13367386, 11304866, 11305026, 11305186, 11305346, 11305506, 11305698, 11305890, 11306050, 11306210, 13317540, 13368226, 13368298, 13368378, 13368450, 13368570, 13368682, 13368802, 13368922, 13369034, 13369162, 13369514, 13369866, 13370258, 13370978, 13371674, 13372378, 13373082, 13374234, 13375378, 13376530, 13377674, 13378818, 13379970, 13385101, 13386365, 11326242, 11327586, 11328962, 11330338, 11331682, 11333058, 11334402, 11335778, 11337122, 11338498, 11339874, 11341218, 11342594, 11343938, 11345314, 11346690, 11348034, 11349410, 11350754, 11352130, 11353506]"
0,8,meta-llama/Llama-3.1-8B,18,58,903845071,1620935257,717090186,2748292,16200008,12296318,"[13367386, 11304866, 11305026, 11305186, 11305346, 11305506, 11305698, 11305890, 11306050, 11306210, 13317540, 13368226, 13368298, 13368378, 13368450, 13368570, 13368682, 13368802, 13368922, 13369034, 13369162, 13369514, 13369866, 13370258, 13370978, 13371674, 13372378, 13373082, 13374234, 13375378, 13376530, 13377674, 13378818, 13379970, 13385101, 13386365, 11326242, 11327586, 11328962, 11330338, 11331682, 11333058, 11334402, 11335778, 11337122, 11338498, 11339874, 11341218, 11342594, 11343938, 11345314, 11346690, 11348034, 11349410, 11350754, 11352130, 11353506]"
0,6,meta-llama/Llama-3.1-8B,15,84,610813769,1654736056,1043922287,2966244,16252695,12381561,"[13349359, 13349535, 13349703, 13349855, 13350007, 13350151, 13350335, 13350535, 11265331, 11265491, 11265651, 11265811, 11265971, 11266131, 11266291, 13741918, 13352095, 13352255, 13352415, 13352583, 13357682, 13357794, 13451716, 13367386, 11304866, 11305026, 11305186, 11305346, 11305506, 11305698, 11305890, 11306050, 11306210, 13317540, 13368226, 13368298, 13368378, 13368450, 13368570, 13368682, 13368802, 13368922, 13369034, 13369162, 13369514, 13369866, 13370258, 13370978, 13371674, 13372378, 13373082, 13374234, 13375378, 13376530, 13377674, 13378818, 13379970, 13385101, 13386365, 11326242, 11327586, 11328962, 11330338, 11331682, 11333058, 11334402, 11335778, 11337122, 11338498, 11339874, 11341218, 11342594, 11343938, 11345314, 11346690, 11348034, 11349410, 11350754, 11352130, 11353506, 11265173, 11266933, 11268693]"
0,4,meta-llama/Llama-3.1-8B,13,96,587870263,1770875992,1183005729,2570081,15883084,12285501,"[13362925, 13286491, 13349399, 13349575, 13349743, 13349895, 13350047, 13350231, 13350423, 13350615, 11267315, 11267667, 11267987, 11268307, 11268659, 11268979, 11269299, 13725046, 13352175, 13352335, 13352503, 13357562, 13357674, 13357794, 13451708, 13367378, 11304866, 11305018, 11305178, 11305346, 11305498, 11305690, 11305890, 11306042, 14597394, 13368146, 13368218, 13368290, 13368370, 13368450, 13368562, 13368674, 13368802, 13368914, 13369026, 13369162, 13369506, 13369906, 13370314, 13371026, 13371714, 13372434, 13373570, 13374722, 13375874, 13377018, 13378162, 13379314, 13380458, 13385589, 11226709, 11228437, 11230197, 11231957, 11233685, 11235445, 11237205, 11238933, 11240693, 11242453, 11244181, 11245941, 11247701, 11313816, 11344378, 11345754, 11347122, 11348474, 11349850, 11351186, 11352570, 11353946, 11265605, 11267373, 11269133, 11270421, 11272181, 11273941, 11275669, 11277429, 11279189, 11280917, 11282677, 11284437, 11286165]"
