instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,0,meta-llama/Llama-3.1-8B,10,70,46926808,826622439,779695631,0,11008270,11140396,"[11147819, 11147819, 11147819, 11147819, 11147819, 11147819, 11147819, 11148011, 11148235, 11148459, 11148651, 11148875, 11149099, 11149291, 11149515, 11149739, 11149931, 11150155, 11150379, 11150571, 11150795, 11151019, 11151243, 11151211, 11151179, 11151147, 11151147, 11151115, 11151083, 11151083, 11151051, 11151019, 11151019, 11150987, 11150955, 11150955, 11150923, 11150891, 11200125, 11203580, 11203708, 11203868, 11204028, 11204188, 11204348, 11204508, 11204668, 11204828, 11069953, 11242590, 11314409, 11072359, 11072743, 11073127, 11073543, 11073447, 11073383, 11073511, 11073639, 11073735, 11073831, 11073959, 11074055, 11074183, 11074311, 11074407, 11074503, 11074631, 11074727]"
0,2,meta-llama/Llama-3.1-8B,16,69,479613521,1249109550,769496029,2016023,13216148,11121762,"[11203580, 11203708, 11203868, 11204028, 11204188, 11204348, 11204508, 11204668, 11204828, 11069953, 11242590, 11314409, 11072359, 11072743, 11073127, 11073543, 11073447, 11073383, 11073511, 11073639, 11073735, 11073831, 11073959, 11074055, 11074183, 11074311, 11074407, 11074503, 11074631, 11074727, 11242686, 11242718, 11242750, 11242814, 11242846, 11242878, 11242910, 11600035, 11072999, 11072935, 11072839, 11072743, 11072679, 11072583, 11072487, 11072423, 11072327, 11072231, 11072167, 11072071, 11072135, 11072199, 11072295, 11072327, 11072391, 11072487, 11072551, 11072583, 11072679, 11072743, 11072807, 11072871, 11072935, 11072999, 11073063, 11074503, 11075975, 11077447]"
0,6,meta-llama/Llama-3.1-8B,15,84,610813769,1553159352,942345583,5166167,16480576,11155000,"[11072359, 11072743, 11073127, 11073543, 11073447, 11073383, 11073511, 11073639, 11073735, 11073831, 11073959, 11074055, 11074183, 11074311, 11074407, 11074503, 11074631, 11074727, 11242686, 11242718, 11242750, 11242814, 11242846, 11242878, 11242910, 11600035, 11072999, 11072935, 11072839, 11072743, 11072679, 11072583, 11072487, 11072423, 11072327, 11072231, 11072167, 11072071, 11072135, 11072199, 11072295, 11072327, 11072391, 11072487, 11072551, 11072583, 11072679, 11072743, 11072807, 11072871, 11072935, 11072999, 11073063, 11074503, 11075975, 11077447, 11244542, 11244702, 11246078, 11247422, 11248798, 11250142, 11251518, 11252894, 11254238, 11255614, 11256958, 11258334, 11259710, 11261054, 11262430, 11263774, 11265150, 11266526, 11267870, 11269246, 11270590, 11271966, 11273310, 11274686, 11276062, 11277406, 11278782]"
0,8,meta-llama/Llama-3.1-8B,18,58,903845071,1553159352,649314281,1476970,13077005,11162057,"[11072999, 11072935, 11072839, 11072743, 11072679, 11072583, 11072487, 11072423, 11072327, 11072231, 11072167, 11072071, 11072135, 11072199, 11072295, 11072327, 11072391, 11072487, 11072551, 11072583, 11072679, 11072743, 11072807, 11072871, 11072935, 11072999, 11073063, 11074503, 11075975, 11077447, 11244542, 11244702, 11246078, 11247422, 11248798, 11250142, 11251518, 11252894, 11254238, 11255614, 11256958, 11258334, 11259710, 11261054, 11262430, 11263774, 11265150, 11266526, 11267870, 11269246, 11270590, 11271966, 11273310, 11274686, 11276062, 11277406, 11278782]"
0,4,meta-llama/Llama-3.1-8B,13,96,587870263,1665338118,1077467855,5797130,16867083,11164218,"[11242590, 11314409, 11072359, 11072743, 11073127, 11073543, 11073447, 11073383, 11073511, 11073639, 11073735, 11073831, 11073959, 11074055, 11074183, 11074311, 11074407, 11074503, 11074631, 11074727, 11242686, 11242718, 11242750, 11242814, 11242846, 11242878, 11242910, 11600035, 11072999, 11072935, 11072839, 11072743, 11072679, 11072583, 11072487, 11072423, 11072327, 11072231, 11072167, 11072071, 11072135, 11072199, 11072295, 11072327, 11072391, 11072487, 11072551, 11072583, 11072679, 11072743, 11072807, 11072871, 11072935, 11072999, 11073063, 11074503, 11075975, 11077447, 11244542, 11244702, 11246078, 11247422, 11248798, 11250142, 11251518, 11252894, 11254238, 11255614, 11256958, 11258334, 11259710, 11261054, 11262430, 11263774, 11265150, 11266526, 11267870, 11269246, 11270590, 11271966, 11273310, 11274686, 11276062, 11277406, 11278782, 11209995, 11211755, 11213515, 11215243, 11217003, 11218763, 11220491, 11222251, 11224011, 11225739]"
1,3,meta-llama/Llama-3.1-8B,4,12,570907776,705890621,134982845,559091,11488344,11226772,"[11201276, 11201532, 11201820, 11204127, 11239934, 11240254, 11240542, 11240798, 11241118, 11241406, 11241694]"
1,7,meta-llama/Llama-3.1-8B,2,9,811936856,918931159,106994303,6004125,17048591,11243214,"[11242622, 11242814, 11242974, 11243134, 11243294, 11243454, 11243614, 11243806]"
1,5,meta-llama/Llama-3.1-8B,15,63,604829893,1323311811,718481918,11170855,22374982,11227531,"[11239934, 11240254, 11240542, 11240798, 11241118, 11241406, 11241694, 11204316, 11204476, 11204636, 11204796, 11204956, 11205116, 11205276, 11205436, 11205596, 11205756, 11044466, 11242622, 11242814, 11242974, 11243134, 11243294, 11243454, 11243614, 11243806, 11208732, 11209084, 11209404, 11209724, 11210076, 11210396, 11210716, 11211068, 11211388, 11212636, 11062854, 11245566, 11245758, 11245918, 11246078, 11246238, 11246398, 11246558, 11246718, 11246910, 11247102, 11247262, 11247422, 11247582, 11247742, 11247902, 11248094, 11248254, 11248414, 11248574, 11249950, 11251294, 11252670, 11254014, 11255390, 11256766]"
1,9,meta-llama/Llama-3.1-8B,5,26,1026970077,1323311811,296341734,4064306,15127160,11248582,"[11245566, 11245758, 11245918, 11246078, 11246238, 11246398, 11246558, 11246718, 11246910, 11247102, 11247262, 11247422, 11247582, 11247742, 11247902, 11248094, 11248254, 11248414, 11248574, 11249950, 11251294, 11252670, 11254014, 11255390, 11256766]"
1,1,meta-llama/Llama-3.1-8B,22,104,347938952,1514417214,1166478262,118490,11667162,11211758,"[11149099, 11149291, 11149515, 11149739, 11149931, 11150155, 11150379, 11150571, 11150795, 11151019, 11151243, 11151211, 11151179, 11151147, 11151147, 11151115, 11151083, 11151083, 11151051, 10929253, 11201276, 11201532, 11201820, 11204127, 11239934, 11240254, 11240542, 11240798, 11241118, 11241406, 11241694, 11204316, 11204476, 11204636, 11204796, 11204956, 11205116, 11205276, 11205436, 11205596, 11205756, 11044466, 11242622, 11242814, 11242974, 11243134, 11243294, 11243454, 11243614, 11243806, 11208732, 11209084, 11209404, 11209724, 11210076, 11210396, 11210716, 11211068, 11211388, 11212636, 11062854, 11245566, 11245758, 11245918, 11246078, 11246238, 11246398, 11246558, 11246718, 11246910, 11247102, 11247262, 11247422, 11247582, 11247742, 11247902, 11248094, 11248254, 11248414, 11248574, 11249950, 11251294, 11252670, 11254014, 11255390, 11256766, 11227499, 11229259, 11230987, 11232747, 11234507, 11236235, 11237995, 11239755, 11241483, 11243243, 11245003, 11246731, 11248491, 11250251, 11251979, 11253739, 11255499]"
