instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,3,meta-llama/Llama-3.1-8B,4,12,570907776,706926698,136018922,1726487,12790572,11202577,"[11069119, 11212416, 11547851, 11580371, 11116471, 11116631, 11116759, 11116919, 11117079, 11117271, 11117463]"
0,0,meta-llama/Llama-3.1-8B,10,70,46926808,828993241,782066433,0,10998250,11174901,"[11146817, 11146817, 11146817, 11146817, 11146817, 11146817, 11146817, 11147009, 11147233, 11147457, 11147649, 11147873, 11148097, 11148289, 11148513, 11148737, 11148929, 11149153, 11149377, 11149569, 11149793, 11150017, 11150241, 11150209, 11150177, 11150145, 11150145, 11723978, 11200808, 11201096, 11201352, 11201480, 11201640, 11201800, 11201960, 11202120, 11202280, 11202440, 11284384, 11239552, 11239584, 11239616, 11239648, 11239680, 11239712, 11239744, 11064085, 11069119, 11212416, 11547851, 11580371, 11116471, 11116631, 11116759, 11116919, 11117079, 11117271, 11117463, 11095051, 11095243, 11095403, 11095595, 11095787, 11095979, 11096139, 11096331, 11096523, 11096715, 11107777]"
0,7,meta-llama/Llama-3.1-8B,2,9,811936856,918343794,106406938,5948608,17056385,11168819,"[11093643, 11093803, 11093675, 11093579, 11093483, 11093387, 11093259, 11695724]"
0,2,meta-llama/Llama-3.1-8B,16,69,479613521,1251606390,771992869,3058822,14343206,11141906,"[11239552, 11239584, 11239616, 11239648, 11239680, 11239712, 11239744, 11064085, 11069119, 11212416, 11547851, 11580371, 11116471, 11116631, 11116759, 11116919, 11117079, 11117271, 11117463, 11095051, 11095243, 11095403, 11095595, 11095787, 11095979, 11096139, 11096331, 11096523, 11096715, 11107777, 11093643, 11093803, 11093675, 11093579, 11093483, 11093387, 11093259, 11695724, 11093259, 11093131, 11093035, 11092939, 11092843, 11092715, 11092619, 11092523, 11092427, 11092299, 11130433, 11115447, 11115447, 11115511, 11115543, 11115607, 11115639, 11115671, 11115703, 11115735, 11115799, 11115831, 11115895, 11115895, 11115927, 11115991, 11116055, 11116087, 11117559, 11119031]"
0,5,meta-llama/Llama-3.1-8B,15,63,604829893,1307061965,702232072,1149990,12697841,11121519,"[11580371, 11116471, 11116631, 11116759, 11116919, 11117079, 11117271, 11117463, 11095051, 11095243, 11095403, 11095595, 11095787, 11095979, 11096139, 11096331, 11096523, 11096715, 11107777, 11093643, 11093803, 11093675, 11093579, 11093483, 11093387, 11093259, 11695724, 11093259, 11093131, 11093035, 11092939, 11092843, 11092715, 11092619, 11092523, 11092427, 11092299, 11130433, 11115447, 11115447, 11115511, 11115543, 11115607, 11115639, 11115671, 11115703, 11115735, 11115799, 11115831, 11115895, 11115895, 11115927, 11115991, 11116055, 11116087, 11117559, 11119031, 11088171, 11089643, 11091115, 11092587, 11094059]"
0,9,meta-llama/Llama-3.1-8B,5,26,1026970077,1318136621,291166544,2301507,13431940,11109384,"[11115447, 11115447, 11115511, 11115543, 11115607, 11115639, 11115671, 11115703, 11115735, 11115799, 11115831, 11115895, 11115895, 11115927, 11115991, 11116055, 11116087, 11117559, 11119031, 11088171, 11089643, 11091115, 11092587, 11094059, 11074656]"
0,1,meta-llama/Llama-3.1-8B,22,104,347938952,1518004667,1170065715,10992437,22716415,11139313,"[11200808, 11201096, 11201352, 11201480, 11201640, 11201800, 11201960, 11202120, 11202280, 11202440, 11284384, 11239552, 11239584, 11239616, 11239648, 11239680, 11239712, 11239744, 11064085, 11069119, 11212416, 11547851, 11580371, 11116471, 11116631, 11116759, 11116919, 11117079, 11117271, 11117463, 11095051, 11095243, 11095403, 11095595, 11095787, 11095979, 11096139, 11096331, 11096523, 11096715, 11107777, 11093643, 11093803, 11093675, 11093579, 11093483, 11093387, 11093259, 11695724, 11093259, 11093131, 11093035, 11092939, 11092843, 11092715, 11092619, 11092523, 11092427, 11092299, 11130433, 11115447, 11115447, 11115511, 11115543, 11115607, 11115639, 11115671, 11115703, 11115735, 11115799, 11115831, 11115895, 11115895, 11115927, 11115991, 11116055, 11116087, 11117559, 11119031, 11088171, 11089643, 11091115, 11092587, 11094059, 11074656, 11091359, 11092831, 11094271, 11095743, 11097215, 11098655, 11100127, 11101599, 11103039, 11104511, 11105983, 11107423, 11108895, 11110367, 11111807, 11113279, 11114751, 11116191]"
0,6,meta-llama/Llama-3.1-8B,15,84,610813769,1551827899,941014130,6713965,18294336,11117105,"[11116471, 11116631, 11116759, 11116919, 11117079, 11117271, 11117463, 11095051, 11095243, 11095403, 11095595, 11095787, 11095979, 11096139, 11096331, 11096523, 11096715, 11107777, 11093643, 11093803, 11093675, 11093579, 11093483, 11093387, 11093259, 11695724, 11093259, 11093131, 11093035, 11092939, 11092843, 11092715, 11092619, 11092523, 11092427, 11092299, 11130433, 11115447, 11115447, 11115511, 11115543, 11115607, 11115639, 11115671, 11115703, 11115735, 11115799, 11115831, 11115895, 11115895, 11115927, 11115991, 11116055, 11116087, 11117559, 11119031, 11088171, 11089643, 11091115, 11092587, 11094059, 11074656, 11091359, 11092831, 11094271, 11095743, 11097215, 11098655, 11100127, 11101599, 11103039, 11104511, 11105983, 11107423, 11108895, 11110367, 11111807, 11113279, 11114751, 11116191, 11273056, 11274400, 11275776]"
0,8,meta-llama/Llama-3.1-8B,18,58,903845071,1551827899,647982828,2802999,14498723,11113756,"[11093259, 11093131, 11093035, 11092939, 11092843, 11092715, 11092619, 11092523, 11092427, 11092299, 11130433, 11115447, 11115447, 11115511, 11115543, 11115607, 11115639, 11115671, 11115703, 11115735, 11115799, 11115831, 11115895, 11115895, 11115927, 11115991, 11116055, 11116087, 11117559, 11119031, 11088171, 11089643, 11091115, 11092587, 11094059, 11074656, 11091359, 11092831, 11094271, 11095743, 11097215, 11098655, 11100127, 11101599, 11103039, 11104511, 11105983, 11107423, 11108895, 11110367, 11111807, 11113279, 11114751, 11116191, 11273056, 11274400, 11275776]"
0,4,meta-llama/Llama-3.1-8B,13,96,587870263,1663996645,1076126382,6897204,18109620,11137018,"[11547851, 11580371, 11116471, 11116631, 11116759, 11116919, 11117079, 11117271, 11117463, 11095051, 11095243, 11095403, 11095595, 11095787, 11095979, 11096139, 11096331, 11096523, 11096715, 11107777, 11093643, 11093803, 11093675, 11093579, 11093483, 11093387, 11093259, 11695724, 11093259, 11093131, 11093035, 11092939, 11092843, 11092715, 11092619, 11092523, 11092427, 11092299, 11130433, 11115447, 11115447, 11115511, 11115543, 11115607, 11115639, 11115671, 11115703, 11115735, 11115799, 11115831, 11115895, 11115895, 11115927, 11115991, 11116055, 11116087, 11117559, 11119031, 11088171, 11089643, 11091115, 11092587, 11094059, 11074656, 11091359, 11092831, 11094271, 11095743, 11097215, 11098655, 11100127, 11101599, 11103039, 11104511, 11105983, 11107423, 11108895, 11110367, 11111807, 11113279, 11114751, 11116191, 11273056, 11274400, 11275776, 11208993, 11210753, 11212513, 11214241, 11216001, 11217761, 11219489, 11221249, 11223009, 11224737]"
